Year,SERIES,Reference area,Degree of urbanisation,GeoCode,Value,M49_country_code
2019,Prevalence of moderate or severe food insecurity in the population,,,,4.5,KGZ
2020,Prevalence of moderate or severe food insecurity in the population,,,,5.7,KGZ
2021,Prevalence of moderate or severe food insecurity in the population,,,,7.6,KGZ
2019,Prevalence of moderate or severe food insecurity in the population,,Urban,,6.9,KGZ
2020,Prevalence of moderate or severe food insecurity in the population,,Urban,,9.4,KGZ
2021,Prevalence of moderate or severe food insecurity in the population,,Urban,,12.9,KGZ
2019,Prevalence of moderate or severe food insecurity in the population,,Rural,,3.1,KGZ
2020,Prevalence of moderate or severe food insecurity in the population,,Rural,,3.6,KGZ
2021,Prevalence of moderate or severe food insecurity in the population,,Rural,,4.5,KGZ
2019,Prevalence of moderate or severe food insecurity in the population,Batken,,KG05,2.7,KGZ
2020,Prevalence of moderate or severe food insecurity in the population,Batken,,KG05,2.4,KGZ
2021,Prevalence of moderate or severe food insecurity in the population,Batken,,KG05,0.9,KGZ
2019,Prevalence of moderate or severe food insecurity in the population,Jalal-Abad,,KG03,6.6,KGZ
2020,Prevalence of moderate or severe food insecurity in the population,Jalal-Abad,,KG03,7.0,KGZ
2021,Prevalence of moderate or severe food insecurity in the population,Jalal-Abad,,KG03,9.8,KGZ
2019,Prevalence of moderate or severe food insecurity in the population,Issyk-Kul,,KG02,9.3,KGZ
2020,Prevalence of moderate or severe food insecurity in the population,Issyk-Kul,,KG02,9.8,KGZ
2021,Prevalence of moderate or severe food insecurity in the population,Issyk-Kul,,KG02,4.6,KGZ
2019,Prevalence of moderate or severe food insecurity in the population,Naryn,,KG04,1.8,KGZ
2020,Prevalence of moderate or severe food insecurity in the population,Naryn,,KG04,1.3,KGZ
2021,Prevalence of moderate or severe food insecurity in the population,Naryn,,KG04,8.3,KGZ
2019,Prevalence of moderate or severe food insecurity in the population,Osh,,KG06,2.2,KGZ
2020,Prevalence of moderate or severe food insecurity in the population,Osh,,KG06,2.2,KGZ
2021,Prevalence of moderate or severe food insecurity in the population,Osh,,KG06,3.5,KGZ
2019,Prevalence of moderate or severe food insecurity in the population,Talas,,KG07,3.3,KGZ
2020,Prevalence of moderate or severe food insecurity in the population,Talas,,KG07,7.6,KGZ
2021,Prevalence of moderate or severe food insecurity in the population,Talas,,KG07,8.3,KGZ
2019,Prevalence of moderate or severe food insecurity in the population,Chui,,KG08,3.0,KGZ
2020,Prevalence of moderate or severe food insecurity in the population,Chui,,KG08,4.2,KGZ
2021,Prevalence of moderate or severe food insecurity in the population,Chui,,KG08,3.1,KGZ
2019,Prevalence of moderate or severe food insecurity in the population,Bishkek (city),,KG11,5.4,KGZ
2020,Prevalence of moderate or severe food insecurity in the population,Bishkek (city),,KG11,10.3,KGZ
2021,Prevalence of moderate or severe food insecurity in the population,Bishkek (city),,KG11,13.6,KGZ
2019,Prevalence of moderate or severe food insecurity in the population,Osh (city),,KG21,10.7,KGZ
2020,Prevalence of moderate or severe food insecurity in the population,Osh (city),,KG21,12.2,KGZ
2021,Prevalence of moderate or severe food insecurity in the population,Osh (city),,KG21,24.6,KGZ
2019,Prevalence of severe food insecurity in the population,,,,0.8,KGZ
2020,Prevalence of severe food insecurity in the population,,,,1.3,KGZ
2021,Prevalence of severe food insecurity in the population,,,,1.6,KGZ
2019,Prevalence of severe food insecurity in the population,,Urban,,1.8,KGZ
2020,Prevalence of severe food insecurity in the population,,Urban,,2.9,KGZ
2021,Prevalence of severe food insecurity in the population,,Urban,,3.4,KGZ
2019,Prevalence of severe food insecurity in the population,,Rural,,0.2,KGZ
2020,Prevalence of severe food insecurity in the population,,Rural,,0.4,KGZ
2021,Prevalence of severe food insecurity in the population,,Rural,,0.6,KGZ
2019,Prevalence of severe food insecurity in the population,Batken,,KG05,0.1,KGZ
2020,Prevalence of severe food insecurity in the population,Batken,,KG05,0.0,KGZ
2021,Prevalence of severe food insecurity in the population,Batken,,KG05,0.1,KGZ
2019,Prevalence of severe food insecurity in the population,Jalal-Abad,,KG03,2.1,KGZ
2020,Prevalence of severe food insecurity in the population,Jalal-Abad,,KG03,2.4,KGZ
2021,Prevalence of severe food insecurity in the population,Jalal-Abad,,KG03,3.2,KGZ
2019,Prevalence of severe food insecurity in the population,Issyk-Kul,,KG02,0.7,KGZ
2020,Prevalence of severe food insecurity in the population,Issyk-Kul,,KG02,1.5,KGZ
2021,Prevalence of severe food insecurity in the population,Issyk-Kul,,KG02,0.2,KGZ
