Year,Reference area,Sex,Age,Degree of urbanisation,Income or wealth quantile,Education level,GeoCode,Value,M49_country_code
2018,,,15 years old and over,,,,,62.8,KGZ
2019,,,15 years old and over,,,,,64.089121,KGZ
2020,,,15 years old and over,,,,,72.0,KGZ
2021,,,15 years old and over,,,,,78.853813,KGZ
2018,,,15 years old and over,Urban,,,,67.1,KGZ
2019,,,15 years old and over,Urban,,,,71.135321,KGZ
2020,,,15 years old and over,Urban,,,,78.2,KGZ
2021,,,15 years old and over,Urban,,,,84.507279,KGZ
2018,,,15 years old and over,Rural,,,,60.2,KGZ
2019,,,15 years old and over,Rural,,,,59.898501,KGZ
2020,,,15 years old and over,Rural,,,,68.1,KGZ
2021,,,15 years old and over,Rural,,,,75.327723,KGZ
2018,,Male,15 years old and over,,,,,63.7,KGZ
2019,,Male,15 years old and over,,,,,63.685825,KGZ
2020,,Male,15 years old and over,,,,,72.8,KGZ
2021,,Male,15 years old and over,,,,,79.192301,KGZ
2018,,Female,15 years old and over,,,,,62.1,KGZ
2019,,Female,15 years old and over,,,,,64.425621,KGZ
2020,,Female,15 years old and over,,,,,71.2,KGZ
2021,,Female,15 years old and over,,,,,78.569896,KGZ
2018,Batken,,15 years old and over,,,,KG05,43.5,KGZ
2019,Batken,,15 years old and over,,,,KG05,58.014757,KGZ
2020,Batken,,15 years old and over,,,,KG05,65.1,KGZ
2021,Batken,,15 years old and over,,,,KG05,74.503222,KGZ
2018,Jalal-Abad,,15 years old and over,,,,KG03,55.3,KGZ
2019,Jalal-Abad,,15 years old and over,,,,KG03,48.46669,KGZ
2020,Jalal-Abad,,15 years old and over,,,,KG03,53.9,KGZ
2021,Jalal-Abad,,15 years old and over,,,,KG03,64.077217,KGZ
2018,Issyk-Kul,,15 years old and over,,,,KG02,54.2,KGZ
2019,Issyk-Kul,,15 years old and over,,,,KG02,59.724239,KGZ
2020,Issyk-Kul,,15 years old and over,,,,KG02,76.5,KGZ
2021,Issyk-Kul,,15 years old and over,,,,KG02,84.266839,KGZ
2018,Naryn,,15 years old and over,,,,KG04,40.7,KGZ
2019,Naryn,,15 years old and over,,,,KG04,57.04217,KGZ
2020,Naryn,,15 years old and over,,,,KG04,66.4,KGZ
2021,Naryn,,15 years old and over,,,,KG04,75.633446,KGZ
2018,Osh,,15 years old and over,,,,KG06,75.6,KGZ
2019,Osh,,15 years old and over,,,,KG06,67.924978,KGZ
2020,Osh,,15 years old and over,,,,KG06,75.8,KGZ
2021,Osh,,15 years old and over,,,,KG06,80.623149,KGZ
2018,Talas,,15 years old and over,,,,KG07,63.9,KGZ
2019,Talas,,15 years old and over,,,,KG07,58.276065,KGZ
2020,Talas,,15 years old and over,,,,KG07,67.6,KGZ
2021,Talas,,15 years old and over,,,,KG07,75.125517,KGZ
2018,Chui,,15 years old and over,,,,KG08,65.8,KGZ
2019,Chui,,15 years old and over,,,,KG08,68.069686,KGZ
2020,Chui,,15 years old and over,,,,KG08,75.2,KGZ
2021,Chui,,15 years old and over,,,,KG08,81.503126,KGZ
2018,Bishkek (city),,15 years old and over,,,,KG11,69.7,KGZ
2019,Bishkek (city),,15 years old and over,,,,KG11,80.43023,KGZ
2020,Bishkek (city),,15 years old and over,,,,KG11,87.9,KGZ
2021,Bishkek (city),,15 years old and over,,,,KG11,91.007502,KGZ
2018,Osh (city),,15 years old and over,,,,KG21,68.5,KGZ
2019,Osh (city),,15 years old and over,,,,KG21,67.223678,KGZ
2020,Osh (city),,15 years old and over,,,,KG21,72.9,KGZ
2021,Osh (city),,15 years old and over,,,,KG21,83.858925,KGZ
2018,,,15 to 28 years old,,,,,82.1,KGZ
2019,,,15 to 28 years old,,,,,84.695277,KGZ
2020,,,15 to 28 years old,,,,,86.1,KGZ
2021,,,15 to 28 years old,,,,,92.988279,KGZ
2018,,,"29 to 62 years old (working age population: women under 57 years old, men under 62 years old)",,,,,63.1,KGZ
2019,,,"29 to 62 years old (working age population: women under 57 years old, men under 62 years old)",,,,,66.216432,KGZ
2020,,,"29 to 62 years old (working age population: women under 57 years old, men under 62 years old)",,,,,77.3,KGZ
2021,,,"29 to 62 years old (working age population: women under 57 years old, men under 62 years old)",,,,,82.911602,KGZ
2018,,,"58 years old and over (population over working age: women 58 years and older, men 63 years and older)",,,,,25.9,KGZ
2019,,,"58 years old and over (population over working age: women 58 years and older, men 63 years and older)",,,,,21.33701,KGZ
2020,,,"58 years old and over (population over working age: women 58 years and older, men 63 years and older)",,,,,33.4,KGZ
2021,,,"58 years old and over (population over working age: women 58 years and older, men 63 years and older)",,,,,44.839535,KGZ
2018,,,15 years old and over,,,Primary education,,47.9,KGZ
2019,,,15 years old and over,,,Primary education,,48.223983,KGZ
2020,,,15 years old and over,,,Primary education,,52.9,KGZ
2021,,,15 years old and over,,,Primary education,,64.794298,KGZ
2018,,,15 years old and over,,,Lower secondary education,,69.5,KGZ
2019,,,15 years old and over,,,Lower secondary education,,66.897515,KGZ
2020,,,15 years old and over,,,Lower secondary education,,70.8,KGZ
2021,,,15 years old and over,,,Lower secondary education,,81.511513,KGZ
2018,,,15 years old and over,,,Upper secondary education,,56.1,KGZ
2019,,,15 years old and over,,,Upper secondary education,,57.461271,KGZ
2020,,,15 years old and over,,,Upper secondary education,,66.3,KGZ
2021,,,15 years old and over,,,Upper secondary education,,73.697745,KGZ
2018,,,15 years old and over,,,Post-secondary non-tertiary education,,61.9,KGZ
2019,,,15 years old and over,,,Post-secondary non-tertiary education,,64.187427,KGZ
2020,,,15 years old and over,,,Post-secondary non-tertiary education,,74.7,KGZ
2021,,,15 years old and over,,,Post-secondary non-tertiary education,,80.698145,KGZ
2018,,,15 years old and over,,,Tertiary education (Bachelor’s and Master's or equivalent),,81.1,KGZ
2019,,,15 years old and over,,,Tertiary education (Bachelor’s and Master's or equivalent),,83.898865,KGZ
2020,,,15 years old and over,,,Tertiary education (Bachelor’s and Master's or equivalent),,89.6,KGZ
2021,,,15 years old and over,,,Tertiary education (Bachelor’s and Master's or equivalent),,92.501625,KGZ
2018,,,15 years old and over,,Quintile 1 (poorest),,,48.021936,KGZ
2019,,,15 years old and over,,Quintile 1 (poorest),,,51.351216,KGZ
2020,,,15 years old and over,,Quintile 1 (poorest),,,63.6,KGZ
2021,,,15 years old and over,,Quintile 1 (poorest),,,70.906713,KGZ
2018,,,15 years old and over,,Quintile 2,,,59.801066,KGZ
2019,,,15 years old and over,,Quintile 2,,,63.874815,KGZ
2020,,,15 years old and over,,Quintile 2,,,72.1,KGZ
2021,,,15 years old and over,,Quintile 2,,,78.880477,KGZ
2018,,,15 years old and over,,Quintile 3,,,64.756488,KGZ
2019,,,15 years old and over,,Quintile 3,,,64.519088,KGZ
2020,,,15 years old and over,,Quintile 3,,,75.0,KGZ
2021,,,15 years old and over,,Quintile 3,,,81.98765,KGZ
2018,,,15 years old and over,,Quintile 4,,,67.075448,KGZ
2019,,,15 years old and over,,Quintile 4,,,69.120333,KGZ
2020,,,15 years old and over,,Quintile 4,,,73.8,KGZ
2021,,,15 years old and over,,Quintile 4,,,80.196917,KGZ
2018,,,15 years old and over,,Quintile 5 (richest),,,69.456488,KGZ
2019,,,15 years old and over,,Quintile 5 (richest),,,67.9194,KGZ
2020,,,15 years old and over,,Quintile 5 (richest),,,77.7,KGZ
2021,,,15 years old and over,,Quintile 5 (richest),,,83.545634,KGZ
