Year,Sex,Age,Education level,COMPOSITE_BREAKDOWN,Value,M49_country_code
2009,,,,,2093,KGZ
2010,,,,,1789,KGZ
2011,,,,,1809,KGZ
2012,,,,,2415,KGZ
2013,,,,,2339,KGZ
2014,,,,,2629,KGZ
2015,,,,,3333,KGZ
2016,,,,,7005,KGZ
2017,,,,,7323,KGZ
2018,,,,,7178,KGZ
2019,,,,,6145,KGZ
2020,,,,,8254,KGZ
2009,Female,,,,1927,KGZ
2010,Female,,,,1659,KGZ
2011,Female,,,,1714,KGZ
2012,Female,,,,2341,KGZ
2013,Female,,,,2269,KGZ
2014,Female,,,,2531,KGZ
2015,Female,,,,3229,KGZ
2016,Female,,,,6795,KGZ
2017,Female,,,,6966,KGZ
2018,Female,,,,6562,KGZ
2019,Female,,,,5659,KGZ
2020,Female,,,,7891,KGZ
2009,Male,,,,166,KGZ
2010,Male,,,,130,KGZ
2011,Male,,,,95,KGZ
2012,Male,,,,74,KGZ
2013,Male,,,,70,KGZ
2014,Male,,,,98,KGZ
2015,Male,,,,104,KGZ
2016,Male,,,,210,KGZ
2017,Male,,,,357,KGZ
2018,Male,,,,616,KGZ
2019,Male,,,,486,KGZ
2020,Male,,,,363,KGZ
2009,,under 20 years old,,,126,KGZ
2010,,under 20 years old,,,212,KGZ
2011,,under 20 years old,,,37,KGZ
2012,,under 20 years old,,,92,KGZ
2013,,under 20 years old,,,73,KGZ
2014,,under 20 years old,,,100,KGZ
2015,,under 20 years old,,,134,KGZ
2016,,under 20 years old,,,533,KGZ
2017,,under 20 years old,,,394,KGZ
2018,,under 20 years old,,,250,KGZ
2019,,under 20 years old,,,561,KGZ
2009,,21 to 30 years old,,,738,KGZ
2010,,21 to 30 years old,,,634,KGZ
2011,,21 to 30 years old,,,476,KGZ
2012,,21 to 30 years old,,,654,KGZ
2013,,21 to 30 years old,,,678,KGZ
2014,,21 to 30 years old,,,837,KGZ
2015,,21 to 30 years old,,,1054,KGZ
2016,,21 to 30 years old,,,2085,KGZ
2017,,21 to 30 years old,,,1888,KGZ
2018,,21 to 30 years old,,,2108,KGZ
2019,,21 to 30 years old,,,1879,KGZ
2009,,31 to 40 years old,,,762,KGZ
2010,,31 to 40 years old,,,552,KGZ
2011,,31 to 40 years old,,,687,KGZ
2012,,31 to 40 years old,,,1108,KGZ
2013,,31 to 40 years old,,,957,KGZ
2014,,31 to 40 years old,,,904,KGZ
2015,,31 to 40 years old,,,1264,KGZ
2016,,31 to 40 years old,,,2422,KGZ
2017,,31 to 40 years old,,,2531,KGZ
2018,,31 to 40 years old,,,2385,KGZ
2019,,31 to 40 years old,,,1974,KGZ
2009,,41 to 50 years old,,,336,KGZ
2010,,41 to 50 years old,,,283,KGZ
2011,,41 to 50 years old,,,461,KGZ
2012,,41 to 50 years old,,,424,KGZ
2013,,41 to 50 years old,,,463,KGZ
2014,,41 to 50 years old,,,482,KGZ
2015,,41 to 50 years old,,,625,KGZ
2016,,41 to 50 years old,,,1435,KGZ
2017,,41 to 50 years old,,,1496,KGZ
2018,,41 to 50 years old,,,1550,KGZ
