Year,Reference area,Sex,Age,Degree of urbanisation,Income or wealth quantile,Education level,GeoCode,Value,M49_country_code
2018,,,15 years old and over,,,,,24.4,KGZ
2019,,,15 years old and over,,,,,32.172359,KGZ
2020,,,15 years old and over,,,,,35.908367,KGZ
2021,,,15 years old and over,,,,,36.349478,KGZ
2018,,,15 years old and over,Urban,,,,28.1,KGZ
2019,,,15 years old and over,Urban,,,,36.797119,KGZ
2020,,,15 years old and over,Urban,,,,38.037471,KGZ
2021,,,15 years old and over,Urban,,,,40.242575,KGZ
2018,,,15 years old and over,Rural,,,,22.2,KGZ
2019,,,15 years old and over,Rural,,,,29.421489,KGZ
2020,,,15 years old and over,Rural,,,,34.606561,KGZ
2021,,,15 years old and over,Rural,,,,33.921337,KGZ
2018,,Male,15 years old and over,,,,,23.4,KGZ
2019,,Male,15 years old and over,,,,,30.211974,KGZ
2020,,Male,15 years old and over,,,,,33.229388,KGZ
2021,,Male,15 years old and over,,,,,33.726935,KGZ
2018,,Female,15 years old and over,,,,,25.2,KGZ
2019,,Female,15 years old and over,,,,,33.807908,KGZ
2020,,Female,15 years old and over,,,,,38.177301,KGZ
2021,,Female,15 years old and over,,,,,38.549214,KGZ
2018,Batken,,15 years old and over,,,,KG05,11.9,KGZ
2019,Batken,,15 years old and over,,,,KG05,20.274736,KGZ
2020,Batken,,15 years old and over,,,,KG05,26.775957,KGZ
2021,Batken,,15 years old and over,,,,KG05,30.726355,KGZ
2018,Jalal-Abad,,15 years old and over,,,,KG03,13.1,KGZ
2019,Jalal-Abad,,15 years old and over,,,,KG03,26.361287,KGZ
2020,Jalal-Abad,,15 years old and over,,,,KG03,26.539366,KGZ
2021,Jalal-Abad,,15 years old and over,,,,KG03,24.114348,KGZ
2018,Issyk-Kul,,15 years old and over,,,,KG02,8.8,KGZ
2019,Issyk-Kul,,15 years old and over,,,,KG02,9.973074,KGZ
2020,Issyk-Kul,,15 years old and over,,,,KG02,27.245677,KGZ
2021,Issyk-Kul,,15 years old and over,,,,KG02,32.26432,KGZ
2018,Naryn,,15 years old and over,,,,KG04,35.3,KGZ
2019,Naryn,,15 years old and over,,,,KG04,43.200634,KGZ
2020,Naryn,,15 years old and over,,,,KG04,40.824543,KGZ
2021,Naryn,,15 years old and over,,,,KG04,55.72775,KGZ
2018,Osh,,15 years old and over,,,,KG06,30.7,KGZ
2019,Osh,,15 years old and over,,,,KG06,37.460737,KGZ
2020,Osh,,15 years old and over,,,,KG06,43.889458,KGZ
2021,Osh,,15 years old and over,,,,KG06,42.653948,KGZ
2018,Talas,,15 years old and over,,,,KG07,18.4,KGZ
2019,Talas,,15 years old and over,,,,KG07,32.044373,KGZ
2020,Talas,,15 years old and over,,,,KG07,33.277756,KGZ
2021,Talas,,15 years old and over,,,,KG07,32.64037,KGZ
2018,Chui,,15 years old and over,,,,KG08,35.9,KGZ
2019,Chui,,15 years old and over,,,,KG08,41.213464,KGZ
2020,Chui,,15 years old and over,,,,KG08,43.885818,KGZ
2021,Chui,,15 years old and over,,,,KG08,38.114375,KGZ
2018,Bishkek (city),,15 years old and over,,,,KG11,30.8,KGZ
2019,Bishkek (city),,15 years old and over,,,,KG11,34.961164,KGZ
2020,Bishkek (city),,15 years old and over,,,,KG11,38.853903,KGZ
2021,Bishkek (city),,15 years old and over,,,,KG11,42.722517,KGZ
2018,Osh (city),,15 years old and over,,,,KG21,23.3,KGZ
2019,Osh (city),,15 years old and over,,,,KG21,40.128114,KGZ
2020,Osh (city),,15 years old and over,,,,KG21,31.952317,KGZ
2021,Osh (city),,15 years old and over,,,,KG21,33.53691,KGZ
2018,,,15 to 28 years old,,,,,12.7,KGZ
2019,,,15 to 28 years old,,,,,16.40832,KGZ
2020,,,15 to 28 years old,,,,,18.496814,KGZ
2021,,,15 to 28 years old,,,,,16.180534,KGZ
2018,,,"29 to 62 years old (working age population: women under 57 years old, men under 62 years old)",,,,,26.3,KGZ
2019,,,"29 to 62 years old (working age population: women under 57 years old, men under 62 years old)",,,,,33.477733,KGZ
2020,,,"29 to 62 years old (working age population: women under 57 years old, men under 62 years old)",,,,,37.033088,KGZ
2021,,,"29 to 62 years old (working age population: women under 57 years old, men under 62 years old)",,,,,37.684305,KGZ
2018,,,"58 years old and over (population over working age: women 58 years and older, men 63 years and older)",,,,,39.5,KGZ
2019,,,"58 years old and over (population over working age: women 58 years and older, men 63 years and older)",,,,,55.192244,KGZ
2020,,,"58 years old and over (population over working age: women 58 years and older, men 63 years and older)",,,,,59.619519,KGZ
2021,,,"58 years old and over (population over working age: women 58 years and older, men 63 years and older)",,,,,63.542409,KGZ
2018,,,15 years old and over,,,Primary education,,17.0,KGZ
2019,,,15 years old and over,,,Primary education,,25.253959,KGZ
2020,,,15 years old and over,,,Primary education,,24.636899,KGZ
2021,,,15 years old and over,,,Primary education,,19.578465,KGZ
2018,,,15 years old and over,,,Lower secondary education,,10.8,KGZ
2019,,,15 years old and over,,,Lower secondary education,,15.506281,KGZ
2020,,,15 years old and over,,,Lower secondary education,,18.134313,KGZ
2021,,,15 years old and over,,,Lower secondary education,,17.192247,KGZ
2018,,,15 years old and over,,,Upper secondary education,,18.2,KGZ
2019,,,15 years old and over,,,Upper secondary education,,25.60731,KGZ
2020,,,15 years old and over,,,Upper secondary education,,29.738081,KGZ
2021,,,15 years old and over,,,Upper secondary education,,29.859968,KGZ
2018,,,15 years old and over,,,Post-secondary non-tertiary education,,32.1,KGZ
2019,,,15 years old and over,,,Post-secondary non-tertiary education,,39.576314,KGZ
2020,,,15 years old and over,,,Post-secondary non-tertiary education,,44.647997,KGZ
2021,,,15 years old and over,,,Post-secondary non-tertiary education,,45.738416,KGZ
2018,,,15 years old and over,,,Tertiary education (Bachelor’s and Master's or equivalent),,44.1,KGZ
2019,,,15 years old and over,,,Tertiary education (Bachelor’s and Master's or equivalent),,54.556962,KGZ
2020,,,15 years old and over,,,Tertiary education (Bachelor’s and Master's or equivalent),,57.646116,KGZ
2021,,,15 years old and over,,,Tertiary education (Bachelor’s and Master's or equivalent),,60.938271,KGZ
2018,,,15 years old and over,,Quintile 1 (poorest),,,12.285869,KGZ
2019,,,15 years old and over,,Quintile 1 (poorest),,,19.928329,KGZ
2020,,,15 years old and over,,Quintile 1 (poorest),,,23.264547,KGZ
2021,,,15 years old and over,,Quintile 1 (poorest),,,24.833636,KGZ
2018,,,15 years old and over,,Quintile 2,,,20.108219,KGZ
2019,,,15 years old and over,,Quintile 2,,,29.54173,KGZ
2020,,,15 years old and over,,Quintile 2,,,35.464543,KGZ
2021,,,15 years old and over,,Quintile 2,,,34.313233,KGZ
2018,,,15 years old and over,,Quintile 3,,,23.688371,KGZ
2019,,,15 years old and over,,Quintile 3,,,31.242776,KGZ
2020,,,15 years old and over,,Quintile 3,,,39.252696,KGZ
2021,,,15 years old and over,,Quintile 3,,,38.165514,KGZ
2018,,,15 years old and over,,Quintile 4,,,28.405545,KGZ
2019,,,15 years old and over,,Quintile 4,,,36.901646,KGZ
2020,,,15 years old and over,,Quintile 4,,,39.606036,KGZ
2021,,,15 years old and over,,Quintile 4,,,41.587399,KGZ
2018,,,15 years old and over,,Quintile 5 (richest),,,32.674186,KGZ
2019,,,15 years old and over,,Quintile 5 (richest),,,38.816776,KGZ
2020,,,15 years old and over,,Quintile 5 (richest),,,46.669807,KGZ
2021,,,15 years old and over,,Quintile 5 (richest),,,46.108628,KGZ
