Year,SERIES,Reference area,Sex,GeoCode,Value,M49_country_code
2007,Non-fatal occupational injuries among employees (rate),,,,27.716013,KGZ
2008,Non-fatal occupational injuries among employees (rate),,,,32.316212,KGZ
2009,Non-fatal occupational injuries among employees (rate),,,,24.233586,KGZ
2010,Non-fatal occupational injuries among employees (rate),,,,90.112821,KGZ
2011,Non-fatal occupational injuries among employees (rate),,,,27.924874,KGZ
2012,Non-fatal occupational injuries among employees (rate),,,,27.025061,KGZ
2013,Non-fatal occupational injuries among employees (rate),,,,38.431743,KGZ
2014,Non-fatal occupational injuries among employees (rate),,,,29.216361,KGZ
2015,Non-fatal occupational injuries among employees (rate),,,,22.079153,KGZ
2016,Non-fatal occupational injuries among employees (rate),,,,24.463597,KGZ
2017,Non-fatal occupational injuries among employees (rate),,,,17.014573,KGZ
2018,Non-fatal occupational injuries among employees (rate),,,,25.028299,KGZ
2019,Non-fatal occupational injuries among employees (rate),,,,21.813169,KGZ
2020,Non-fatal occupational injuries among employees (rate),,,,31.006658,KGZ
2021,Non-fatal occupational injuries among employees (rate),,,,38.017017,KGZ
2007,Non-fatal occupational injuries among employees (rate),,Female,,15.549077,KGZ
2008,Non-fatal occupational injuries among employees (rate),,Female,,13.157949,KGZ
2009,Non-fatal occupational injuries among employees (rate),,Female,,10.590847,KGZ
2010,Non-fatal occupational injuries among employees (rate),,Female,,19.815059,KGZ
2011,Non-fatal occupational injuries among employees (rate),,Female,,10.078654,KGZ
2012,Non-fatal occupational injuries among employees (rate),,Female,,12.820667,KGZ
2013,Non-fatal occupational injuries among employees (rate),,Female,,16.056764,KGZ
2014,Non-fatal occupational injuries among employees (rate),,Female,,15.507042,KGZ
2015,Non-fatal occupational injuries among employees (rate),,Female,,8.391925,KGZ
2016,Non-fatal occupational injuries among employees (rate),,Female,,16.384907,KGZ
2017,Non-fatal occupational injuries among employees (rate),,Female,,13.60476,KGZ
2018,Non-fatal occupational injuries among employees (rate),,Female,,14.914402,KGZ
2019,Non-fatal occupational injuries among employees (rate),,Female,,12.801351,KGZ
2020,Non-fatal occupational injuries among employees (rate),,Female,,12.36107,KGZ
2021,Non-fatal occupational injuries among employees (rate),,Female,,8.197773,KGZ
2007,Non-fatal occupational injuries among employees (rate),,Male,,41.775785,KGZ
2008,Non-fatal occupational injuries among employees (rate),,Male,,52.283772,KGZ
2009,Non-fatal occupational injuries among employees (rate),,Male,,38.855636,KGZ
2010,Non-fatal occupational injuries among employees (rate),,Male,,164.348209,KGZ
2011,Non-fatal occupational injuries among employees (rate),,Male,,46.448956,KGZ
2012,Non-fatal occupational injuries among employees (rate),,Male,,42.343954,KGZ
2013,Non-fatal occupational injuries among employees (rate),,Male,,63.293021,KGZ
2014,Non-fatal occupational injuries among employees (rate),,Male,,44.619333,KGZ
2015,Non-fatal occupational injuries among employees (rate),,Male,,37.859348,KGZ
2016,Non-fatal occupational injuries among employees (rate),,Male,,33.692722,KGZ
2017,Non-fatal occupational injuries among employees (rate),,Male,,20.921618,KGZ
2018,Non-fatal occupational injuries among employees (rate),,Male,,36.61573,KGZ
2019,Non-fatal occupational injuries among employees (rate),,Male,,31.967565,KGZ
2020,Non-fatal occupational injuries among employees (rate),,Male,,51.674124,KGZ
2021,Non-fatal occupational injuries among employees (rate),,Male,,71.378157,KGZ
2007,Non-fatal occupational injuries among employees (rate),Batken,,KG05,11.184431,KGZ
2008,Non-fatal occupational injuries among employees (rate),Batken,,KG05,52.931596,KGZ
2009,Non-fatal occupational injuries among employees (rate),Batken,,KG05,25.97515,KGZ
2010,Non-fatal occupational injuries among employees (rate),Batken,,KG05,66.960769,KGZ
