Year,Reference area,Degree of urbanisation,Observation-level footnotes,GeoCode,Value,M49_country_code
2010,,,,,5.343817,KGZ
2011,,,,,4.545729,KGZ
2012,,,,,4.39021,KGZ
2013,,,,,2.752053,KGZ
2014,,,,,1.204544,KGZ
2015,,,,,1.2463,KGZ
2016,,,,,0.799505,KGZ
2017,,,,,0.751264,KGZ
2018,,,,,0.556849,KGZ
2019,,,,,0.549336,KGZ
2020,,,,,0.891488,KGZ
2021,,,,,6.03378,KGZ
2010,,Urban,,,4.216863,KGZ
2011,,Urban,,,2.571393,KGZ
2012,,Urban,,,4.245304,KGZ
2013,,Urban,,,1.622593,KGZ
2014,,Urban,,,1.335253,KGZ
2015,,Urban,,,1.0364,KGZ
2016,,Urban,,,0.329939,KGZ
2017,,Urban,,,0.317022,KGZ
2018,,Urban,,,0.240359,KGZ
2019,,Urban,,,0.1,KGZ
2020,,Urban,,,0.314072,KGZ
2021,,Urban,,,7.307506,KGZ
2010,,Rural,,,5.993092,KGZ
2011,,Rural,,,5.719532,KGZ
2012,,Rural,,,4.47404,KGZ
2013,,Rural,,,3.33877,KGZ
2014,,Rural,,,1.130705,KGZ
2015,,Rural,,,1.3613,KGZ
2016,,Rural,,,1.057232,KGZ
2017,,Rural,,,0.990494,KGZ
2018,,Rural,,,0.732878,KGZ
2019,,Rural,,,0.8,KGZ
2020,,Rural,,,1.220561,KGZ
2021,,Rural,,,5.276761,KGZ
2010,Batken,,,KG05,5.18088,KGZ
2011,Batken,,,KG05,3.571253,KGZ
2012,Batken,,,KG05,2.429822,KGZ
2013,Batken,,,KG05,7.992058,KGZ
2014,Batken,,,KG05,2.647398,KGZ
2015,Batken,,,KG05,4.007,KGZ
2016,Batken,,,KG05,0.321124,KGZ
2017,Batken,,,KG05,3.394136,KGZ
2018,Batken,,,KG05,0.873006,KGZ
2019,Batken,,,KG05,0.339267,KGZ
2020,Batken,,,KG05,1.629031,KGZ
2021,Batken,,,KG05,10.0642,KGZ
2010,Jalal-Abad,,,KG03,6.438032,KGZ
2011,Jalal-Abad,,,KG03,6.655419,KGZ
2012,Jalal-Abad,,,KG03,14.126083,KGZ
2013,Jalal-Abad,,,KG03,1.418157,KGZ
2014,Jalal-Abad,,,KG03,1.062056,KGZ
2015,Jalal-Abad,,,KG03,0.4774,KGZ
2016,Jalal-Abad,,,KG03,0.111076,KGZ
2017,Jalal-Abad,,,KG03,0.0,KGZ
2018,Jalal-Abad,,,KG03,1.011691,KGZ
2019,Jalal-Abad,,,KG03,0.56205,KGZ
2020,Jalal-Abad,,,KG03,1.484113,KGZ
2021,Jalal-Abad,,,KG03,7.544501,KGZ
2010,Issyk-Kul,,,KG02,2.478727,KGZ
2011,Issyk-Kul,,,KG02,1.507294,KGZ
2012,Issyk-Kul,,,KG02,0.131147,KGZ
2013,Issyk-Kul,,,KG02,1.90587,KGZ
2014,Issyk-Kul,,,KG02,0.0,KGZ
2015,Issyk-Kul,,,KG02,0.4111,KGZ
2016,Issyk-Kul,,,KG02,0.0,KGZ
2017,Issyk-Kul,,,KG02,1.036888,KGZ
2018,Issyk-Kul,,,KG02,0.892297,KGZ
2019,Issyk-Kul,,,KG02,1.260497,KGZ
2020,Issyk-Kul,,,KG02,0.434948,KGZ
2021,Issyk-Kul,,,KG02,7.956209,KGZ
2010,Naryn,,,KG04,12.036462,KGZ
2011,Naryn,,,KG04,14.690827,KGZ
2012,Naryn,,,KG04,2.457117,KGZ
2013,Naryn,,,KG04,4.860417,KGZ
2014,Naryn,,,KG04,1.817409,KGZ
2015,Naryn,,,KG04,2.0588,KGZ
2016,Naryn,,,KG04,2.566585,KGZ
2017,Naryn,,,KG04,1.953766,KGZ
2018,Naryn,,,KG04,2.178191,KGZ
2019,Naryn,,,KG04,2.481629,KGZ
2020,Naryn,,,KG04,4.503722,KGZ
2021,Naryn,,,KG04,8.169695,KGZ
2010,Osh,,including Osh city,KG06,8.333149,KGZ
2011,Osh,,including Osh city,KG06,3.687421,KGZ
2012,Osh,,including Osh city,KG06,2.296706,KGZ
2013,Osh,,,KG06,4.01137,KGZ
2014,Osh,,,KG06,0.423402,KGZ
2015,Osh,,,KG06,1.1879,KGZ
2016,Osh,,,KG06,0.828248,KGZ
2017,Osh,,,KG06,0.0,KGZ
2018,Osh,,,KG06,0.0,KGZ
2019,Osh,,,KG06,0.880799,KGZ
2020,Osh,,,KG06,0.0,KGZ
2021,Osh,,,KG06,2.070173,KGZ
2010,Talas,,,KG07,5.012294,KGZ
2011,Talas,,,KG07,8.439018,KGZ
2012,Talas,,,KG07,0.904811,KGZ
2013,Talas,,,KG07,0.0,KGZ
2014,Talas,,,KG07,0.0,KGZ
2015,Talas,,,KG07,0.0,KGZ
2016,Talas,,,KG07,0.0,KGZ
2017,Talas,,,KG07,0.0,KGZ
2018,Talas,,,KG07,0.0,KGZ
2019,Talas,,,KG07,0.0,KGZ
2020,Talas,,,KG07,0.0,KGZ
2021,Talas,,,KG07,2.648252,KGZ
2010,Chui,,,KG08,3.535313,KGZ
2011,Chui,,,KG08,4.859951,KGZ
2012,Chui,,,KG08,3.894563,KGZ
2013,Chui,,,KG08,2.081097,KGZ
2014,Chui,,,KG08,3.192789,KGZ
2015,Chui,,,KG08,1.6887,KGZ
2016,Chui,,,KG08,3.126337,KGZ
2017,Chui,,,KG08,1.687071,KGZ
2018,Chui,,,KG08,0.324149,KGZ
2019,Chui,,,KG08,0.162602,KGZ
2020,Chui,,,KG08,1.348117,KGZ
2021,Chui,,,KG08,3.956165,KGZ
2010,Bishkek (city),,,KG11,0.530925,KGZ
2011,Bishkek (city),,,KG11,1.019328,KGZ
2012,Bishkek (city),,,KG11,1.168471,KGZ
2013,Bishkek (city),,,KG11,0.960053,KGZ
2014,Bishkek (city),,,KG11,0.0,KGZ
2015,Bishkek (city),,,KG11,0.7844,KGZ
2016,Bishkek (city),,,KG11,0.0,KGZ
2017,Bishkek (city),,,KG11,0.0,KGZ
2018,Bishkek (city),,,KG11,0.328121,KGZ
2019,Bishkek (city),,,KG11,0.0,KGZ
2020,Bishkek (city),,,KG11,0.282291,KGZ
2021,Bishkek (city),,,KG11,9.464517,KGZ
2013,Osh (city),,,KG21,3.507063,KGZ
