Year,Reference area,Sex,COMPOSITE_BREAKDOWN,GeoCode,Value,M49_country_code
2007,,,Non-communicable disease: Cardiovascular disease,,338.148644,KGZ
2008,,,Non-communicable disease: Cardiovascular disease,,334.016356,KGZ
2009,,,Non-communicable disease: Cardiovascular disease,,313.473027,KGZ
2010,,,Non-communicable disease: Cardiovascular disease,,323.9,KGZ
2011,,,Non-communicable disease: Cardiovascular disease,,326.3,KGZ
2012,,,Non-communicable disease: Cardiovascular disease,,331.2,KGZ
2013,,,Non-communicable disease: Cardiovascular disease,,308.2,KGZ
2014,,,Non-communicable disease: Cardiovascular disease,,307.0,KGZ
2015,,,Non-communicable disease: Cardiovascular disease,,297.0,KGZ
2016,,,Non-communicable disease: Cardiovascular disease,,279.7,KGZ
2017,,,Non-communicable disease: Cardiovascular disease,,276.0,KGZ
2018,,,Non-communicable disease: Cardiovascular disease,,265.7,KGZ
2019,,,Non-communicable disease: Cardiovascular disease,,266.2,KGZ
2020,,,Non-communicable disease: Cardiovascular disease,,317.7,KGZ
2021,,,Non-communicable disease: Cardiovascular disease,,297.1,KGZ
2007,,Male,Non-communicable disease: Cardiovascular disease,,341.99762,KGZ
2008,,Male,Non-communicable disease: Cardiovascular disease,,333.529217,KGZ
2009,,Male,Non-communicable disease: Cardiovascular disease,,317.835613,KGZ
2010,,Male,Non-communicable disease: Cardiovascular disease,,328.276067,KGZ
2011,,Male,Non-communicable disease: Cardiovascular disease,,332.170272,KGZ
2012,,Male,Non-communicable disease: Cardiovascular disease,,335.775909,KGZ
2013,,Male,Non-communicable disease: Cardiovascular disease,,318.951798,KGZ
2014,,Male,Non-communicable disease: Cardiovascular disease,,317.836976,KGZ
2015,,Male,Non-communicable disease: Cardiovascular disease,,303.536912,KGZ
2016,,Male,Non-communicable disease: Cardiovascular disease,,284.556895,KGZ
2017,,Male,Non-communicable disease: Cardiovascular disease,,284.323937,KGZ
2018,,Male,Non-communicable disease: Cardiovascular disease,,273.814459,KGZ
2019,,Male,Non-communicable disease: Cardiovascular disease,,275.689849,KGZ
