Year,SERIES,Value,M49_country_code
2008,Assets to GDP,29.2,KGZ
2009,Assets to GDP,36.6,KGZ
2010,Assets to GDP,27.6,KGZ
2011,Assets to GDP,23.6,KGZ
2012,Assets to GDP,28.2,KGZ
2013,Assets to GDP,31.3,KGZ
2014,Assets to GDP,34.3,KGZ
2015,Assets to GDP,41.4,KGZ
2016,Assets to GDP,37.4,KGZ
2017,Assets to GDP,37.3,KGZ
2018,Assets to GDP,39.8,KGZ
2019,Assets to GDP,40.2,KGZ
2020,Assets to GDP,48.3,KGZ
2021,Assets to GDP,49.9,KGZ
2007,Deposits to GDP,16.5,KGZ
2008,Deposits to GDP,15.7,KGZ
2009,Deposits to GDP,19.7,KGZ
2010,Deposits to GDP,15.5,KGZ
2011,Deposits to GDP,13.5,KGZ
2012,Deposits to GDP,16.3,KGZ
2013,Deposits to GDP,19.0,KGZ
2014,Deposits to GDP,20.6,KGZ
2015,Deposits to GDP,23.9,KGZ
2016,Deposits to GDP,22.5,KGZ
2017,Deposits to GDP,22.9,KGZ
2018,Deposits to GDP,23.9,KGZ
2019,Deposits to GDP,24.4,KGZ
2020,Deposits to GDP,30.2,KGZ
2021,Deposits to GDP,33.6,KGZ
2007,Loans to GDP,14.7,KGZ
2008,Loans to GDP,13.6,KGZ
2009,Loans to GDP,12.5,KGZ
2010,Loans to GDP,12.0,KGZ
2011,Loans to GDP,10.9,KGZ
2012,Loans to GDP,12.9,KGZ
2013,Loans to GDP,15.2,KGZ
2014,Loans to GDP,19.7,KGZ
2015,Loans to GDP,21.8,KGZ
2016,Loans to GDP,19.6,KGZ
2017,Loans to GDP,20.4,KGZ
2018,Loans to GDP,23.0,KGZ
2019,Loans to GDP,23.7,KGZ
2020,Loans to GDP,27.2,KGZ
2021,Loans to GDP,25.1,KGZ
