Year,SERIES,Value,M49_country_code
2013,"Rate of net change in forest area per year, ha",1037.0,KGZ
2014,"Rate of net change in forest area per year, ha",778.0,KGZ
2015,"Rate of net change in forest area per year, ha",507.0,KGZ
2016,"Rate of net change in forest area per year, ha",616.0,KGZ
2017,"Rate of net change in forest area per year, ha",490.0,KGZ
2018,"Rate of net change in forest area per year, ha",400.0,KGZ
2019,"Rate of net change in forest area per year, ha",412.0,KGZ
2013,Above-ground biomass in forest per hectare (tonnes per hectare),26.7,KGZ
2013,Proportion of forest area within legally established protected areas,5.7,KGZ
2014,Proportion of forest area within legally established protected areas,5.7,KGZ
2015,Proportion of forest area within legally established protected areas,5.7,KGZ
2016,Proportion of forest area within legally established protected areas,5.7,KGZ
2017,Proportion of forest area within legally established protected areas,5.7,KGZ
2018,Proportion of forest area within legally established protected areas,5.8,KGZ
2013,Proportion of forest area with a long-term management plan,74.6,KGZ
2014,Proportion of forest area with a long-term management plan,76.4,KGZ
2015,Proportion of forest area with a long-term management plan,78.0,KGZ
2016,Proportion of forest area with a long-term management plan,79.6,KGZ
2017,Proportion of forest area with a long-term management plan,81.3,KGZ
2018,Proportion of forest area with a long-term management plan,82.6,KGZ
