Year,Observation-level footnotes,Reference area,Age,Degree of urbanisation,Income or wealth quantile,Education level,Disability status,GeoCode,Value,M49_country_code
2014,"According to Multiple Indicator Cluster Survey, 2014.",,,,,,,,42.0,KGZ
2018,"According to Multiple Indicator Cluster Survey, 2018",,,,,,,,67.4,KGZ
2014,"According to Multiple Indicator Cluster Survey, 2014.",Batken,,,,,,KG05,45.0,KGZ
2018,"According to Multiple Indicator Cluster Survey, 2018",Batken,,,,,,KG05,48.6,KGZ
2014,"According to Multiple Indicator Cluster Survey, 2014.",Jalal-Abad,,,,,,KG03,31.4,KGZ
2018,"According to Multiple Indicator Cluster Survey, 2018",Jalal-Abad,,,,,,KG03,56.2,KGZ
2014,"According to Multiple Indicator Cluster Survey, 2014.",Issyk-Kul,,,,,,KG02,46.0,KGZ
2018,"According to Multiple Indicator Cluster Survey, 2018",Issyk-Kul,,,,,,KG02,65.1,KGZ
2014,"According to Multiple Indicator Cluster Survey, 2014.",Naryn,,,,,,KG04,58.9,KGZ
2018,"According to Multiple Indicator Cluster Survey, 2018",Naryn,,,,,,KG04,79.8,KGZ
2014,"According to Multiple Indicator Cluster Survey, 2014.",Osh,,,,,,KG06,38.4,KGZ
2018,"According to Multiple Indicator Cluster Survey, 2018",Osh,,,,,,KG06,71.1,KGZ
2014,"According to Multiple Indicator Cluster Survey, 2014.",Talas,,,,,,KG07,43.4,KGZ
2018,"According to Multiple Indicator Cluster Survey, 2018",Talas,,,,,,KG07,79.1,KGZ
2014,"According to Multiple Indicator Cluster Survey, 2014.",Chui,,,,,,KG08,47.8,KGZ
2018,"According to Multiple Indicator Cluster Survey, 2018",Chui,,,,,,KG08,70.7,KGZ
2014,"According to Multiple Indicator Cluster Survey, 2014.",Bishkek (city),,,,,,KG11,47.0,KGZ
2018,"According to Multiple Indicator Cluster Survey, 2018",Bishkek (city),,,,,,KG11,69.6,KGZ
2014,"According to Multiple Indicator Cluster Survey, 2014.",Osh (city),,,,,,KG21,38.3,KGZ
2018,"According to Multiple Indicator Cluster Survey, 2018",Osh (city),,,,,,KG21,71.3,KGZ
2014,"According to Multiple Indicator Cluster Survey, 2014.",,,Urban,,,,,43.1,KGZ
2018,"According to Multiple Indicator Cluster Survey, 2018",,,Urban,,,,,68.6,KGZ
2014,"According to Multiple Indicator Cluster Survey, 2014.",,,Rural,,,,,41.4,KGZ
2018,"According to Multiple Indicator Cluster Survey, 2018",,,Rural,,,,,66.7,KGZ
2014,"According to Multiple Indicator Cluster Survey, 2014.",,15 to 19 years old,,,,,,17.4,KGZ
2018,"According to Multiple Indicator Cluster Survey, 2018",,15 to 19 years old,,,,,,31.7,KGZ
2014,"According to Multiple Indicator Cluster Survey, 2014.",,20 to 24 years old,,,,,,28.9,KGZ
2018,"According to Multiple Indicator Cluster Survey, 2018",,20 to 24 years old,,,,,,53.8,KGZ
2014,"According to Multiple Indicator Cluster Survey, 2014.",,25 to 29 years old,,,,,,39.2,KGZ
2018,"According to Multiple Indicator Cluster Survey, 2018",,25 to 29 years old,,,,,,59.9,KGZ
2014,"According to Multiple Indicator Cluster Survey, 2014.",,30 to 34 years old,,,,,,50.4,KGZ
2018,"According to Multiple Indicator Cluster Survey, 2018",,30 to 34 years old,,,,,,76.2,KGZ
2014,"According to Multiple Indicator Cluster Survey, 2014.",,35 to 39 years old,,,,,,57.2,KGZ
2018,"According to Multiple Indicator Cluster Survey, 2018",,35 to 39 years old,,,,,,74.5,KGZ
