Year,SERIES,Sex,Degree of urbanisation,Value,M49_country_code
2015,Proportion of time spent on unpaid domestic chores and care work,,,13.2,KGZ
2020,Proportion of time spent on unpaid domestic chores and care work,,,11.5,KGZ
2015,Proportion of time spent on unpaid domestic chores and care work,,Urban,12.5,KGZ
2020,Proportion of time spent on unpaid domestic chores and care work,,Urban,10.7,KGZ
2015,Proportion of time spent on unpaid domestic chores and care work,,Rural,13.9,KGZ
2020,Proportion of time spent on unpaid domestic chores and care work,,Rural,11.9,KGZ
2015,Proportion of time spent on unpaid domestic chores and care work,Male,,6.5,KGZ
2020,Proportion of time spent on unpaid domestic chores and care work,Male,,3.9,KGZ
2015,Proportion of time spent on unpaid domestic chores and care work,Female,,18.8,KGZ
2020,Proportion of time spent on unpaid domestic chores and care work,Female,,18.1,KGZ
2015,Proportion of time spent on unpaid domestic chores,,,1.7,KGZ
2020,Proportion of time spent on unpaid domestic chores,,,2.6,KGZ
2015,Proportion of time spent on unpaid domestic chores,,Urban,0.4,KGZ
2020,Proportion of time spent on unpaid domestic chores,,Urban,1.0,KGZ
2015,Proportion of time spent on unpaid domestic chores,,Rural,3.1,KGZ
2020,Proportion of time spent on unpaid domestic chores,,Rural,3.5,KGZ
2015,Proportion of time spent on unpaid domestic chores,Male,,2.4,KGZ
2020,Proportion of time spent on unpaid domestic chores,Male,,3.6,KGZ
2015,Proportion of time spent on unpaid domestic chores,Female,,1.0,KGZ
2020,Proportion of time spent on unpaid domestic chores,Female,,1.7,KGZ
2015,Proportion of time spent on unpaid care work,,,0.9,KGZ
2020,Proportion of time spent on unpaid care work,,,2.0,KGZ
2015,Proportion of time spent on unpaid care work,,Urban,0.9,KGZ
2020,Proportion of time spent on unpaid care work,,Urban,1.7,KGZ
2015,Proportion of time spent on unpaid care work,,Rural,0.9,KGZ
2020,Proportion of time spent on unpaid care work,,Rural,2.2,KGZ
2015,Proportion of time spent on unpaid care work,Male,,0.6,KGZ
2020,Proportion of time spent on unpaid care work,Male,,1.2,KGZ
2015,Proportion of time spent on unpaid care work,Female,,1.2,KGZ
2020,Proportion of time spent on unpaid care work,Female,,2.8,KGZ
