Year,Reference area,Sex,GeoCode,Value,M49_country_code
2010,,,,2.2,KGZ
2011,,,,2.216363,KGZ
2012,,,,2.184656,KGZ
2013,,,,2.170665,KGZ
2014,,,,2.1,KGZ
2015,,,,2.1,KGZ
2016,,,,2.1,KGZ
2017,,,,2.0,KGZ
2018,,,,2.0,KGZ
2019,,,,1.998765,KGZ
2020,,,,2.0,KGZ
2021,,,,1.894085,KGZ
2010,,Female,,2.9,KGZ
2011,,Female,,2.947887,KGZ
2012,,Female,,2.8998,KGZ
2013,,Female,,2.852715,KGZ
2014,,Female,,2.8,KGZ
2015,,Female,,2.8,KGZ
2016,,Female,,2.8,KGZ
2017,,Female,,2.7,KGZ
2018,,Female,,2.7,KGZ
2019,,Female,,2.659527,KGZ
2020,,Female,,2.6,KGZ
2021,,Female,,2.563989,KGZ
2010,,Male,,1.5,KGZ
2011,,Male,,1.466587,KGZ
2012,,Male,,1.452767,KGZ
2013,,Male,,1.473458,KGZ
2014,,Male,,1.4,KGZ
2015,,Male,,1.4,KGZ
2016,,Male,,1.4,KGZ
2017,,Male,,1.4,KGZ
2018,,Male,,1.3,KGZ
2019,,Male,,1.328142,KGZ
2020,,Male,,1.3,KGZ
2021,,Male,,1.214198,KGZ
2010,Batken,,KG05,1.4,KGZ
2011,Batken,,KG05,1.405818,KGZ
2012,Batken,,KG05,1.457866,KGZ
2013,Batken,,KG05,1.488292,KGZ
2014,Batken,,KG05,1.5,KGZ
2015,Batken,,KG05,1.5,KGZ
2016,Batken,,KG05,1.5,KGZ
2017,Batken,,KG05,1.5,KGZ
2018,Batken,,KG05,1.5,KGZ
2019,Batken,,KG05,1.475719,KGZ
2020,Batken,,KG05,1.5,KGZ
2021,Batken,,KG05,1.449919,KGZ
2010,Batken,Female,KG05,1.3,KGZ
2011,Batken,Female,KG05,1.366139,KGZ
2012,Batken,Female,KG05,1.403475,KGZ
2013,Batken,Female,KG05,1.493532,KGZ
2014,Batken,Female,KG05,1.6,KGZ
2015,Batken,Female,KG05,1.5,KGZ
2016,Batken,Female,KG05,1.6,KGZ
2017,Batken,Female,KG05,1.6,KGZ
2018,Batken,Female,KG05,1.6,KGZ
2019,Batken,Female,KG05,1.650071,KGZ
2020,Batken,Female,KG05,1.6,KGZ
2021,Batken,Female,KG05,1.739898,KGZ
2010,Batken,Male,KG05,1.4,KGZ
2011,Batken,Male,KG05,1.444325,KGZ
2012,Batken,Male,KG05,1.510587,KGZ
