Year,SERIES,Reference area,UNIT_MEASURE,GeoCode,Value,M49_country_code
2014,"Number of victims of intentional homicide per 100,000 population",,"Per 100,000 population",,4.535563,KGZ
2015,"Number of victims of intentional homicide per 100,000 population",,"Per 100,000 population",,4.444398,KGZ
2016,"Number of victims of intentional homicide per 100,000 population",,"Per 100,000 population",,3.472061,KGZ
2017,"Number of victims of intentional homicide per 100,000 population",,"Per 100,000 population",,3.778379,KGZ
2018,"Number of victims of intentional homicide per 100,000 population",,"Per 100,000 population",,3.132627,KGZ
2019,"Number of victims of intentional homicide per 100,000 population",,"Per 100,000 population",,2.575293,KGZ
2020,"Number of victims of intentional homicide per 100,000 population",,"Per 100,000 population",,2.621744,KGZ
2014,Number of victims of intentional homicide,,Number,,262.0,KGZ
2015,Number of victims of intentional homicide,,Number,,262.0,KGZ
2016,Number of victims of intentional homicide,,Number,,209.0,KGZ
2017,Number of victims of intentional homicide,,Number,,232.0,KGZ
2018,Number of victims of intentional homicide,,Number,,196.0,KGZ
2019,Number of victims of intentional homicide,,Number,,168.0,KGZ
2020,Number of victims of intentional homicide,,Number,,174.0,KGZ
2014,"Number of victims of intentional homicide per 100,000 population",Batken,"Per 100,000 population",KG05,1.87232,KGZ
2015,"Number of victims of intentional homicide per 100,000 population",Batken,"Per 100,000 population",KG05,1.624056,KGZ
2016,"Number of victims of intentional homicide per 100,000 population",Batken,"Per 100,000 population",KG05,1.588834,KGZ
2017,"Number of victims of intentional homicide per 100,000 population",Batken,"Per 100,000 population",KG05,1.168242,KGZ
2018,"Number of victims of intentional homicide per 100,000 population",Batken,"Per 100,000 population",KG05,2.28517,KGZ
2019,"Number of victims of intentional homicide per 100,000 population",Batken,"Per 100,000 population",KG05,2.047026,KGZ
2020,"Number of victims of intentional homicide per 100,000 population",Batken,"Per 100,000 population",KG05,2.371194,KGZ
2014,Number of victims of intentional homicide,Batken,Number,KG05,9.0,KGZ
2015,Number of victims of intentional homicide,Batken,Number,KG05,8.0,KGZ
2016,Number of victims of intentional homicide,Batken,Number,KG05,8.0,KGZ
2017,Number of victims of intentional homicide,Batken,Number,KG05,6.0,KGZ
2018,Number of victims of intentional homicide,Batken,Number,KG05,12.0,KGZ
2019,Number of victims of intentional homicide,Batken,Number,KG05,11.0,KGZ
2020,Number of victims of intentional homicide,Batken,Number,KG05,13.0,KGZ
2014,"Number of victims of intentional homicide per 100,000 population",Jalal-Abad,"Per 100,000 population",KG03,3.563798,KGZ
2015,"Number of victims of intentional homicide per 100,000 population",Jalal-Abad,"Per 100,000 population",KG03,2.965496,KGZ
2016,"Number of victims of intentional homicide per 100,000 population",Jalal-Abad,"Per 100,000 population",KG03,2.481324,KGZ
2017,"Number of victims of intentional homicide per 100,000 population",Jalal-Abad,"Per 100,000 population",KG03,1.931833,KGZ
2018,"Number of victims of intentional homicide per 100,000 population",Jalal-Abad,"Per 100,000 population",KG03,1.811545,KGZ
2019,"Number of victims of intentional homicide per 100,000 population",Jalal-Abad,"Per 100,000 population",KG03,1.937437,KGZ
2020,"Number of victims of intentional homicide per 100,000 population",Jalal-Abad,"Per 100,000 population",KG03,2.062482,KGZ
2014,Number of victims of intentional homicide,Jalal-Abad,Number,KG03,40.0,KGZ
2015,Number of victims of intentional homicide,Jalal-Abad,Number,KG03,34.0,KGZ
2016,Number of victims of intentional homicide,Jalal-Abad,Number,KG03,29.0,KGZ
2017,Number of victims of intentional homicide,Jalal-Abad,Number,KG03,23.0,KGZ
2018,Number of victims of intentional homicide,Jalal-Abad,Number,KG03,22.0,KGZ
2019,Number of victims of intentional homicide,Jalal-Abad,Number,KG03,24.0,KGZ
2020,Number of victims of intentional homicide,Jalal-Abad,Number,KG03,26.0,KGZ
2014,"Number of victims of intentional homicide per 100,000 population",Issyk-Kul,"Per 100,000 population",KG02,6.251428,KGZ
2015,"Number of victims of intentional homicide per 100,000 population",Issyk-Kul,"Per 100,000 population",KG02,6.16911,KGZ
2016,"Number of victims of intentional homicide per 100,000 population",Issyk-Kul,"Per 100,000 population",KG02,4.194983,KGZ
2017,"Number of victims of intentional homicide per 100,000 population",Issyk-Kul,"Per 100,000 population",KG02,4.762072,KGZ
2018,"Number of victims of intentional homicide per 100,000 population",Issyk-Kul,"Per 100,000 population",KG02,3.471052,KGZ
2019,"Number of victims of intentional homicide per 100,000 population",Issyk-Kul,"Per 100,000 population",KG02,4.838222,KGZ
2020,"Number of victims of intentional homicide per 100,000 population",Issyk-Kul,"Per 100,000 population",KG02,2.191528,KGZ
2014,Number of victims of intentional homicide,Issyk-Kul,Number,KG02,29.0,KGZ
2015,Number of victims of intentional homicide,Issyk-Kul,Number,KG02,29.0,KGZ
2016,Number of victims of intentional homicide,Issyk-Kul,Number,KG02,20.0,KGZ
2017,Number of victims of intentional homicide,Issyk-Kul,Number,KG02,23.0,KGZ
2018,Number of victims of intentional homicide,Issyk-Kul,Number,KG02,17.0,KGZ
2019,Number of victims of intentional homicide,Issyk-Kul,Number,KG02,24.0,KGZ
2020,Number of victims of intentional homicide,Issyk-Kul,Number,KG02,11.0,KGZ
