Year,Reference area,Degree of urbanisation,Income or wealth quantile,Education level,Observation-level footnotes,GeoCode,Value,M49_country_code
2018,,,,,,,96.3,KGZ
2018,,Urban,,,,,96.1,KGZ
2018,,Rural,,,,,96.5,KGZ
2018,Batken,,,,,KG05,99.6,KGZ
2018,Jalal-Abad,,,,,KG03,93.4,KGZ
2018,Issyk-Kul,,,,,KG02,99.1,KGZ
2018,Naryn,,,,,KG04,99.4,KGZ
2018,Osh,,,,,KG06,99.1,KGZ
2018,Talas,,,,,KG07,99.8,KGZ
2018,Chui,,,,,KG08,91.6,KGZ
2018,Bishkek (city),,,,,KG11,95.7,KGZ
2018,Osh (city),,,,,KG21,96.8,KGZ
2018,,,,Primary education,household head education,,92.1,KGZ
2018,,,,Lower secondary education,household head education,,94.7,KGZ
2018,,,,Upper secondary education,household head education,,97.4,KGZ
2018,,,,Post-secondary non-tertiary education,household head education,,96.6,KGZ
2018,,,,Short-cycle tertiary education,household head education,,95.1,KGZ
2018,,,Quintile 1 (poorest),,,,97.2,KGZ
2018,,,Quintile 2,,,,95.9,KGZ
2018,,,Quintile 3,,,,96.5,KGZ
2018,,,Quintile 4,,,,96.4,KGZ
2018,,,Quintile 5 (richest),,,,95.7,KGZ
