Year,SERIES,Reference area,Age,GeoCode,Value,M49_country_code
2015,Proportion of women aged 15-49 years with anaemia [2.2.3],,,,3.4,KGZ
2016,Proportion of women aged 15-49 years with anaemia [2.2.3],,,,2.8,KGZ
2017,Proportion of women aged 15-49 years with anaemia [2.2.3],,,,2.8,KGZ
2018,Proportion of women aged 15-49 years with anaemia [2.2.3],,,,2.5,KGZ
2019,Proportion of women aged 15-49 years with anaemia [2.2.3],,,,2.0,KGZ
2020,Proportion of women aged 15-49 years with anaemia [2.2.3],,,,1.156022,KGZ
2021,Proportion of women aged 15-49 years with anaemia [2.2.3],,,,1.3,KGZ
2015,Proportion of women aged 15-49 years with anaemia [2.2.3],,under 14 years old,,3.9,KGZ
2016,Proportion of women aged 15-49 years with anaemia [2.2.3],,under 14 years old,,3.2,KGZ
2017,Proportion of women aged 15-49 years with anaemia [2.2.3],,under 14 years old,,3.4,KGZ
2018,Proportion of women aged 15-49 years with anaemia [2.2.3],,under 14 years old,,3.0,KGZ
2019,Proportion of women aged 15-49 years with anaemia [2.2.3],,under 14 years old,,2.5,KGZ
2020,Proportion of women aged 15-49 years with anaemia [2.2.3],,under 14 years old,,1.257611,KGZ
2021,Proportion of women aged 15-49 years with anaemia [2.2.3],,under 14 years old,,1.5,KGZ
2015,Proportion of women aged 15-49 years with anaemia [2.2.3],,15 years old and over,,3.2,KGZ
2016,Proportion of women aged 15-49 years with anaemia [2.2.3],,15 years old and over,,2.6,KGZ
2017,Proportion of women aged 15-49 years with anaemia [2.2.3],,15 years old and over,,2.6,KGZ
2018,Proportion of women aged 15-49 years with anaemia [2.2.3],,15 years old and over,,2.3,KGZ
2019,Proportion of women aged 15-49 years with anaemia [2.2.3],,15 years old and over,,1.8,KGZ
2020,Proportion of women aged 15-49 years with anaemia [2.2.3],,15 years old and over,,1.108352,KGZ
2021,Proportion of women aged 15-49 years with anaemia [2.2.3],,15 years old and over,,1.1,KGZ
2015,"Proportion of women aged 15-49 years with anaemia, pregnant [2.2.3]",,,,52.846005,KGZ
2016,"Proportion of women aged 15-49 years with anaemia, pregnant [2.2.3]",,,,47.502069,KGZ
2017,"Proportion of women aged 15-49 years with anaemia, pregnant [2.2.3]",,,,52.792095,KGZ
2018,"Proportion of women aged 15-49 years with anaemia, pregnant [2.2.3]",,,,58.958873,KGZ
2019,"Proportion of women aged 15-49 years with anaemia, pregnant [2.2.3]",,,,55.240237,KGZ
2020,"Proportion of women aged 15-49 years with anaemia, pregnant [2.2.3]",,,,40.422043,KGZ
2021,"Proportion of women aged 15-49 years with anaemia, pregnant [2.2.3]",,,,35.440295,KGZ
2015,"Proportion of women aged 15-49 years with anaemia, pregnant [2.2.3]",Batken,,KG05,93.343001,KGZ
2016,"Proportion of women aged 15-49 years with anaemia, pregnant [2.2.3]",Batken,,KG05,63.421955,KGZ
2017,"Proportion of women aged 15-49 years with anaemia, pregnant [2.2.3]",Batken,,KG05,87.940429,KGZ
2018,"Proportion of women aged 15-49 years with anaemia, pregnant [2.2.3]",Batken,,KG05,86.916427,KGZ
2019,"Proportion of women aged 15-49 years with anaemia, pregnant [2.2.3]",Batken,,KG05,88.203209,KGZ
2020,"Proportion of women aged 15-49 years with anaemia, pregnant [2.2.3]",Batken,,KG05,62.073018,KGZ
2021,"Proportion of women aged 15-49 years with anaemia, pregnant [2.2.3]",Batken,,KG05,59.171813,KGZ
2015,"Proportion of women aged 15-49 years with anaemia, pregnant [2.2.3]",Jalal-Abad,,KG03,69.843445,KGZ
2016,"Proportion of women aged 15-49 years with anaemia, pregnant [2.2.3]",Jalal-Abad,,KG03,56.804052,KGZ
2017,"Proportion of women aged 15-49 years with anaemia, pregnant [2.2.3]",Jalal-Abad,,KG03,70.581429,KGZ
2018,"Proportion of women aged 15-49 years with anaemia, pregnant [2.2.3]",Jalal-Abad,,KG03,75.09768,KGZ
2019,"Proportion of women aged 15-49 years with anaemia, pregnant [2.2.3]",Jalal-Abad,,KG03,80.273802,KGZ
2020,"Proportion of women aged 15-49 years with anaemia, pregnant [2.2.3]",Jalal-Abad,,KG03,59.73299,KGZ
2021,"Proportion of women aged 15-49 years with anaemia, pregnant [2.2.3]",Jalal-Abad,,KG03,44.777331,KGZ
2015,"Proportion of women aged 15-49 years with anaemia, pregnant [2.2.3]",Issyk-Kul,,KG02,33.22151,KGZ
2016,"Proportion of women aged 15-49 years with anaemia, pregnant [2.2.3]",Issyk-Kul,,KG02,35.099338,KGZ
2017,"Proportion of women aged 15-49 years with anaemia, pregnant [2.2.3]",Issyk-Kul,,KG02,39.201903,KGZ
2018,"Proportion of women aged 15-49 years with anaemia, pregnant [2.2.3]",Issyk-Kul,,KG02,31.307684,KGZ
2019,"Proportion of women aged 15-49 years with anaemia, pregnant [2.2.3]",Issyk-Kul,,KG02,26.755677,KGZ
2020,"Proportion of women aged 15-49 years with anaemia, pregnant [2.2.3]",Issyk-Kul,,KG02,29.473684,KGZ
2021,"Proportion of women aged 15-49 years with anaemia, pregnant [2.2.3]",Issyk-Kul,,KG02,23.062382,KGZ
2015,"Proportion of women aged 15-49 years with anaemia, pregnant [2.2.3]",Naryn,,KG04,37.077865,KGZ
2016,"Proportion of women aged 15-49 years with anaemia, pregnant [2.2.3]",Naryn,,KG04,34.445603,KGZ
2017,"Proportion of women aged 15-49 years with anaemia, pregnant [2.2.3]",Naryn,,KG04,32.450331,KGZ
2018,"Proportion of women aged 15-49 years with anaemia, pregnant [2.2.3]",Naryn,,KG04,27.505407,KGZ
2019,"Proportion of women aged 15-49 years with anaemia, pregnant [2.2.3]",Naryn,,KG04,20.346733,KGZ
2020,"Proportion of women aged 15-49 years with anaemia, pregnant [2.2.3]",Naryn,,KG04,18.726592,KGZ
2021,"Proportion of women aged 15-49 years with anaemia, pregnant [2.2.3]",Naryn,,KG04,19.815314,KGZ
2015,"Proportion of women aged 15-49 years with anaemia, pregnant [2.2.3]",Osh,,KG06,40.599511,KGZ
2016,"Proportion of women aged 15-49 years with anaemia, pregnant [2.2.3]",Osh,,KG06,43.986528,KGZ
2017,"Proportion of women aged 15-49 years with anaemia, pregnant [2.2.3]",Osh,,KG06,49.775699,KGZ
2018,"Proportion of women aged 15-49 years with anaemia, pregnant [2.2.3]",Osh,,KG06,49.038739,KGZ
2019,"Proportion of women aged 15-49 years with anaemia, pregnant [2.2.3]",Osh,,KG06,46.766805,KGZ
2020,"Proportion of women aged 15-49 years with anaemia, pregnant [2.2.3]",Osh,,KG06,25.552099,KGZ
2021,"Proportion of women aged 15-49 years with anaemia, pregnant [2.2.3]",Osh,,KG06,23.537218,KGZ
2015,"Proportion of women aged 15-49 years with anaemia, pregnant [2.2.3]",Talas,,KG07,48.794449,KGZ
2016,"Proportion of women aged 15-49 years with anaemia, pregnant [2.2.3]",Talas,,KG07,61.884874,KGZ
2017,"Proportion of women aged 15-49 years with anaemia, pregnant [2.2.3]",Talas,,KG07,51.555883,KGZ
2018,"Proportion of women aged 15-49 years with anaemia, pregnant [2.2.3]",Talas,,KG07,39.738875,KGZ
2019,"Proportion of women aged 15-49 years with anaemia, pregnant [2.2.3]",Talas,,KG07,32.170099,KGZ
2020,"Proportion of women aged 15-49 years with anaemia, pregnant [2.2.3]",Talas,,KG07,41.943974,KGZ
2021,"Proportion of women aged 15-49 years with anaemia, pregnant [2.2.3]",Talas,,KG07,33.438662,KGZ
2015,"Proportion of women aged 15-49 years with anaemia, pregnant [2.2.3]",Chui,,KG08,31.488782,KGZ
2016,"Proportion of women aged 15-49 years with anaemia, pregnant [2.2.3]",Chui,,KG08,34.041943,KGZ
2017,"Proportion of women aged 15-49 years with anaemia, pregnant [2.2.3]",Chui,,KG08,31.154508,KGZ
2018,"Proportion of women aged 15-49 years with anaemia, pregnant [2.2.3]",Chui,,KG08,35.764419,KGZ
2019,"Proportion of women aged 15-49 years with anaemia, pregnant [2.2.3]",Chui,,KG08,30.102889,KGZ
2020,"Proportion of women aged 15-49 years with anaemia, pregnant [2.2.3]",Chui,,KG08,24.77942,KGZ
2021,"Proportion of women aged 15-49 years with anaemia, pregnant [2.2.3]",Chui,,KG08,27.234744,KGZ
