Year,Sex,Age,Degree of urbanisation,Economic activity,Value,M49_country_code
2007,,,,,1514.8,KGZ
2008,,,,,1559.6,KGZ
2009,,,,,1592.9,KGZ
2010,,,,,1589.7,KGZ
2011,,,,,1603.9,KGZ
2012,,,,,1602.8,KGZ
2013,,,,,1629.1,KGZ
2014,,,,,1653.0,KGZ
2015,,,,,1686.4,KGZ
2016,,,,,1683.0,KGZ
2017,,,,,1611.3,KGZ
2018,,,,,1686.9,KGZ
2019,,,,,1754.2,KGZ
2020,,,,,1586.9,KGZ
2021,,,,,1687.9,KGZ
2007,Male,,,,928.9,KGZ
2008,Male,,,,936.1,KGZ
2009,Male,,,,983.6,KGZ
2010,Male,,,,993.8,KGZ
2011,Male,,,,999.9,KGZ
2012,Male,,,,1008.4,KGZ
2013,Male,,,,1044.3,KGZ
2014,Male,,,,1040.6,KGZ
2015,Male,,,,1077.9,KGZ
2016,Male,,,,1095.7,KGZ
2017,Male,,,,1074.4,KGZ
2018,Male,,,,1131.7,KGZ
2019,Male,,,,1161.7,KGZ
2020,Male,,,,1032.4,KGZ
2021,Male,,,,1116.6,KGZ
2007,Female,,,,585.9,KGZ
2008,Female,,,,623.5,KGZ
2009,Female,,,,609.4,KGZ
2010,Female,,,,595.9,KGZ
2011,Female,,,,604.0,KGZ
2012,Female,,,,594.4,KGZ
2013,Female,,,,584.8,KGZ
2014,Female,,,,612.3,KGZ
2015,Female,,,,608.5,KGZ
2016,Female,,,,587.3,KGZ
2017,Female,,,,536.9,KGZ
2018,Female,,,,555.2,KGZ
2019,Female,,,,592.5,KGZ
2020,Female,,,,554.5,KGZ
2021,Female,,,,571.3,KGZ
2007,,15 to 19 years old,,,129.7,KGZ
2008,,15 to 19 years old,,,130.2,KGZ
2009,,15 to 19 years old,,,139.2,KGZ
2010,,15 to 19 years old,,,128.9,KGZ
2011,,15 to 19 years old,,,120.5,KGZ
2012,,15 to 19 years old,,,109.0,KGZ
2013,,15 to 19 years old,,,126.1,KGZ
2014,,15 to 19 years old,,,108.0,KGZ
2015,,15 to 19 years old,,,101.7,KGZ
2016,,15 to 19 years old,,,85.0,KGZ
2017,,15 to 19 years old,,,71.1,KGZ
2018,,15 to 19 years old,,,76.5,KGZ
2019,,15 to 19 years old,,,75.3,KGZ
2020,,15 to 19 years old,,,77.1,KGZ
2021,,15 to 19 years old,,,80.6,KGZ
2007,,20 to 29 years old,,,463.8,KGZ
2008,,20 to 29 years old,,,485.6,KGZ
2009,,20 to 29 years old,,,492.5,KGZ
2010,,20 to 29 years old,,,500.9,KGZ
2011,,20 to 29 years old,,,502.9,KGZ
2012,,20 to 29 years old,,,497.3,KGZ
2013,,20 to 29 years old,,,523.0,KGZ
2014,,20 to 29 years old,,,516.5,KGZ
2015,,20 to 29 years old,,,516.1,KGZ
2016,,20 to 29 years old,,,518.7,KGZ
