Year,Reference area,Sex,Age,Degree of urbanisation,Income or wealth quantile,Education level,GeoCode,Value,M49_country_code
2018,,,15 years old and over,,,,,91.8,KGZ
2019,,,15 years old and over,,,,,91.178938,KGZ
2020,,,15 years old and over,,,,,92.6,KGZ
2021,,,15 years old and over,,,,,92.994602,KGZ
2018,,,15 years old and over,Urban,,,,94.9,KGZ
2019,,,15 years old and over,Urban,,,,95.590033,KGZ
2020,,,15 years old and over,Urban,,,,96.0,KGZ
2021,,,15 years old and over,Urban,,,,96.70329,KGZ
2018,,,15 years old and over,Rural,,,,89.9,KGZ
2019,,,15 years old and over,Rural,,,,88.555506,KGZ
2020,,,15 years old and over,Rural,,,,90.5,KGZ
2021,,,15 years old and over,Rural,,,,90.681478,KGZ
2018,,Male,15 years old and over,,,,,92.8,KGZ
2019,,Male,15 years old and over,,,,,92.137465,KGZ
2020,,Male,15 years old and over,,,,,93.2,KGZ
2021,,Male,15 years old and over,,,,,94.137112,KGZ
2018,,Female,15 years old and over,,,,,91.0,KGZ
2019,,Female,15 years old and over,,,,,90.379166,KGZ
2020,,Female,15 years old and over,,,,,92.0,KGZ
2021,,Female,15 years old and over,,,,,92.036289,KGZ
2018,Batken,,15 years old and over,,,,KG05,91.1,KGZ
2019,Batken,,15 years old and over,,,,KG05,92.501775,KGZ
2020,Batken,,15 years old and over,,,,KG05,93.5,KGZ
2021,Batken,,15 years old and over,,,,KG05,93.333536,KGZ
2018,Jalal-Abad,,15 years old and over,,,,KG03,90.6,KGZ
2019,Jalal-Abad,,15 years old and over,,,,KG03,82.95577,KGZ
2020,Jalal-Abad,,15 years old and over,,,,KG03,83.5,KGZ
2021,Jalal-Abad,,15 years old and over,,,,KG03,83.868737,KGZ
2018,Issyk-Kul,,15 years old and over,,,,KG02,92.1,KGZ
2019,Issyk-Kul,,15 years old and over,,,,KG02,93.390895,KGZ
2020,Issyk-Kul,,15 years old and over,,,,KG02,95.2,KGZ
2021,Issyk-Kul,,15 years old and over,,,,KG02,96.414753,KGZ
2018,Naryn,,15 years old and over,,,,KG04,89.4,KGZ
2019,Naryn,,15 years old and over,,,,KG04,89.199874,KGZ
2020,Naryn,,15 years old and over,,,,KG04,92.2,KGZ
2021,Naryn,,15 years old and over,,,,KG04,93.035508,KGZ
2018,Osh,,15 years old and over,,,,KG06,87.6,KGZ
2019,Osh,,15 years old and over,,,,KG06,89.256132,KGZ
2020,Osh,,15 years old and over,,,,KG06,93.2,KGZ
2021,Osh,,15 years old and over,,,,KG06,92.867771,KGZ
2018,Talas,,15 years old and over,,,,KG07,91.5,KGZ
2019,Talas,,15 years old and over,,,,KG07,90.937706,KGZ
2020,Talas,,15 years old and over,,,,KG07,92.6,KGZ
2021,Talas,,15 years old and over,,,,KG07,92.877988,KGZ
2018,Chui,,15 years old and over,,,,KG08,94.6,KGZ
2019,Chui,,15 years old and over,,,,KG08,95.858208,KGZ
2020,Chui,,15 years old and over,,,,KG08,96.0,KGZ
2021,Chui,,15 years old and over,,,,KG08,96.944232,KGZ
2018,Bishkek (city),,15 years old and over,,,,KG11,97.0,KGZ
2019,Bishkek (city),,15 years old and over,,,,KG11,97.2808,KGZ
2020,Bishkek (city),,15 years old and over,,,,KG11,97.9,KGZ
2021,Bishkek (city),,15 years old and over,,,,KG11,97.652833,KGZ
2018,Osh (city),,15 years old and over,,,,KG21,88.3,KGZ
2019,Osh (city),,15 years old and over,,,,KG21,91.838606,KGZ
2020,Osh (city),,15 years old and over,,,,KG21,91.9,KGZ
2021,Osh (city),,15 years old and over,,,,KG21,95.83957,KGZ
2018,,,15 to 28 years old,,,,,90.9,KGZ
2019,,,15 to 28 years old,,,,,89.361139,KGZ
2020,,,15 to 28 years old,,,,,90.1,KGZ
2021,,,15 to 28 years old,,,,,91.964757,KGZ
2018,,,"29 to 62 years old (working age population: women under 57 years old, men under 62 years old)",,,,,95.9,KGZ
2019,,,"29 to 62 years old (working age population: women under 57 years old, men under 62 years old)",,,,,95.334863,KGZ
2020,,,"29 to 62 years old (working age population: women under 57 years old, men under 62 years old)",,,,,96.1,KGZ
2021,,,"29 to 62 years old (working age population: women under 57 years old, men under 62 years old)",,,,,95.62544,KGZ
2018,,,"58 years old and over (population over working age: women 58 years and older, men 63 years and older)",,,,,78.8,KGZ
2019,,,"58 years old and over (population over working age: women 58 years and older, men 63 years and older)",,,,,80.597836,KGZ
2020,,,"58 years old and over (population over working age: women 58 years and older, men 63 years and older)",,,,,85.6,KGZ
2021,,,"58 years old and over (population over working age: women 58 years and older, men 63 years and older)",,,,,86.706527,KGZ
2018,,,15 years old and over,,,Primary education,,58.1,KGZ
2019,,,15 years old and over,,,Primary education,,60.727949,KGZ
2020,,,15 years old and over,,,Primary education,,68.7,KGZ
2021,,,15 years old and over,,,Primary education,,68.076027,KGZ
2018,,,15 years old and over,,,Lower secondary education,,84.0,KGZ
2019,,,15 years old and over,,,Lower secondary education,,82.680604,KGZ
2020,,,15 years old and over,,,Lower secondary education,,85.6,KGZ
2021,,,15 years old and over,,,Lower secondary education,,89.482325,KGZ
2018,,,15 years old and over,,,Upper secondary education,,92.8,KGZ
2019,,,15 years old and over,,,Upper secondary education,,92.037394,KGZ
2020,,,15 years old and over,,,Upper secondary education,,92.9,KGZ
2021,,,15 years old and over,,,Upper secondary education,,92.677684,KGZ
2018,,,15 years old and over,,,Post-secondary non-tertiary education,,96.4,KGZ
2019,,,15 years old and over,,,Post-secondary non-tertiary education,,96.037143,KGZ
2020,,,15 years old and over,,,Post-secondary non-tertiary education,,96.8,KGZ
2021,,,15 years old and over,,,Post-secondary non-tertiary education,,97.302275,KGZ
2018,,,15 years old and over,,,Tertiary education (Bachelor’s and Master's or equivalent),,98.1,KGZ
2019,,,15 years old and over,,,Tertiary education (Bachelor’s and Master's or equivalent),,97.488857,KGZ
2020,,,15 years old and over,,,Tertiary education (Bachelor’s and Master's or equivalent),,98.4,KGZ
2021,,,15 years old and over,,,Tertiary education (Bachelor’s and Master's or equivalent),,98.334718,KGZ
2018,,,15 years old and over,,Quintile 1 (poorest),,,88.941427,KGZ
2019,,,15 years old and over,,Quintile 1 (poorest),,,86.235104,KGZ
2020,,,15 years old and over,,Quintile 1 (poorest),,,87.533804,KGZ
2021,,,15 years old and over,,Quintile 1 (poorest),,,86.414024,KGZ
2018,,,15 years old and over,,Quintile 2,,,90.234584,KGZ
2019,,,15 years old and over,,Quintile 2,,,90.9333,KGZ
2020,,,15 years old and over,,Quintile 2,,,92.176936,KGZ
2021,,,15 years old and over,,Quintile 2,,,93.331957,KGZ
2018,,,15 years old and over,,Quintile 3,,,91.864446,KGZ
2019,,,15 years old and over,,Quintile 3,,,90.460037,KGZ
2020,,,15 years old and over,,Quintile 3,,,95.223429,KGZ
2021,,,15 years old and over,,Quintile 3,,,94.055976,KGZ
2018,,,15 years old and over,,Quintile 4,,,91.919084,KGZ
2019,,,15 years old and over,,Quintile 4,,,93.289778,KGZ
2020,,,15 years old and over,,Quintile 4,,,93.748841,KGZ
2021,,,15 years old and over,,Quintile 4,,,95.449908,KGZ
2018,,,15 years old and over,,Quintile 5 (richest),,,94.603144,KGZ
2019,,,15 years old and over,,Quintile 5 (richest),,,93.356497,KGZ
2020,,,15 years old and over,,Quintile 5 (richest),,,95.771799,KGZ
2021,,,15 years old and over,,Quintile 5 (richest),,,96.978118,KGZ
