M49_code,ISO3_code,name_en,name_ru,name_fr,name_es,name_cn,name_ar
12,DZA,Algeria,Алжир,Algérie,Argelia,阿尔及利亚,الجزائر
818,EGY,Egypt,Египет,Égypte,Egipto,埃及,مصر
434,LBY,Libya,Ливия,Libye,Libia,利比亚,ليبيا
504,MAR,Morocco,Марокко,Maroc,Marruecos,摩洛哥,المغرب
729,SDN,Sudan,Судан,Soudan,Sudán,苏丹,السودان
788,TUN,Tunisia,Тунис,Tunisie,Túnez,突尼斯,تونس
732,ESH,Western Sahara,Западная Сахара,Sahara occidental,Sáhara Occidental,西撒哈拉,الصحراء الغربية
86,IOT,British Indian Ocean Territory,Британская территория в Индийском океане,Territoire britannique de l'océan Indien,Territorio Británico del Océano Índico,英属印度洋领土,المحيط الهندي الإقليم البريطاني في
108,BDI,Burundi,Бурунди,Burundi,Burundi,布隆迪,بوروندي
174,COM,Comoros,Коморские Острова,Comores,Comoras,科摩罗,جزر القمر
262,DJI,Djibouti,Джибути,Djibouti,Djibouti,吉布提,جيبوتي
232,ERI,Eritrea,Эритрея,Érythrée,Eritrea,厄立特里亚,إريتريا
231,ETH,Ethiopia,Эфиопия,Éthiopie,Etiopía,埃塞俄比亚,إثيوبيا
260,ATF,French Southern Territories,Южные земли (французская заморская территория),Terres australes françaises,Territorio de las Tierras Australes Francesas,法属南方领地,الأراضي الفرنسية الجنوبية الجنوبية
404,KEN,Kenya,Кения,Kenya,Kenya,肯尼亚,كينيا
450,MDG,Madagascar,Мадагаскар,Madagascar,Madagascar,马达加斯加,مدغشقر
454,MWI,Malawi,Малави,Malawi,Malawi,马拉维,ملاوي
480,MUS,Mauritius,Маврикий,Maurice,Mauricio,毛里求斯,موريشيوس
175,MYT,Mayotte,Остров Майотта,Mayotte,Mayotte,马约特,مايوت
508,MOZ,Mozambique,Мозамбик,Mozambique,Mozambique,莫桑比克,موزامبيق
638,REU,Réunion,Реюньон,Réunion,Reunión,留尼汪,ريونيون
646,RWA,Rwanda,Руанда,Rwanda,Rwanda,卢旺达,رواندا
690,SYC,Seychelles,Сейшельские Острова,Seychelles,Seychelles,塞舌尔,سيشيل
706,SOM,Somalia,Сомали,Somalie,Somalia,索马里,الصومال
728,SSD,South Sudan,Южный Судан,Soudan du Sud,Sudán del Sur,南苏丹,جنوب السودان
800,UGA,Uganda,Уганда,Ouganda,Uganda,乌干达,أوغندا
834,TZA,United Republic of Tanzania,Объединенная Республика Танзания,République-Unie de Tanzanie,República Unida de Tanzanía,坦桑尼亚联合共和国,جمهورية تنزانيا المتحدة
894,ZMB,Zambia,Замбия,Zambie,Zambia,赞比亚,زامبيا
716,ZWE,Zimbabwe,Зимбабве,Zimbabwe,Zimbabwe,津巴布韦,زمبابوي
24,AGO,Angola,Ангола,Angola,Angola,安哥拉,أنغولا
120,CMR,Cameroon,Камерун,Cameroun,Camerún,喀麦隆,الكاميرون
140,CAF,Central African Republic,Центральноафриканская Республика,République centrafricaine,República Centroafricana,中非共和国,جمهورية أفريقيا الوسطى
148,TCD,Chad,Чад,Tchad,Chad,乍得,تشاد
178,COG,Congo,Конго,Congo,Congo,刚果,الكونغو
180,COD,Democratic Republic of the Congo,Демократическая Республика Конго,République démocratique du Congo,República Democrática del Congo,刚果民主共和国,جمهورية الكونغو الديمقراطية
226,GNQ,Equatorial Guinea,Экваториальная Гвинея,Guinée équatoriale,Guinea Ecuatorial,赤道几内亚,غينيا الاستوائية
266,GAB,Gabon,Габон,Gabon,Gabón,加蓬,غابون
678,STP,Sao Tome and Principe,Сан-Томе и Принсипи,Sao Tomé-et-Principe,Santo Tomé y Príncipe,圣多美和普林西比,سان تومي وبرينسيبي
72,BWA,Botswana,Ботсвана,Botswana,Botswana,博茨瓦纳,بوتسوانا
748,SWZ,Eswatini,Эсватини,Eswatini,Eswatini,斯威士兰,إسواتيني
426,LSO,Lesotho,Лесото,Lesotho,Lesotho,莱索托,ليسوتو
