unique_id,col_caption_name,year,value,M49_country_code
02_126_1000,Wheat: Total,2000,27.6,UZB
02_126_1000,Wheat: Total,2001,30.8,UZB
02_126_1000,Wheat: Total,2002,39.0,UZB
02_126_1000,Wheat: Total,2003,36.4,UZB
02_126_1000,Wheat: Total,2004,37.0,UZB
02_126_1000,Wheat: Total,2005,41.5,UZB
02_126_1000,Wheat: Total,2006,43.5,UZB
02_126_1000,Wheat: Total,2007,44.9,UZB
02_126_1000,Wheat: Total,2008,45.2,UZB
02_126_1000,Wheat: Total,2009,48.9,UZB
02_126_1000,Wheat: Total,2010,46.5,UZB
02_126_1000,Wheat: Total,2011,47.8,UZB
02_126_1000,Wheat: Total,2012,47.3,UZB
02_126_1000,Wheat: Total,2013,47.4,UZB
02_126_1000,Wheat: Total,2014,47.9,UZB
02_126_1000,Wheat: Total,2015,48.2,UZB
02_126_1000,Wheat: Total,2016,47.9,UZB
02_126_1000,Wheat: Total,2017,42.2,UZB
02_126_1000,Wheat: Total,2018,41.0,UZB
02_126_1000,Wheat: Total,2019,46.3,UZB
02_126_1000,Wheat: Total,2020,45.4,UZB
02_126_1000,Wheat: Total,2021,46.1,UZB
02_126_1001,Wheat: in farms,2000,25.8,UZB
02_126_1001,Wheat: in farms,2001,28.0,UZB
02_126_1001,Wheat: in farms,2002,37.1,UZB
02_126_1001,Wheat: in farms,2003,34.2,UZB
02_126_1001,Wheat: in farms,2004,35.8,UZB
02_126_1001,Wheat: in farms,2005,39.7,UZB
02_126_1001,Wheat: in farms,2006,42.4,UZB
02_126_1001,Wheat: in farms,2007,43.6,UZB
02_126_1001,Wheat: in farms,2008,43.5,UZB
02_126_1001,Wheat: in farms,2009,48.0,UZB
02_126_1001,Wheat: in farms,2010,45.4,UZB
02_126_1001,Wheat: in farms,2011,46.1,UZB
02_126_1001,Wheat: in farms,2012,46.0,UZB
02_126_1001,Wheat: in farms,2013,45.9,UZB
02_126_1001,Wheat: in farms,2014,46.6,UZB
02_126_1001,Wheat: in farms,2015,47.0,UZB
02_126_1001,Wheat: in farms,2016,46.6,UZB
02_126_1001,Wheat: in farms,2017,40.4,UZB
02_126_1001,Wheat: in farms,2018,40.0,UZB
02_126_1001,Wheat: in farms,2019,47.3,UZB
02_126_1001,Wheat: in farms,2020,47.3,UZB
02_126_1001,Wheat: in farms,2021,48.9,UZB
02_126_1002,Wheat: in dekhkan (personal) farms,2000,41.1,UZB
02_126_1002,Wheat: in dekhkan (personal) farms,2001,43.0,UZB
02_126_1002,Wheat: in dekhkan (personal) farms,2002,46.8,UZB
02_126_1002,Wheat: in dekhkan (personal) farms,2003,49.1,UZB
02_126_1002,Wheat: in dekhkan (personal) farms,2004,51.4,UZB
02_126_1002,Wheat: in dekhkan (personal) farms,2005,54.5,UZB
02_126_1002,Wheat: in dekhkan (personal) farms,2006,55.5,UZB
02_126_1002,Wheat: in dekhkan (personal) farms,2007,56.7,UZB
02_126_1002,Wheat: in dekhkan (personal) farms,2008,58.1,UZB
02_126_1002,Wheat: in dekhkan (personal) farms,2009,56.2,UZB
02_126_1002,Wheat: in dekhkan (personal) farms,2010,56.7,UZB
02_126_1002,Wheat: in dekhkan (personal) farms,2011,61.7,UZB
02_126_1002,Wheat: in dekhkan (personal) farms,2012,57.8,UZB
