Year,UNIT_MEASURE,Regions,Area,Sex,Age,Value,M49_country_code,Reference area,GeoCode,unique_id,col_caption_name,col_caption_name1_empty,year,value
2010.0,Percent,,,,,5.8,KAZ,,,,,,,
2010.0,Percent,Akmola,,,,5.8,KAZ,,,,,,,
2010.0,Percent,Aktobe,,,,5.3,KAZ,,,,,,,
2010.0,Percent,Almaty,,,,5.6,KAZ,,,,,,,
2010.0,Percent,Atyrau,,,,5.4,KAZ,,,,,,,
2010.0,Percent,Batys Kazakhstan,,,,5.6,KAZ,,,,,,,
2010.0,Percent,Zhambyl,,,,5.7,KAZ,,,,,,,
2010.0,Percent,Karagandy,,,,5.5,KAZ,,,,,,,
2010.0,Percent,Kostanay,,,,5.7,KAZ,,,,,,,
2010.0,Percent,Kyzylorda,,,,5.9,KAZ,,,,,,,
2010.0,Percent,Mangistau,,,,6.4,KAZ,,,,,,,
2010.0,Percent,Ontustik Kazakhstan,,,,5.9,KAZ,,,,,,,
2010.0,Percent,Pavlodar,,,,5.6,KAZ,,,,,,,
2010.0,Percent,Soltustik Kazakhstan,,,,5.8,KAZ,,,,,,,
2010.0,Percent,Shygys Kazakhstan,,,,5.7,KAZ,,,,,,,
2010.0,Percent,Nur-Sultan city,,,,6.2,KAZ,,,,,,,
2010.0,Percent,Almaty city,,,,6.3,KAZ,,,,,,,
2010.0,Percent,,,Male,,4.9,KAZ,,,,,,,
2010.0,Percent,Akmola,,Male,,6.1,KAZ,,,,,,,
2010.0,Percent,Aktobe,,Male,,2.9,KAZ,,,,,,,
2010.0,Percent,Almaty,,Male,,5.3,KAZ,,,,,,,
2010.0,Percent,Atyrau,,Male,,3.9,KAZ,,,,,,,
2010.0,Percent,Batys Kazakhstan,,Male,,4.7,KAZ,,,,,,,
2010.0,Percent,Zhambyl,,Male,,5.5,KAZ,,,,,,,
2010.0,Percent,Karagandy,,Male,,4.5,KAZ,,,,,,,
2010.0,Percent,Kostanay,,Male,,5.2,KAZ,,,,,,,
2010.0,Percent,Kyzylorda,,Male,,5.7,KAZ,,,,,,,
2010.0,Percent,Mangistau,,Male,,5.9,KAZ,,,,,,,
2010.0,Percent,Ontustik Kazakhstan,,Male,,4.8,KAZ,,,,,,,
2010.0,Percent,Pavlodar,,Male,,4.6,KAZ,,,,,,,
2010.0,Percent,Soltustik Kazakhstan,,Male,,6.1,KAZ,,,,,,,
2010.0,Percent,Shygys Kazakhstan,,Male,,4.9,KAZ,,,,,,,
2010.0,Percent,Nur-Sultan city,,Male,,2.9,KAZ,,,,,,,
2010.0,Percent,Almaty city,,Male,,5.5,KAZ,,,,,,,
2010.0,Percent,,,Female,,6.6,KAZ,,,,,,,
2010.0,Percent,Akmola,,Female,,5.5,KAZ,,,,,,,
2010.0,Percent,Aktobe,,Female,,7.7,KAZ,,,,,,,
2010.0,Percent,Almaty,,Female,,6.0,KAZ,,,,,,,
2010.0,Percent,Atyrau,,Female,,7.0,KAZ,,,,,,,
2010.0,Percent,Batys Kazakhstan,,Female,,6.6,KAZ,,,,,,,
2010.0,Percent,Zhambyl,,Female,,5.9,KAZ,,,,,,,
2010.0,Percent,Karagandy,,Female,,6.4,KAZ,,,,,,,
2010.0,Percent,Kostanay,,Female,,6.1,KAZ,,,,,,,
2010.0,Percent,Kyzylorda,,Female,,6.1,KAZ,,,,,,,
2010.0,Percent,Mangistau,,Female,,7.1,KAZ,,,,,,,
2010.0,Percent,Ontustik Kazakhstan,,Female,,7.2,KAZ,,,,,,,
2010.0,Percent,Pavlodar,,Female,,6.7,KAZ,,,,,,,
2010.0,Percent,Soltustik Kazakhstan,,Female,,5.5,KAZ,,,,,,,
2010.0,Percent,Shygys Kazakhstan,,Female,,6.5,KAZ,,,,,,,
2010.0,Percent,Nur-Sultan city,,Female,,9.7,KAZ,,,,,,,
2010.0,Percent,Almaty city,,Female,,7.0,KAZ,,,,,,,
2010.0,Percent,,urban,,,6.2,KAZ,,,,,,,
2010.0,Percent,Akmola,urban,,,5.7,KAZ,,,,,,,
2010.0,Percent,Aktobe,urban,,,5.4,KAZ,,,,,,,
2010.0,Percent,Almaty,urban,,,5.6,KAZ,,,,,,,
2010.0,Percent,Atyrau,urban,,,6.1,KAZ,,,,,,,
2010.0,Percent,Batys Kazakhstan,urban,,,4.8,KAZ,,,,,,,
2010.0,Percent,Zhambyl,urban,,,7.0,KAZ,,,,,,,
2010.0,Percent,Karagandy,urban,,,5.5,KAZ,,,,,,,
2010.0,Percent,Kostanay,urban,,,7.6,KAZ,,,,,,,
2010.0,Percent,Kyzylorda,urban,,,5.4,KAZ,,,,,,,
2010.0,Percent,Mangistau,urban,,,5.8,KAZ,,,,,,,
2010.0,Percent,Ontustik Kazakhstan,urban,,,7.2,KAZ,,,,,,,
2010.0,Percent,Pavlodar,urban,,,6.3,KAZ,,,,,,,
2010.0,Percent,Soltustik Kazakhstan,urban,,,6.5,KAZ,,,,,,,
2010.0,Percent,Shygys Kazakhstan,urban,,,6.6,KAZ,,,,,,,
2010.0,Percent,Nur-Sultan city,urban,,,6.2,KAZ,,,,,,,
2010.0,Percent,Almaty city,urban,,,6.3,KAZ,,,,,,,
2010.0,Percent,,rural,,,5.2,KAZ,,,,,,,
2010.0,Percent,Akmola,rural,,,5.9,KAZ,,,,,,,
2010.0,Percent,Aktobe,rural,,,5.3,KAZ,,,,,,,
2010.0,Percent,Almaty,rural,,,5.6,KAZ,,,,,,,
2010.0,Percent,Atyrau,rural,,,4.9,KAZ,,,,,,,
2010.0,Percent,Batys Kazakhstan,rural,,,6.1,KAZ,,,,,,,
2010.0,Percent,Zhambyl,rural,,,4.9,KAZ,,,,,,,
2010.0,Percent,Karagandy,rural,,,5.3,KAZ,,,,,,,
2010.0,Percent,Kostanay,rural,,,3.9,KAZ,,,,,,,
2010.0,Percent,Kyzylorda,rural,,,6.2,KAZ,,,,,,,
