Year,UNIT_MEASURE,Sex,Area,Age,Regions,Value,M49_country_code,Reference area,Degree of urbanisation,Income or wealth quantile,Education level,Disability status,Observation-level footnotes,GeoCode
2010,Percent,,,,,99.7,KAZ,,,,,,,
2010,Percent,,urban,,,99.9,KAZ,,,,,,,
2010,Percent,,rural,,,99.6,KAZ,,,,,,,
2010,Percent,Male,,,,99.8,KAZ,,,,,,,
2010,Percent,Female,,,,99.7,KAZ,,,,,,,
2010,Percent,,,under 1 year old,,99.1,KAZ,,,,,,,
2010,Percent,,,12 to 23 months,,99.9,KAZ,,,,,,,
2010,Percent,,,24 to 35 months,,99.9,KAZ,,,,,,,
2010,Percent,,,36-47 months,,99.9,KAZ,,,,,,,
2010,Percent,,,48-59 months,,100.0,KAZ,,,,,,,
2010,Percent,,,,Akmola,98.8,KAZ,,,,,,,
2010,Percent,,,,Aktobe,99.6,KAZ,,,,,,,
2010,Percent,,,,Almaty,100.0,KAZ,,,,,,,
2010,Percent,,,,Atyrau,99.7,KAZ,,,,,,,
2010,Percent,,,,Batys Kazakhstan,100.0,KAZ,,,,,,,
2010,Percent,,,,Zhambyl,99.7,KAZ,,,,,,,
2010,Percent,,,,Karagandy,99.8,KAZ,,,,,,,
2010,Percent,,,,Kostanay,98.7,KAZ,,,,,,,
2010,Percent,,,,Kyzylorda,100.0,KAZ,,,,,,,
2010,Percent,,,,Mangistau,99.7,KAZ,,,,,,,
2010,Percent,,,,Ontustik Kazakhstan,100.0,KAZ,,,,,,,
2010,Percent,,,,Pavlodar,99.6,KAZ,,,,,,,
2010,Percent,,,,Soltustik Kazakhstan,98.8,KAZ,,,,,,,
2010,Percent,,,,Shygys Kazakhstan,99.6,KAZ,,,,,,,
2010,Percent,,,,Nur-Sultan city,100.0,KAZ,,,,,,,
2010,Percent,,,,Almaty city,100.0,KAZ,,,,,,,
2015,Percent,,,,,99.7,KAZ,,,,,,,
2015,Percent,,urban,,,99.9,KAZ,,,,,,,
2015,Percent,,rural,,,99.5,KAZ,,,,,,,
2015,Percent,Male,,,,99.7,KAZ,,,,,,,
2015,Percent,Female,,,,99.7,KAZ,,,,,,,
2015,Percent,,,under 1 year old,,98.7,KAZ,,,,,,,
2015,Percent,,,12 to 23 months,,100.0,KAZ,,,,,,,
2015,Percent,,,24 to 35 months,,100.0,KAZ,,,,,,,
2015,Percent,,,36-47 months,,99.8,KAZ,,,,,,,
2015,Percent,,,48-59 months,,100.0,KAZ,,,,,,,
2015,Percent,,,,Akmola,100.0,KAZ,,,,,,,
2015,Percent,,,,Aktobe,100.0,KAZ,,,,,,,
2015,Percent,,,,Almaty,99.1,KAZ,,,,,,,
2015,Percent,,,,Atyrau,98.9,KAZ,,,,,,,
2015,Percent,,,,Batys Kazakhstan,99.7,KAZ,,,,,,,
2015,Percent,,,,Zhambyl,99.4,KAZ,,,,,,,
2015,Percent,,,,Karagandy,99.6,KAZ,,,,,,,
2015,Percent,,,,Kostanay,100.0,KAZ,,,,,,,
2015,Percent,,,,Kyzylorda,99.5,KAZ,,,,,,,
2015,Percent,,,,Mangistau,99.8,KAZ,,,,,,,
2015,Percent,,,,Ontustik Kazakhstan,99.8,KAZ,,,,,,,
2015,Percent,,,,Pavlodar,100.0,KAZ,,,,,,,
2015,Percent,,,,Soltustik Kazakhstan,99.5,KAZ,,,,,,,
2015,Percent,,,,Shygys Kazakhstan,100.0,KAZ,,,,,,,
2015,Percent,,,,Nur-Sultan city,99.7,KAZ,,,,,,,
2015,Percent,,,,Almaty city,100.0,KAZ,,,,,,,
2018,,,,under 5 years old,,98.9,KGZ,,,,,,,
2018,,Male,,under 5 years old,,99.5,KGZ,,,,,,,
2018,,Female,,under 5 years old,,98.4,KGZ,,,,,,,
2018,,,,under 5 years old,,99.1,KGZ,,Urban,,,,,
2018,,,,under 5 years old,,98.9,KGZ,,Rural,,,,,
2018,,,,under 5 years old,,99.7,KGZ,Batken,,,,,,KG05
2018,,,,under 5 years old,,99.4,KGZ,Jalal-Abad,,,,,,KG03
2018,,,,under 5 years old,,99.8,KGZ,Issyk-Kul,,,,,,KG02
2018,,,,under 5 years old,,99.3,KGZ,Naryn,,,,,,KG04
2018,,,,under 5 years old,,99.3,KGZ,Osh,,,,,,KG06
2018,,,,under 5 years old,,99.5,KGZ,Talas,,,,,,KG07
2018,,,,under 5 years old,,96.8,KGZ,Chui,,,,,,KG08
2018,,,,under 5 years old,,99.2,KGZ,Bishkek (city),,,,,,KG11
2018,,,,under 5 years old,,97.5,KGZ,Osh (city),,,,,,KG21
2018,,,,under 1 year old,,96.9,KGZ,,,,,,,
2018,,,,12 to 23 months old,,98.8,KGZ,,,,,,,
2018,,,,24 to 35 months old,,99.2,KGZ,,,,,,,
2018,,,,3 to 4 years old,,99.9,KGZ,,,,,,,
2018,,,,48 to 59 months old,,99.8,KGZ,,,,,,,
2018,,,,under 5 years old,,98.1,KGZ,,,,Lower secondary education,,Education of mother,
2018,,,,under 5 years old,,98.8,KGZ,,,,Upper secondary education,,Education of mother,
2018,,,,under 5 years old,,98.8,KGZ,,,,Post-secondary non-tertiary education,,Education of mother,
2018,,,,under 5 years old,,99.5,KGZ,,,,Tertiary education (Bachelor’s and Master's or equivalent),,Education of mother,
2018,,,,under 5 years old,,100.0,KGZ,,,,,Child with disability,,
2018,,,,under 5 years old,,99.6,KGZ,,,,,Child without disability,,
2018,,,,18 to 49 years old,,97.7,KGZ,,,,,Mother with disability,,
2018,,,,18 to 49 years old,,98.9,KGZ,,,,,Mother without disability,,
2018,,,,18 to 49 years old,,100.0,KGZ,,,,,No information,,
2018,,,,under 5 years old,,99.0,KGZ,,,Quintile 1 (poorest),,,,
2018,,,,under 5 years old,,98.4,KGZ,,,Quintile 2,,,,
2018,,,,under 5 years old,,98.8,KGZ,,,Quintile 3,,,,
2018,,,,under 5 years old,,99.1,KGZ,,,Quintile 4,,,,
2018,,,,under 5 years old,,99.6,KGZ,,,Quintile 5 (richest),,,,
