Year,SERIES,Value,M49_country_code
2007,Proportion of drinking water samples that do not meet established sanitary-chemical standards,2.1,KGZ
2008,Proportion of drinking water samples that do not meet established sanitary-chemical standards,2.4,KGZ
2009,Proportion of drinking water samples that do not meet established sanitary-chemical standards,2.0,KGZ
2010,Proportion of drinking water samples that do not meet established sanitary-chemical standards,2.9,KGZ
2011,Proportion of drinking water samples that do not meet established sanitary-chemical standards,2.0,KGZ
2012,Proportion of drinking water samples that do not meet established sanitary-chemical standards,2.5,KGZ
2013,Proportion of drinking water samples that do not meet established sanitary-chemical standards,2.5,KGZ
2014,Proportion of drinking water samples that do not meet established sanitary-chemical standards,1.3,KGZ
2015,Proportion of drinking water samples that do not meet established sanitary-chemical standards,1.6,KGZ
2016,Proportion of drinking water samples that do not meet established sanitary-chemical standards,2.1,KGZ
2017,Proportion of drinking water samples that do not meet established sanitary-chemical standards,2.0,KGZ
2018,Proportion of drinking water samples that do not meet established sanitary-chemical standards,1.7,KGZ
2019,Proportion of drinking water samples that do not meet established sanitary-chemical standards,1.4,KGZ
2020,Proportion of drinking water samples that do not meet established sanitary-chemical standards,1.1,KGZ
2021,Proportion of drinking water samples that do not meet established sanitary-chemical standards,0.9,KGZ
2007,Proportion of drinking water samples that do not meet established microbiological standards,10.6,KGZ
2008,Proportion of drinking water samples that do not meet established microbiological standards,10.7,KGZ
2009,Proportion of drinking water samples that do not meet established microbiological standards,9.5,KGZ
2010,Proportion of drinking water samples that do not meet established microbiological standards,11.3,KGZ
2011,Proportion of drinking water samples that do not meet established microbiological standards,12.7,KGZ
2012,Proportion of drinking water samples that do not meet established microbiological standards,10.7,KGZ
2013,Proportion of drinking water samples that do not meet established microbiological standards,8.4,KGZ
2014,Proportion of drinking water samples that do not meet established microbiological standards,6.5,KGZ
2015,Proportion of drinking water samples that do not meet established microbiological standards,7.7,KGZ
2016,Proportion of drinking water samples that do not meet established microbiological standards,8.4,KGZ
2017,Proportion of drinking water samples that do not meet established microbiological standards,8.1,KGZ
2018,Proportion of drinking water samples that do not meet established microbiological standards,8.2,KGZ
2019,Proportion of drinking water samples that do not meet established microbiological standards,8.6,KGZ
2020,Proportion of drinking water samples that do not meet established microbiological standards,7.0,KGZ
2021,Proportion of drinking water samples that do not meet established microbiological standards,6.5,KGZ
