Year,UNIT_MEASURE,Sex,Area,SERIES,Regions,Value,M49_country_code,Reference area,GeoCode
2011,Percent,,,1.9 US dollars per day (based on PPP),,0.1,KAZ,,
2011,Percent,,,3.2 US dollars per day (based on PPP),,1.2,KAZ,,
2011,Percent,,,5.5 US dollars per day (based on PPP),,15.3,KAZ,,
2011,Percent,Male,,1.9 US dollars per day (based on PPP),,0.1,KAZ,,
2011,Percent,Male,,3.2 US dollars per day (based on PPP),,1.2,KAZ,,
2011,Percent,Male,,5.5 US dollars per day (based on PPP),,15.9,KAZ,,
2011,Percent,Female,,1.9 US dollars per day (based on PPP),,0.1,KAZ,,
2011,Percent,Female,,3.2 US dollars per day (based on PPP),,1.2,KAZ,,
2011,Percent,Female,,5.5 US dollars per day (based on PPP),,14.7,KAZ,,
2011,Percent,,urban,1.9 US dollars per day (based on PPP),,0.0,KAZ,,
2011,Percent,,urban,3.2 US dollars per day (based on PPP),,0.4,KAZ,,
2011,Percent,,urban,5.5 US dollars per day (based on PPP),,9.0,KAZ,,
2011,Percent,,rural,1.9 US dollars per day (based on PPP),,0.2,KAZ,,
2011,Percent,,rural,3.2 US dollars per day (based on PPP),,2.1,KAZ,,
2011,Percent,,rural,5.5 US dollars per day (based on PPP),,22.7,KAZ,,
2011,Percent,,,1.9 US dollars per day (based on PPP),Akmola,0.2,KAZ,,
2011,Percent,,,1.9 US dollars per day (based on PPP),Karagandy,0.0,KAZ,,
2011,Percent,,,1.9 US dollars per day (based on PPP),Kostanay,0.1,KAZ,,
2011,Percent,,,1.9 US dollars per day (based on PPP),Ontustik Kazakhstan,0.4,KAZ,,
2011,Percent,,,1.9 US dollars per day (based on PPP),Pavlodar,0.2,KAZ,,
2011,Percent,,,1.9 US dollars per day (based on PPP),Soltustik Kazakhstan,0.2,KAZ,,
2011,Percent,,,1.9 US dollars per day (based on PPP),Shygys Kazakhstan,0.2,KAZ,,
2011,Percent,,,1.9 US dollars per day (based on PPP),Nur-Sultan city,0.0,KAZ,,
2011,Percent,,,3.2 US dollars per day (based on PPP),Akmola,2.1,KAZ,,
2011,Percent,,,3.2 US dollars per day (based on PPP),Aktobe,0.9,KAZ,,
2011,Percent,,,3.2 US dollars per day (based on PPP),Almaty,0.2,KAZ,,
2011,Percent,,,3.2 US dollars per day (based on PPP),Atyrau,0.1,KAZ,,
2011,Percent,,,3.2 US dollars per day (based on PPP),Batys Kazakhstan,0.8,KAZ,,
2011,Percent,,,3.2 US dollars per day (based on PPP),Zhambyl,0.8,KAZ,,
2011,Percent,,,3.2 US dollars per day (based on PPP),Karagandy,0.9,KAZ,,
2011,Percent,,,3.2 US dollars per day (based on PPP),Kostanay,1.3,KAZ,,
2011,Percent,,,3.2 US dollars per day (based on PPP),Kyzylorda,0.7,KAZ,,
2011,Percent,,,3.2 US dollars per day (based on PPP),Mangistau,0.1,KAZ,,
2011,Percent,,,3.2 US dollars per day (based on PPP),Ontustik Kazakhstan,2.6,KAZ,,
2011,Percent,,,3.2 US dollars per day (based on PPP),Pavlodar,1.5,KAZ,,
2011,Percent,,,3.2 US dollars per day (based on PPP),Soltustik Kazakhstan,3.3,KAZ,,
2011,Percent,,,3.2 US dollars per day (based on PPP),Shygys Kazakhstan,2.0,KAZ,,
2011,Percent,,,3.2 US dollars per day (based on PPP),Nur-Sultan city,0.1,KAZ,,
2011,Percent,,,3.2 US dollars per day (based on PPP),Almaty city,0.1,KAZ,,
2011,Percent,,,5.5 US dollars per day (based on PPP),Akmola,13.6,KAZ,,
2011,Percent,,,5.5 US dollars per day (based on PPP),Aktobe,13.1,KAZ,,
2011,Percent,,,5.5 US dollars per day (based on PPP),Almaty,6.2,KAZ,,
2011,Percent,,,5.5 US dollars per day (based on PPP),Atyrau,6.2,KAZ,,
2011,Percent,,,5.5 US dollars per day (based on PPP),Batys Kazakhstan,20.5,KAZ,,
2011,Percent,,,5.5 US dollars per day (based on PPP),Zhambyl,24.5,KAZ,,
2011,Percent,,,5.5 US dollars per day (based on PPP),Karagandy,10.8,KAZ,,
2011,Percent,,,5.5 US dollars per day (based on PPP),Kostanay,15.6,KAZ,,
2011,Percent,,,5.5 US dollars per day (based on PPP),Kyzylorda,13.2,KAZ,,
2011,Percent,,,5.5 US dollars per day (based on PPP),Mangistau,4.6,KAZ,,
2011,Percent,,,5.5 US dollars per day (based on PPP),Ontustik Kazakhstan,32.7,KAZ,,
2011,Percent,,,5.5 US dollars per day (based on PPP),Pavlodar,17.0,KAZ,,
2011,Percent,,,5.5 US dollars per day (based on PPP),Soltustik Kazakhstan,21.9,KAZ,,
2011,Percent,,,5.5 US dollars per day (based on PPP),Shygys Kazakhstan,17.8,KAZ,,
2011,Percent,,,5.5 US dollars per day (based on PPP),Nur-Sultan city,1.7,KAZ,,
2011,Percent,,,5.5 US dollars per day (based on PPP),Almaty city,2.0,KAZ,,
2011,Percent,,urban,1.9 US dollars per day (based on PPP),Akmola,0.1,KAZ,,
2011,Percent,,urban,1.9 US dollars per day (based on PPP),Ontustik Kazakhstan,0.2,KAZ,,
2011,Percent,,urban,1.9 US dollars per day (based on PPP),Nur-Sultan city,0.0,KAZ,,
2011,Percent,,urban,3.2 US dollars per day (based on PPP),Akmola,0.7,KAZ,,
2011,Percent,,urban,3.2 US dollars per day (based on PPP),Aktobe,0.2,KAZ,,
2011,Percent,,urban,3.2 US dollars per day (based on PPP),Almaty,0.7,KAZ,,
2011,Percent,,urban,3.2 US dollars per day (based on PPP),Zhambyl,1.3,KAZ,,
2011,Percent,,urban,3.2 US dollars per day (based on PPP),Karagandy,0.3,KAZ,,
2011,Percent,,urban,3.2 US dollars per day (based on PPP),Kostanay,0.4,KAZ,,
2011,Percent,,urban,3.2 US dollars per day (based on PPP),Kyzylorda,0.2,KAZ,,
2011,Percent,,urban,3.2 US dollars per day (based on PPP),Ontustik Kazakhstan,1.1,KAZ,,
2011,Percent,,urban,3.2 US dollars per day (based on PPP),Pavlodar,0.5,KAZ,,
2011,Percent,,urban,3.2 US dollars per day (based on PPP),Soltustik Kazakhstan,0.9,KAZ,,
2011,Percent,,urban,3.2 US dollars per day (based on PPP),Shygys Kazakhstan,0.5,KAZ,,
2011,Percent,,urban,3.2 US dollars per day (based on PPP),Nur-Sultan city,0.1,KAZ,,
2011,Percent,,urban,3.2 US dollars per day (based on PPP),Almaty city,0.1,KAZ,,
2011,Percent,,urban,5.5 US dollars per day (based on PPP),Akmola,10.6,KAZ,,
2011,Percent,,urban,5.5 US dollars per day (based on PPP),Aktobe,8.3,KAZ,,
2011,Percent,,urban,5.5 US dollars per day (based on PPP),Almaty,5.3,KAZ,,
2011,Percent,,urban,5.5 US dollars per day (based on PPP),Atyrau,1.4,KAZ,,
2011,Percent,,urban,5.5 US dollars per day (based on PPP),Batys Kazakhstan,11.6,KAZ,,
2011,Percent,,urban,5.5 US dollars per day (based on PPP),Zhambyl,20.3,KAZ,,
2011,Percent,,urban,5.5 US dollars per day (based on PPP),Karagandy,7.4,KAZ,,
2011,Percent,,urban,5.5 US dollars per day (based on PPP),Kostanay,9.8,KAZ,,
2011,Percent,,urban,5.5 US dollars per day (based on PPP),Kyzylorda,7.8,KAZ,,
2011,Percent,,urban,5.5 US dollars per day (based on PPP),Mangistau,2.0,KAZ,,
2011,Percent,,urban,5.5 US dollars per day (based on PPP),Ontustik Kazakhstan,20.9,KAZ,,
2011,Percent,,urban,5.5 US dollars per day (based on PPP),Pavlodar,12.7,KAZ,,
2011,Percent,,urban,5.5 US dollars per day (based on PPP),Soltustik Kazakhstan,13.9,KAZ,,
2011,Percent,,urban,5.5 US dollars per day (based on PPP),Shygys Kazakhstan,11.5,KAZ,,
2011,Percent,,urban,5.5 US dollars per day (based on PPP),Nur-Sultan city,1.7,KAZ,,
2011,Percent,,urban,5.5 US dollars per day (based on PPP),Almaty city,2.0,KAZ,,
2011,Percent,,rural,1.9 US dollars per day (based on PPP),Akmola,0.3,KAZ,,
2011,Percent,,rural,1.9 US dollars per day (based on PPP),Karagandy,0.2,KAZ,,
2011,Percent,,rural,1.9 US dollars per day (based on PPP),Kostanay,0.1,KAZ,,
2011,Percent,,rural,1.9 US dollars per day (based on PPP),Ontustik Kazakhstan,0.5,KAZ,,
2011,Percent,,rural,1.9 US dollars per day (based on PPP),Pavlodar,0.6,KAZ,,
2011,Percent,,rural,1.9 US dollars per day (based on PPP),Soltustik Kazakhstan,0.3,KAZ,,
2011,Percent,,rural,1.9 US dollars per day (based on PPP),Shygys Kazakhstan,0.4,KAZ,,
