Year,UNIT_MEASURE,Sex,Value,M49_country_code,Reference area,COMPOSITE_BREAKDOWN,GeoCode,unique_id,col_caption_name,col_caption_name1_empty,year,value
2010.0,Percent,,30.48,KAZ,,,,,,,,
2010.0,Percent,Male,41.19,KAZ,,,,,,,,
2010.0,Percent,Female,21.3,KAZ,,,,,,,,
2011.0,Percent,,28.59,KAZ,,,,,,,,
2011.0,Percent,Male,38.91,KAZ,,,,,,,,
2011.0,Percent,Female,19.8,KAZ,,,,,,,,
2012.0,Percent,,27.1,KAZ,,,,,,,,
2012.0,Percent,Male,37.13,KAZ,,,,,,,,
2012.0,Percent,Female,18.61,KAZ,,,,,,,,
2013.0,Percent,,23.7,KAZ,,,,,,,,
2013.0,Percent,Male,32.83,KAZ,,,,,,,,
2013.0,Percent,Female,16.1,KAZ,,,,,,,,
2014.0,Percent,,20.53,KAZ,,,,,,,,
2014.0,Percent,Male,28.67,KAZ,,,,,,,,
2014.0,Percent,Female,13.88,KAZ,,,,,,,,
2015.0,Percent,,21.12,KAZ,,,,,,,,
2015.0,Percent,Male,29.4,KAZ,,,,,,,,
2015.0,Percent,Female,14.38,KAZ,,,,,,,,
2016.0,Percent,,20.84,KAZ,,,,,,,,
2016.0,Percent,Male,29.25,KAZ,,,,,,,,
2016.0,Percent,Female,13.98,KAZ,,,,,,,,
2017.0,Percent,,19.73,KAZ,,,,,,,,
2017.0,Percent,Male,27.66,KAZ,,,,,,,,
2017.0,Percent,Female,13.29,KAZ,,,,,,,,
2018.0,Percent,,19.28,KAZ,,,,,,,,
2018.0,Percent,Male,27.09,KAZ,,,,,,,,
2018.0,Percent,Female,12.92,KAZ,,,,,,,,
2019.0,Percent,,18.81,KAZ,,,,,,,,
2019.0,Percent,Male,26.61,KAZ,,,,,,,,
2019.0,Percent,Female,12.38,KAZ,,,,,,,,
2020.0,Percent,,20.48,KAZ,,,,,,,,
2020.0,Percent,Male,28.62,KAZ,,,,,,,,
2020.0,Percent,Female,13.69,KAZ,,,,,,,,
2007.0,,,338.148644,KGZ,,Non-communicable disease: Cardiovascular disease,,,,,,
2008.0,,,334.016356,KGZ,,Non-communicable disease: Cardiovascular disease,,,,,,
2009.0,,,313.473027,KGZ,,Non-communicable disease: Cardiovascular disease,,,,,,
2010.0,,,323.9,KGZ,,Non-communicable disease: Cardiovascular disease,,,,,,
2011.0,,,326.3,KGZ,,Non-communicable disease: Cardiovascular disease,,,,,,
2012.0,,,331.2,KGZ,,Non-communicable disease: Cardiovascular disease,,,,,,
2013.0,,,308.2,KGZ,,Non-communicable disease: Cardiovascular disease,,,,,,
2014.0,,,307.0,KGZ,,Non-communicable disease: Cardiovascular disease,,,,,,
2015.0,,,297.0,KGZ,,Non-communicable disease: Cardiovascular disease,,,,,,
2016.0,,,279.7,KGZ,,Non-communicable disease: Cardiovascular disease,,,,,,
2017.0,,,276.0,KGZ,,Non-communicable disease: Cardiovascular disease,,,,,,
2018.0,,,265.7,KGZ,,Non-communicable disease: Cardiovascular disease,,,,,,
2019.0,,,266.2,KGZ,,Non-communicable disease: Cardiovascular disease,,,,,,
2020.0,,,317.7,KGZ,,Non-communicable disease: Cardiovascular disease,,,,,,
2021.0,,,297.1,KGZ,,Non-communicable disease: Cardiovascular disease,,,,,,
2007.0,,Male,341.99762,KGZ,,Non-communicable disease: Cardiovascular disease,,,,,,
2008.0,,Male,333.529217,KGZ,,Non-communicable disease: Cardiovascular disease,,,,,,
2009.0,,Male,317.835613,KGZ,,Non-communicable disease: Cardiovascular disease,,,,,,
2010.0,,Male,328.276067,KGZ,,Non-communicable disease: Cardiovascular disease,,,,,,
2011.0,,Male,332.170272,KGZ,,Non-communicable disease: Cardiovascular disease,,,,,,
2012.0,,Male,335.775909,KGZ,,Non-communicable disease: Cardiovascular disease,,,,,,
2013.0,,Male,318.951798,KGZ,,Non-communicable disease: Cardiovascular disease,,,,,,
2014.0,,Male,317.836976,KGZ,,Non-communicable disease: Cardiovascular disease,,,,,,
2015.0,,Male,303.536912,KGZ,,Non-communicable disease: Cardiovascular disease,,,,,,
2016.0,,Male,284.556895,KGZ,,Non-communicable disease: Cardiovascular disease,,,,,,
2017.0,,Male,284.323937,KGZ,,Non-communicable disease: Cardiovascular disease,,,,,,
2018.0,,Male,273.814459,KGZ,,Non-communicable disease: Cardiovascular disease,,,,,,
2019.0,,Male,275.689849,KGZ,,Non-communicable disease: Cardiovascular disease,,,,,,
2020.0,,Male,336.5,KGZ,,Non-communicable disease: Cardiovascular disease,,,,,,
2021.0,,Male,311.0,KGZ,,Non-communicable disease: Cardiovascular disease,,,,,,
2007.0,,Female,334.396636,KGZ,,Non-communicable disease: Cardiovascular disease,,,,,,
2008.0,,Female,334.491404,KGZ,,Non-communicable disease: Cardiovascular disease,,,,,,
2009.0,,Female,309.213309,KGZ,,Non-communicable disease: Cardiovascular disease,,,,,,
2010.0,,Female,319.570812,KGZ,,Non-communicable disease: Cardiovascular disease,,,,,,
2011.0,,Female,320.487106,KGZ,,Non-communicable disease: Cardiovascular disease,,,,,,
2012.0,,Female,326.660087,KGZ,,Non-communicable disease: Cardiovascular disease,,,,,,
2013.0,,Female,297.628103,KGZ,,Non-communicable disease: Cardiovascular disease,,,,,,
2014.0,,Female,296.293785,KGZ,,Non-communicable disease: Cardiovascular disease,,,,,,
