Year,Reference area,Observation-level footnotes,GeoCode,Value,M49_country_code,unique_id,col_caption_name,col_caption_name1_empty,year,value
2011.0,,,,25.409176,KGZ,,,,,
2012.0,,,,26.881444,KGZ,,,,,
2013.0,,,,28.022386,KGZ,,,,,
2014.0,,,,28.074762,KGZ,,,,,
2015.0,,,,28.6,KGZ,,,,,
2016.0,,,,30.19144,KGZ,,,,,
2017.0,,,,31.303387,KGZ,,,,,
2018.0,,,,31.5,KGZ,,,,,
2019.0,,,,31.5,KGZ,,,,,
2020.0,,,,34.377951,KGZ,,,,,
2011.0,Batken,,KG05,2.969818,KGZ,,,,,
2012.0,Batken,,KG05,3.652891,KGZ,,,,,
2013.0,Batken,,KG05,4.783063,KGZ,,,,,
2014.0,Batken,,KG05,5.22038,KGZ,,,,,
2015.0,Batken,,KG05,6.7,KGZ,,,,,
2016.0,Batken,,KG05,6.305084,KGZ,,,,,
2017.0,Batken,,KG05,12.021957,KGZ,,,,,
2018.0,Batken,,KG05,9.1,KGZ,,,,,
2019.0,Batken,,KG05,5.9,KGZ,,,,,
2020.0,Batken,,KG05,4.835824,KGZ,,,,,
2011.0,Jalal-Abad,,KG03,8.771071,KGZ,,,,,
2012.0,Jalal-Abad,,KG03,11.68593,KGZ,,,,,
2013.0,Jalal-Abad,,KG03,5.494964,KGZ,,,,,
2014.0,Jalal-Abad,,KG03,5.609329,KGZ,,,,,
2015.0,Jalal-Abad,,KG03,5.6,KGZ,,,,,
2016.0,Jalal-Abad,,KG03,8.344442,KGZ,,,,,
2017.0,Jalal-Abad,,KG03,14.376773,KGZ,,,,,
2018.0,Jalal-Abad,,KG03,9.0,KGZ,,,,,
2019.0,Jalal-Abad,,KG03,6.2,KGZ,,,,,
2020.0,Jalal-Abad,,KG03,5.954303,KGZ,,,,,
2011.0,Issyk-Kul,,KG02,15.385834,KGZ,,,,,
2012.0,Issyk-Kul,,KG02,18.787622,KGZ,,,,,
2013.0,Issyk-Kul,,KG02,25.08602,KGZ,,,,,
2014.0,Issyk-Kul,,KG02,24.163374,KGZ,,,,,
2015.0,Issyk-Kul,,KG02,27.1,KGZ,,,,,
2016.0,Issyk-Kul,,KG02,29.986451,KGZ,,,,,
2017.0,Issyk-Kul,,KG02,38.652292,KGZ,,,,,
2018.0,Issyk-Kul,,KG02,41.4,KGZ,,,,,
2019.0,Issyk-Kul,,KG02,30.5,KGZ,,,,,
2020.0,Issyk-Kul,,KG02,51.211066,KGZ,,,,,
2011.0,Naryn,,KG04,5.550544,KGZ,,,,,
2012.0,Naryn,,KG04,6.265404,KGZ,,,,,
2013.0,Naryn,,KG04,12.479392,KGZ,,,,,
2014.0,Naryn,,KG04,14.196022,KGZ,,,,,
2015.0,Naryn,,KG04,13.7,KGZ,,,,,
2016.0,Naryn,,KG04,16.983673,KGZ,,,,,
2017.0,Naryn,,KG04,17.842313,KGZ,,,,,
2018.0,Naryn,,KG04,20.4,KGZ,,,,,
2019.0,Naryn,,KG04,21.8,KGZ,,,,,
2020.0,Naryn,,KG04,27.156801,KGZ,,,,,
2011.0,Osh,until 2013 y. including Osh city,KG06,8.251864,KGZ,,,,,
2012.0,Osh,until 2013 y. including Osh city,KG06,7.824961,KGZ,,,,,
2013.0,Osh,,KG06,0.189906,KGZ,,,,,
2014.0,Osh,,KG06,0.726994,KGZ,,,,,
2015.0,Osh,,KG06,0.5,KGZ,,,,,
2016.0,Osh,,KG06,0.449882,KGZ,,,,,
2017.0,Osh,,KG06,0.007154,KGZ,,,,,
2018.0,Osh,,KG06,0.5,KGZ,,,,,
2019.0,Osh,,KG06,1.7,KGZ,,,,,
2020.0,Osh,,KG06,0.943312,KGZ,,,,,
2011.0,Talas,,KG07,9.034237,KGZ,,,,,
2012.0,Talas,,KG07,7.840579,KGZ,,,,,
2013.0,Talas,,KG07,5.098828,KGZ,,,,,
2014.0,Talas,,KG07,5.493332,KGZ,,,,,
2015.0,Talas,,KG07,6.5,KGZ,,,,,
2016.0,Talas,,KG07,6.516559,KGZ,,,,,
2017.0,Talas,,KG07,6.137177,KGZ,,,,,
2018.0,Talas,,KG07,6.0,KGZ,,,,,
2019.0,Talas,,KG07,6.2,KGZ,,,,,
2020.0,Talas,,KG07,7.850959,KGZ,,,,,
2011.0,Chui,,KG08,41.925111,KGZ,,,,,
2012.0,Chui,,KG08,46.114486,KGZ,,,,,
2013.0,Chui,,KG08,46.193852,KGZ,,,,,
2014.0,Chui,,KG08,49.202745,KGZ,,,,,
2015.0,Chui,,KG08,48.7,KGZ,,,,,
2016.0,Chui,,KG08,50.971427,KGZ,,,,,
2017.0,Chui,,KG08,48.935048,KGZ,,,,,
2018.0,Chui,,KG08,56.8,KGZ,,,,,
2019.0,Chui,,KG08,63.3,KGZ,,,,,
2020.0,Chui,,KG08,64.733303,KGZ,,,,,
2011.0,Bishkek (city),,KG11,84.55425,KGZ,,,,,
2012.0,Bishkek (city),,KG11,85.140509,KGZ,,,,,
2013.0,Bishkek (city),,KG11,98.608136,KGZ,,,,,
2014.0,Bishkek (city),,KG11,99.390116,KGZ,,,,,
2015.0,Bishkek (city),,KG11,98.6,KGZ,,,,,
2016.0,Bishkek (city),,KG11,99.663698,KGZ,,,,,
2017.0,Bishkek (city),,KG11,97.392326,KGZ,,,,,
2018.0,Bishkek (city),,KG11,96.5,KGZ,,,,,
2019.0,Bishkek (city),,KG11,96.1,KGZ,,,,,
2020.0,Bishkek (city),,KG11,97.679548,KGZ,,,,,
2013.0,Osh (city),,KG21,28.7317,KGZ,,,,,
2014.0,Osh (city),,KG21,27.932014,KGZ,,,,,
2015.0,Osh (city),,KG21,28.2,KGZ,,,,,
2016.0,Osh (city),,KG21,29.548534,KGZ,,,,,
2017.0,Osh (city),,KG21,25.391511,KGZ,,,,,
2018.0,Osh (city),,KG21,25.5,KGZ,,,,,
2019.0,Osh (city),,KG21,30.9,KGZ,,,,,
2020.0,Osh (city),,KG21,46.725153,KGZ,,,,,
,,,,,UZB,01_101_,Total,True,2000.0,0.0
,,,,,UZB,01_101_,Total,True,2001.0,0.0
,,,,,UZB,01_101_,Total,True,2002.0,0.0
,,,,,UZB,01_101_,Total,True,2003.0,0.0
,,,,,UZB,01_101_,Total,True,2004.0,0.0
,,,,,UZB,01_101_,Total,True,2005.0,0.0
,,,,,UZB,01_101_,Total,True,2006.0,0.0
,,,,,UZB,01_101_,Total,True,2007.0,0.0
,,,,,UZB,01_101_,Total,True,2008.0,0.0
,,,,,UZB,01_101_,Total,True,2009.0,0.0
,,,,,UZB,01_101_,Total,True,2010.0,0.0
,,,,,UZB,01_101_,Total,True,2011.0,0.0
,,,,,UZB,01_101_,Total,True,2012.0,0.0
,,,,,UZB,01_101_,Total,True,2013.0,0.0
,,,,,UZB,01_101_,Total,True,2014.0,0.0
,,,,,UZB,01_101_,Total,True,2015.0,0.0
,,,,,UZB,01_101_,Total,True,2016.0,0.0
