Year,UNIT_MEASURE,Area,Sex,Regions,Age,Mother's education,Wealth index quintile,Value,M49_country_code,Observation-level footnotes,Reference area,Income or wealth quantile,Education level,GeoCode
2010,Percent,,,,,,,861.0,KAZ,,,,,
2010,Percent,urban,,,,,,87.2,KAZ,,,,,
2010,Percent,rural,,,,,,85.1,KAZ,,,,,
2010,Percent,,Male,,,,,83.5,KAZ,,,,,
2010,Percent,,Female,,,,,89.0,KAZ,,,,,
2010,Percent,,,Akmola,,,,80.3,KAZ,,,,,
2010,Percent,,,Aktobe,,,,69.0,KAZ,,,,,
2010,Percent,,,Almaty,,,,91.1,KAZ,,,,,
2010,Percent,,,Atyrau,,,,89.3,KAZ,,,,,
2010,Percent,,,Batys Kazakhstan,,,,85.0,KAZ,,,,,
2010,Percent,,,Zhambyl,,,,83.0,KAZ,,,,,
2010,Percent,,,Karagandy,,,,92.3,KAZ,,,,,
2010,Percent,,,Kostanay,,,,92.4,KAZ,,,,,
2010,Percent,,,Kyzylorda,,,,92.0,KAZ,,,,,
2010,Percent,,,Mangistau,,,,87.4,KAZ,,,,,
2010,Percent,,,Ontustik Kazakhstan,,,,81.5,KAZ,,,,,
2010,Percent,,,Pavlodar,,,,90.6,KAZ,,,,,
2010,Percent,,,Soltustik Kazakhstan,,,,86.5,KAZ,,,,,
2010,Percent,,,Shygys Kazakhstan,,,,83.2,KAZ,,,,,
2010,Percent,,,Nur-Sultan city,,,,96.0,KAZ,,,,,
2010,Percent,,,Almaty city,,,,89.0,KAZ,,,,,
2010,Percent,,,,36-47 months,,,82.9,KAZ,,,,,
2010,Percent,,,,48-59 months,,,89.4,KAZ,,,,,
2010,Percent,,,,,Elementary education/ High education (incomplete),,82.1,KAZ,,,,,
2010,Percent,,,,,basic secondary (middle-school),,81.3,KAZ,,,,,
2010,Percent,,,,,High Education (General),,88.9,KAZ,,,,,
2010,Percent,,,,,Higher education,,89.9,KAZ,,,,,
2010,Percent,,,,,,extreme poverty,83.3,KAZ,,,,,
2010,Percent,,,,,,second,82.8,KAZ,,,,,
2010,Percent,,,,,,third,88.6,KAZ,,,,,
2010,Percent,,,,,,fourth,85.3,KAZ,,,,,
2010,Percent,,,,,,wealthy,92.1,KAZ,,,,,
2015,Percent,,,,,,,855.0,KAZ,,,,,
2015,Percent,urban,,,,,,86.0,KAZ,,,,,
2015,Percent,rural,,,,,,85.1,KAZ,,,,,
2015,Percent,,Male,,,,,84.8,KAZ,,,,,
2015,Percent,,Female,,,,,86.3,KAZ,,,,,
2015,Percent,,,Akmola,,,,81.0,KAZ,,,,,
2015,Percent,,,Aktobe,,,,95.0,KAZ,,,,,
2015,Percent,,,Almaty,,,,96.8,KAZ,,,,,
2015,Percent,,,Atyrau,,,,82.0,KAZ,,,,,
2015,Percent,,,Batys Kazakhstan,,,,86.6,KAZ,,,,,
2015,Percent,,,Zhambyl,,,,79.4,KAZ,,,,,
2015,Percent,,,Karagandy,,,,80.6,KAZ,,,,,
2015,Percent,,,Kostanay,,,,92.5,KAZ,,,,,
2015,Percent,,,Kyzylorda,,,,88.6,KAZ,,,,,
2015,Percent,,,Mangistau,,,,79.5,KAZ,,,,,
2015,Percent,,,Ontustik Kazakhstan,,,,82.2,KAZ,,,,,
2015,Percent,,,Pavlodar,,,,88.5,KAZ,,,,,
2015,Percent,,,Soltustik Kazakhstan,,,,83.5,KAZ,,,,,
2015,Percent,,,Shygys Kazakhstan,,,,84.2,KAZ,,,,,
