Year,SERIES,Value,M49_country_code
2007,Number of pensioners who receive pensions below the subsistence level of the pensioner,313220.0,KGZ
2008,Number of pensioners who receive pensions below the subsistence level of the pensioner,349682.0,KGZ
2009,Number of pensioners who receive pensions below the subsistence level of the pensioner,274008.0,KGZ
2010,Number of pensioners who receive pensions below the subsistence level of the pensioner,282009.0,KGZ
2011,Number of pensioners who receive pensions below the subsistence level of the pensioner,136292.0,KGZ
2012,Number of pensioners who receive pensions below the subsistence level of the pensioner,77413.0,KGZ
2013,Number of pensioners who receive pensions below the subsistence level of the pensioner,180254.0,KGZ
2014,Number of pensioners who receive pensions below the subsistence level of the pensioner,152940.0,KGZ
2015,Number of pensioners who receive pensions below the subsistence level of the pensioner,132336.0,KGZ
2016,Number of pensioners who receive pensions below the subsistence level of the pensioner,142943.0,KGZ
2017,Number of pensioners who receive pensions below the subsistence level of the pensioner,135927.0,KGZ
2018,Number of pensioners who receive pensions below the subsistence level of the pensioner,138265.0,KGZ
2019,Number of pensioners who receive pensions below the subsistence level of the pensioner,147363.0,KGZ
2020,Number of pensioners who receive pensions below the subsistence level of the pensioner,160561.0,KGZ
2021,Number of pensioners who receive pensions below the subsistence level of the pensioner,233306.0,KGZ
2007,Proportion of pensioners who receive pensions below the subsistence level of the pensioner to total population,5.968864,KGZ
2008,Proportion of pensioners who receive pensions below the subsistence level of the pensioner to total population,6.611241,KGZ
2009,Proportion of pensioners who receive pensions below the subsistence level of the pensioner to total population,5.109427,KGZ
2010,Proportion of pensioners who receive pensions below the subsistence level of the pensioner to total population,5.204752,KGZ
2011,Proportion of pensioners who receive pensions below the subsistence level of the pensioner to total population,2.488161,KGZ
2012,Proportion of pensioners who receive pensions below the subsistence level of the pensioner to total population,1.394354,KGZ
2013,Proportion of pensioners who receive pensions below the subsistence level of the pensioner to total population,3.120433,KGZ
2014,Proportion of pensioners who receive pensions below the subsistence level of the pensioner to total population,2.594375,KGZ
2015,Proportion of pensioners who receive pensions below the subsistence level of the pensioner to total population,2.198462,KGZ
2016,Proportion of pensioners who receive pensions below the subsistence level of the pensioner to total population,2.327986,KGZ
2017,Proportion of pensioners who receive pensions below the subsistence level of the pensioner to total population,2.172493,KGZ
2018,Proportion of pensioners who receive pensions below the subsistence level of the pensioner to total population,2.163941,KGZ
2019,Proportion of pensioners who receive pensions below the subsistence level of the pensioner to total population,2.259523,KGZ
2020,Proportion of pensioners who receive pensions below the subsistence level of the pensioner to total population,2.4,KGZ
2021,Proportion of pensioners who receive pensions below the subsistence level of the pensioner to total population,3.5,KGZ
2007,Proportion of pensioners who receive pensions below the subsistence level of the pensioner to total number of pensioners,59.241298,KGZ
2008,Proportion of pensioners who receive pensions below the subsistence level of the pensioner to total number of pensioners,61.233202,KGZ
2009,Proportion of pensioners who receive pensions below the subsistence level of the pensioner to total number of pensioners,48.534186,KGZ
2010,Proportion of pensioners who receive pensions below the subsistence level of the pensioner to total number of pensioners,49.060743,KGZ
2011,Proportion of pensioners who receive pensions below the subsistence level of the pensioner to total number of pensioners,22.957535,KGZ
2012,Proportion of pensioners who receive pensions below the subsistence level of the pensioner to total number of pensioners,12.62552,KGZ
2013,Proportion of pensioners who receive pensions below the subsistence level of the pensioner to total number of pensioners,28.824314,KGZ
2014,Proportion of pensioners who receive pensions below the subsistence level of the pensioner to total number of pensioners,24.113102,KGZ
2015,Proportion of pensioners who receive pensions below the subsistence level of the pensioner to total number of pensioners,20.458403,KGZ
2016,Proportion of pensioners who receive pensions below the subsistence level of the pensioner to total number of pensioners,21.618658,KGZ
2017,Proportion of pensioners who receive pensions below the subsistence level of the pensioner to total number of pensioners,20.190277,KGZ
2018,Proportion of pensioners who receive pensions below the subsistence level of the pensioner to total number of pensioners,19.898854,KGZ
2019,Proportion of pensioners who receive pensions below the subsistence level of the pensioner to total number of pensioners,20.5,KGZ
2020,Proportion of pensioners who receive pensions below the subsistence level of the pensioner to total number of pensioners,21.8,KGZ
2021,Proportion of pensioners who receive pensions below the subsistence level of the pensioner to total number of pensioners,30.8,KGZ
