Year,UNIT_MEASURE,Value,M49_country_code,SERIES,unique_id,col_caption_name,col_caption_name1_empty,year,value
2010.0,the number of branches of commercial banks per 100 000 adults,3.3,KAZ,,,,,,
2010.0,number of ATMs per 100 000 adults,66.1,KAZ,,,,,,
2011.0,the number of branches of commercial banks per 100 000 adults,3.1,KAZ,,,,,,
2011.0,number of ATMs per 100 000 adults,69.5,KAZ,,,,,,
2012.0,the number of branches of commercial banks per 100 000 adults,3.2,KAZ,,,,,,
2012.0,number of ATMs per 100 000 adults,73.3,KAZ,,,,,,
2013.0,the number of branches of commercial banks per 100 000 adults,3.2,KAZ,,,,,,
2013.0,number of ATMs per 100 000 adults,75.0,KAZ,,,,,,
2014.0,the number of branches of commercial banks per 100 000 adults,3.3,KAZ,,,,,,
2014.0,number of ATMs per 100 000 adults,76.3,KAZ,,,,,,
2015.0,the number of branches of commercial banks per 100 000 adults,3.4,KAZ,,,,,,
2015.0,number of ATMs per 100 000 adults,75.2,KAZ,,,,,,
2016.0,the number of branches of commercial banks per 100 000 adults,2.9,KAZ,,,,,,
2016.0,number of ATMs per 100 000 adults,78.0,KAZ,,,,,,
2017.0,the number of branches of commercial banks per 100 000 adults,2.8,KAZ,,,,,,
2017.0,number of ATMs per 100 000 adults,78.6,KAZ,,,,,,
2018.0,the number of branches of commercial banks per 100 000 adults,2.7,KAZ,,,,,,
2018.0,number of ATMs per 100 000 adults,88.8,KAZ,,,,,,
2019.0,the number of branches of commercial banks per 100 000 adults,2.3,KAZ,,,,,,
2019.0,number of ATMs per 100 000 adults,87.1,KAZ,,,,,,
2020.0,the number of branches of commercial banks per 100 000 adults,2.2,KAZ,,,,,,
2020.0,number of ATMs per 100 000 adults,97.2,KAZ,,,,,,
2007.0,,6.107469,KGZ,"Number of commercial bank branches per 100,000 adults",,,,,
2008.0,,6.545429,KGZ,"Number of commercial bank branches per 100,000 adults",,,,,
2009.0,,6.616596,KGZ,"Number of commercial bank branches per 100,000 adults",,,,,
2010.0,,5.693049,KGZ,"Number of commercial bank branches per 100,000 adults",,,,,
2011.0,,6.772418,KGZ,"Number of commercial bank branches per 100,000 adults",,,,,
2012.0,,7.28108,KGZ,"Number of commercial bank branches per 100,000 adults",,,,,
2013.0,,7.394386,KGZ,"Number of commercial bank branches per 100,000 adults",,,,,
2014.0,,7.425508,KGZ,"Number of commercial bank branches per 100,000 adults",,,,,
2015.0,,7.827334,KGZ,"Number of commercial bank branches per 100,000 adults",,,,,
2016.0,,7.94841,KGZ,"Number of commercial bank branches per 100,000 adults",,,,,
2017.0,,7.710477,KGZ,"Number of commercial bank branches per 100,000 adults",,,,,
2018.0,,7.640969,KGZ,"Number of commercial bank branches per 100,000 adults",,,,,
2019.0,,7.566574,KGZ,"Number of commercial bank branches per 100,000 adults",,,,,
2020.0,,7.19289,KGZ,"Number of commercial bank branches per 100,000 adults",,,,,
2021.0,,7.076168,KGZ,"Number of commercial bank branches per 100,000 adults",,,,,
2007.0,,2.471394,KGZ,"Number of automated teller machines (ATMs) per 100,000 adults",,,,,
2008.0,,4.888003,KGZ,"Number of automated teller machines (ATMs) per 100,000 adults",,,,,
2009.0,,8.720619,KGZ,"Number of automated teller machines (ATMs) per 100,000 adults",,,,,
2010.0,,7.554757,KGZ,"Number of automated teller machines (ATMs) per 100,000 adults",,,,,
2011.0,,12.265008,KGZ,"Number of automated teller machines (ATMs) per 100,000 adults",,,,,
2012.0,,15.97647,KGZ,"Number of automated teller machines (ATMs) per 100,000 adults",,,,,
2013.0,,21.075288,KGZ,"Number of automated teller machines (ATMs) per 100,000 adults",,,,,
2014.0,,25.292345,KGZ,"Number of automated teller machines (ATMs) per 100,000 adults",,,,,
2015.0,,30.81078,KGZ,"Number of automated teller machines (ATMs) per 100,000 adults",,,,,
2016.0,,31.891768,KGZ,"Number of automated teller machines (ATMs) per 100,000 adults",,,,,
2017.0,,34.153303,KGZ,"Number of automated teller machines (ATMs) per 100,000 adults",,,,,
2018.0,,37.681164,KGZ,"Number of automated teller machines (ATMs) per 100,000 adults",,,,,
2019.0,,40.105182,KGZ,"Number of automated teller machines (ATMs) per 100,000 adults",,,,,
2020.0,,42.788471,KGZ,"Number of automated teller machines (ATMs) per 100,000 adults",,,,,
2021.0,,43.31885,KGZ,"Number of automated teller machines (ATMs) per 100,000 adults",,,,,
,,,UZB,,01_101_,Total,True,2000.0,0.0
,,,UZB,,01_101_,Total,True,2001.0,0.0
,,,UZB,,01_101_,Total,True,2002.0,0.0
,,,UZB,,01_101_,Total,True,2003.0,0.0
,,,UZB,,01_101_,Total,True,2004.0,0.0
,,,UZB,,01_101_,Total,True,2005.0,0.0
,,,UZB,,01_101_,Total,True,2006.0,0.0
,,,UZB,,01_101_,Total,True,2007.0,0.0
,,,UZB,,01_101_,Total,True,2008.0,0.0
,,,UZB,,01_101_,Total,True,2009.0,0.0
,,,UZB,,01_101_,Total,True,2010.0,0.0
,,,UZB,,01_101_,Total,True,2011.0,0.0
,,,UZB,,01_101_,Total,True,2012.0,11.5
,,,UZB,,01_101_,Total,True,2013.0,14.8
,,,UZB,,01_101_,Total,True,2014.0,10.3
,,,UZB,,01_101_,Total,True,2015.0,9.5
,,,UZB,,01_101_,Total,True,2016.0,8.7
,,,UZB,,01_101_,Total,True,2017.0,8.1
,,,UZB,,01_101_,Total,True,2018.0,7.9
,,,UZB,,01_101_,Total,True,2019.0,5.7
,,,UZB,,01_101_,Total,True,2020.0,8.5
,,,UZB,,01_101_,Total,True,2021.0,48.0
