Year,UNIT_MEASURE,SERIES,Area,Sex,Age,Value,M49_country_code,Reference area,Degree of urbanisation,Income or wealth quantile,Education level,GeoCode
2016,Percent,,,,,100.0,KAZ,,,,,
2016,Percent,Total security,,,,42.4,KAZ,,,,,
2016,Percent,Relatively safe,,,,48.7,KAZ,,,,,
2016,Percent,Not safe,,,,8.9,KAZ,,,,,
2016,Percent,,urban,,,100.0,KAZ,,,,,
2016,Percent,Total security,urban,,,38.0,KAZ,,,,,
2016,Percent,Relatively safe,urban,,,52.8,KAZ,,,,,
2016,Percent,Not safe,urban,,,9.2,KAZ,,,,,
2016,Percent,,rural,,,100.0,KAZ,,,,,
2016,Percent,Total security,rural,,,48.5,KAZ,,,,,
2016,Percent,Relatively safe,rural,,,42.9,KAZ,,,,,
2016,Percent,Not safe,rural,,,8.6,KAZ,,,,,
2016,Percent,,,Male,,100.0,KAZ,,,,,
2016,Percent,Total security,,Male,,48.2,KAZ,,,,,
2016,Percent,Relatively safe,,Male,,45.4,KAZ,,,,,
2016,Percent,Not safe,,Male,,6.4,KAZ,,,,,
2016,Percent,,,Female,,100.0,KAZ,,,,,
2016,Percent,Total security,,Female,,37.1,KAZ,,,,,
2016,Percent,Relatively safe,,Female,,51.7,KAZ,,,,,
2016,Percent,Not safe,,Female,,11.2,KAZ,,,,,
2016,Percent,,,,15-19,100.0,KAZ,,,,,
2016,Percent,Total security,,,15-19,41.6,KAZ,,,,,
2016,Percent,Relatively safe,,,15-19,45.0,KAZ,,,,,
2016,Percent,Not safe,,,15-19,13.4,KAZ,,,,,
2016,Percent,,,,20-24,100.0,KAZ,,,,,
2016,Percent,Total security,,,20-24,47.8,KAZ,,,,,
2016,Percent,Relatively safe,,,20-24,45.6,KAZ,,,,,
2016,Percent,Not safe,,,20-24,6.5,KAZ,,,,,
2016,Percent,,,,25-29,100.0,KAZ,,,,,
2016,Percent,Total security,,,25-29,44.5,KAZ,,,,,
2016,Percent,Relatively safe,,,25-29,48.7,KAZ,,,,,
2016,Percent,Not safe,,,25-29,6.8,KAZ,,,,,
2016,Percent,,,,30-34,100.0,KAZ,,,,,
2016,Percent,Total security,,,30-34,44.5,KAZ,,,,,
2016,Percent,Relatively safe,,,30-34,48.3,KAZ,,,,,
2016,Percent,Not safe,,,30-34,7.2,KAZ,,,,,
2016,Percent,,,,35-39,100.0,KAZ,,,,,
2016,Percent,Total security,,,35-39,41.9,KAZ,,,,,
2016,Percent,Relatively safe,,,35-39,50.9,KAZ,,,,,
2016,Percent,Not safe,,,35-39,7.1,KAZ,,,,,
2016,Percent,,,,40-44,100.0,KAZ,,,,,
2016,Percent,Total security,,,40-44,41.1,KAZ,,,,,
2016,Percent,Relatively safe,,,40-44,51.1,KAZ,,,,,
2016,Percent,Not safe,,,40-44,7.8,KAZ,,,,,
2016,Percent,,,,45-49,100.0,KAZ,,,,,
2016,Percent,Total security,,,45-49,45.0,KAZ,,,,,
2016,Percent,Relatively safe,,,45-49,46.5,KAZ,,,,,
2016,Percent,Not safe,,,45-49,8.5,KAZ,,,,,
2016,Percent,,,,50-54,100.0,KAZ,,,,,
2016,Percent,Total security,,,50-54,42.7,KAZ,,,,,
2016,Percent,Relatively safe,,,50-54,49.7,KAZ,,,,,
2016,Percent,Not safe,,,50-54,7.6,KAZ,,,,,
2016,Percent,,,,55-59,100.0,KAZ,,,,,
2016,Percent,Total security,,,55-59,41.5,KAZ,,,,,
2016,Percent,Relatively safe,,,55-59,49.3,KAZ,,,,,
2016,Percent,Not safe,,,55-59,9.2,KAZ,,,,,
2016,Percent,,,,60+,100.0,KAZ,,,,,
2016,Percent,Total security,,,60+,35.0,KAZ,,,,,
2016,Percent,Relatively safe,,,60+,51.1,KAZ,,,,,
2016,Percent,Not safe,,,60+,14.0,KAZ,,,,,
2019,Percent,,,,,100.0,KAZ,,,,,
2019,Percent,Total security,,,,49.6,KAZ,,,,,
2019,Percent,Relatively safe,,,,42.8,KAZ,,,,,
2019,Percent,Not safe,,,,5.4,KAZ,,,,,
2019,Percent,_L_KZ_160104_1D,,,,0.9,KAZ,,,,,
2019,Percent,_L_KZ_160104_1E,,,,1.2,KAZ,,,,,
2019,Percent,,urban,,,100.0,KAZ,,,,,
2019,Percent,Total security,urban,,,40.5,KAZ,,,,,
2019,Percent,Relatively safe,urban,,,50.4,KAZ,,,,,
2019,Percent,Not safe,urban,,,6.5,KAZ,,,,,
2019,Percent,_L_KZ_160104_1D,urban,,,1.0,KAZ,,,,,
2019,Percent,_L_KZ_160104_1E,urban,,,1.7,KAZ,,,,,
2019,Percent,,rural,,,100.0,KAZ,,,,,
2019,Percent,Total security,rural,,,62.9,KAZ,,,,,
2019,Percent,Relatively safe,rural,,,31.9,KAZ,,,,,
2019,Percent,Not safe,rural,,,3.8,KAZ,,,,,
2019,Percent,_L_KZ_160104_1D,rural,,,0.9,KAZ,,,,,
2019,Percent,_L_KZ_160104_1E,rural,,,0.5,KAZ,,,,,
2019,Percent,,,Male,,100.0,KAZ,,,,,
2019,Percent,Total security,,Male,,55.3,KAZ,,,,,
2019,Percent,Relatively safe,,Male,,39.3,KAZ,,,,,
2019,Percent,Not safe,,Male,,3.6,KAZ,,,,,
2019,Percent,_L_KZ_160104_1D,,Male,,0.8,KAZ,,,,,
2019,Percent,_L_KZ_160104_1E,,Male,,1.0,KAZ,,,,,
2019,Percent,,,Female,,100.0,KAZ,,,,,
2019,Percent,Total security,,Female,,44.6,KAZ,,,,,
2019,Percent,Relatively safe,,Female,,46.0,KAZ,,,,,
2019,Percent,Not safe,,Female,,7.0,KAZ,,,,,
2019,Percent,_L_KZ_160104_1D,,Female,,1.0,KAZ,,,,,
2019,Percent,_L_KZ_160104_1E,,Female,,1.4,KAZ,,,,,
2019,Percent,,,,15-19,100.0,KAZ,,,,,
2019,Percent,Total security,,,15-19,52.4,KAZ,,,,,
2019,Percent,Relatively safe,,,15-19,41.6,KAZ,,,,,
2019,Percent,Not safe,,,15-19,4.3,KAZ,,,,,
2019,Percent,_L_KZ_160104_1D,,,15-19,1.2,KAZ,,,,,
2019,Percent,_L_KZ_160104_1E,,,15-19,0.5,KAZ,,,,,
2019,Percent,,,,20-24,100.0,KAZ,,,,,
