Year,UNIT_MEASURE,Regions,Sex,Area,Age,Value,M49_country_code,Degree of urbanisation,Economic activity
2013,Percent,,,,,11.8,KAZ,,
2013,Percent,Akmola,,,,9.7,KAZ,,
2013,Percent,Aktobe,,,,13.9,KAZ,,
2013,Percent,Almaty,,,,14.6,KAZ,,
2013,Percent,Atyrau,,,,1.7,KAZ,,
2013,Percent,Batys Kazakhstan,,,,10.8,KAZ,,
2013,Percent,Zhambyl,,,,20.2,KAZ,,
2013,Percent,Karagandy,,,,8.0,KAZ,,
2013,Percent,Kostanay,,,,19.8,KAZ,,
2013,Percent,Kyzylorda,,,,12.7,KAZ,,
2013,Percent,Mangistau,,,,3.5,KAZ,,
2013,Percent,Ontustik Kazakhstan,,,,14.2,KAZ,,
2013,Percent,Pavlodar,,,,14.6,KAZ,,
2013,Percent,Soltustik Kazakhstan,,,,24.8,KAZ,,
2013,Percent,Shygys Kazakhstan,,,,12.5,KAZ,,
2013,Percent,Nur-Sultan city,,,,0.2,KAZ,,
2013,Percent,Almaty city,,,,1.2,KAZ,,
2013,Percent,,Male,,,10.9,KAZ,,
2013,Percent,Akmola,Male,,,9.1,KAZ,,
2013,Percent,Aktobe,Male,,,15.2,KAZ,,
2013,Percent,Almaty,Male,,,14.4,KAZ,,
2013,Percent,Atyrau,Male,,,1.9,KAZ,,
2013,Percent,Batys Kazakhstan,Male,,,13.1,KAZ,,
2013,Percent,Zhambyl,Male,,,19.8,KAZ,,
2013,Percent,Karagandy,Male,,,6.8,KAZ,,
2013,Percent,Kostanay,Male,,,17.0,KAZ,,
2013,Percent,Kyzylorda,Male,,,11.3,KAZ,,
2013,Percent,Mangistau,Male,,,2.6,KAZ,,
2013,Percent,Ontustik Kazakhstan,Male,,,12.2,KAZ,,
2013,Percent,Pavlodar,Male,,,12.6,KAZ,,
2013,Percent,Soltustik Kazakhstan,Male,,,20.2,KAZ,,
2013,Percent,Shygys Kazakhstan,Male,,,11.7,KAZ,,
2013,Percent,Nur-Sultan city,Male,,,0.0,KAZ,,
2013,Percent,Almaty city,Male,,,1.5,KAZ,,
2013,Percent,,Female,,,12.7,KAZ,,
2013,Percent,Akmola,Female,,,10.2,KAZ,,
2013,Percent,Aktobe,Female,,,12.6,KAZ,,
2013,Percent,Almaty,Female,,,14.8,KAZ,,
2013,Percent,Atyrau,Female,,,1.5,KAZ,,
2013,Percent,Batys Kazakhstan,Female,,,8.4,KAZ,,
2013,Percent,Zhambyl,Female,,,20.6,KAZ,,
2013,Percent,Karagandy,Female,,,9.2,KAZ,,
2013,Percent,Kostanay,Female,,,22.4,KAZ,,
2013,Percent,Kyzylorda,Female,,,14.4,KAZ,,
2013,Percent,Mangistau,Female,,,4.7,KAZ,,
2013,Percent,Ontustik Kazakhstan,Female,,,16.7,KAZ,,
2013,Percent,Pavlodar,Female,,,16.6,KAZ,,
2013,Percent,Soltustik Kazakhstan,Female,,,29.4,KAZ,,
2013,Percent,Shygys Kazakhstan,Female,,,13.4,KAZ,,
2013,Percent,Nur-Sultan city,Female,,,0.3,KAZ,,
2013,Percent,Almaty city,Female,,,0.9,KAZ,,
2013,Percent,,,urban,,5.1,KAZ,,
2013,Percent,Akmola,,urban,,2.4,KAZ,,
2013,Percent,Aktobe,,urban,,7.1,KAZ,,
2013,Percent,Almaty,,urban,,12.1,KAZ,,
2013,Percent,Atyrau,,urban,,0.2,KAZ,,
2013,Percent,Batys Kazakhstan,,urban,,2.1,KAZ,,
2013,Percent,Zhambyl,,urban,,25.5,KAZ,,
2013,Percent,Karagandy,,urban,,6.0,KAZ,,
2013,Percent,Kostanay,,urban,,6.4,KAZ,,
2013,Percent,Kyzylorda,,urban,,8.4,KAZ,,
2013,Percent,Mangistau,,urban,,4.0,KAZ,,
2013,Percent,Ontustik Kazakhstan,,urban,,7.1,KAZ,,
2013,Percent,Pavlodar,,urban,,3.1,KAZ,,
2013,Percent,Soltustik Kazakhstan,,urban,,7.7,KAZ,,
2013,Percent,Shygys Kazakhstan,,urban,,1.7,KAZ,,
2013,Percent,Nur-Sultan city,,urban,,0.2,KAZ,,
2013,Percent,Almaty city,,urban,,1.2,KAZ,,
2013,Percent,,,rural,,19.8,KAZ,,
2013,Percent,Akmola,,rural,,15.9,KAZ,,
2013,Percent,Aktobe,,rural,,25.4,KAZ,,
2013,Percent,Almaty,,rural,,15.4,KAZ,,
2013,Percent,Atyrau,,rural,,3.1,KAZ,,
2013,Percent,Batys Kazakhstan,,rural,,18.1,KAZ,,
2013,Percent,Zhambyl,,rural,,17.2,KAZ,,
2013,Percent,Karagandy,,rural,,15.0,KAZ,,
2013,Percent,Kostanay,,rural,,32.3,KAZ,,
2013,Percent,Kyzylorda,,rural,,16.2,KAZ,,
2013,Percent,Mangistau,,rural,,2.9,KAZ,,
2013,Percent,Ontustik Kazakhstan,,rural,,18.6,KAZ,,
2013,Percent,Pavlodar,,rural,,36.3,KAZ,,
2013,Percent,Soltustik Kazakhstan,,rural,,36.0,KAZ,,
2013,Percent,Shygys Kazakhstan,,rural,,27.8,KAZ,,
2013,Percent,,,,Y15,97.8,KAZ,,
2013,Percent,,,,16-24,16.1,KAZ,,
2013,Percent,,,,25-28,10.0,KAZ,,
2013,Percent,,,,29-34,11.1,KAZ,,
2013,Percent,,,,35-44,9.9,KAZ,,
2013,Percent,,,,45-54,10.6,KAZ,,
2013,Percent,,,,55-64,15.2,KAZ,,
2013,Percent,,,,65 and older,47.5,KAZ,,
2013,Percent,Akmola,,,16-24,12.9,KAZ,,
2013,Percent,Akmola,,,25-28,5.9,KAZ,,
2013,Percent,Akmola,,,29-34,6.4,KAZ,,
2013,Percent,Akmola,,,35-44,8.8,KAZ,,
2013,Percent,Akmola,,,45-54,12.1,KAZ,,
2013,Percent,Akmola,,,55-64,9.8,KAZ,,
2013,Percent,Akmola,,,65 and older,25.5,KAZ,,
2013,Percent,Aktobe,,,16-24,20.8,KAZ,,
2013,Percent,Aktobe,,,25-28,15.4,KAZ,,
2013,Percent,Aktobe,,,29-34,19.8,KAZ,,
2013,Percent,Aktobe,,,35-44,8.4,KAZ,,
2013,Percent,Aktobe,,,45-54,8.5,KAZ,,
2013,Percent,Aktobe,,,55-64,16.5,KAZ,,
2013,Percent,Aktobe,,,65 and older,22.0,KAZ,,
2013,Percent,Almaty,,,16-24,19.3,KAZ,,
2013,Percent,Almaty,,,25-28,10.9,KAZ,,
2013,Percent,Almaty,,,29-34,13.7,KAZ,,
2013,Percent,Almaty,,,35-44,14.1,KAZ,,
2013,Percent,Almaty,,,45-54,14.5,KAZ,,
2013,Percent,Almaty,,,55-64,14.3,KAZ,,
2013,Percent,Almaty,,,65 and older,10.8,KAZ,,
2013,Percent,Atyrau,,,16-24,2.0,KAZ,,
2013,Percent,Atyrau,,,25-28,0.2,KAZ,,
