Year,COMPOSITE_BREAKDOWN,Value,M49_country_code
2014,Country: Russian Federation,465,KGZ
2015,Country: Russian Federation,445,KGZ
2016,Country: Russian Federation,360,KGZ
2017,Country: Russian Federation,364,KGZ
2018,Country: Russian Federation,347,KGZ
2019,Country: Russian Federation,330,KGZ
2020,Country: Russian Federation,370,KGZ
2014,Country: Republic of Belarus,3,KGZ
2015,Country: Republic of Belarus,5,KGZ
2016,Country: Republic of Belarus,2,KGZ
2017,Country: Republic of Belarus,5,KGZ
2018,Country: Republic of Belarus,2,KGZ
2020,Country: Republic of Belarus,5,KGZ
2014,Country: Republic of Kazakhstan,1,KGZ
2015,Country: Republic of Kazakhstan,5,KGZ
2016,Country: Republic of Kazakhstan,5,KGZ
2017,Country: Republic of Kazakhstan,5,KGZ
2018,Country: Republic of Kazakhstan,5,KGZ
2019,Country: Republic of Kazakhstan,3,KGZ
2020,Country: Republic of Kazakhstan,5,KGZ
2014,Country: Republic of Tajikistan,50,KGZ
2015,Country: Republic of Tajikistan,47,KGZ
2016,Country: Republic of Tajikistan,44,KGZ
2017,Country: Republic of Tajikistan,21,KGZ
2018,Country: Republic of Tajikistan,33,KGZ
2019,Country: Republic of Tajikistan,42,KGZ
2020,Country: Republic of Tajikistan,20,KGZ
2014,Country: People's Republic of China,0,KGZ
2015,Country: People's Republic of China,0,KGZ
2016,Country: People's Republic of China,0,KGZ
2017,Country: People's Republic of China,25,KGZ
2018,Country: People's Republic of China,15,KGZ
2019,Country: People's Republic of China,30,KGZ
2020,Country: People's Republic of China,19,KGZ
2014,Country: Hungary,0,KGZ
2015,Country: Hungary,0,KGZ
2016,Country: Hungary,0,KGZ
2017,Country: Hungary,23,KGZ
2018,Country: Hungary,27,KGZ
2019,Country: Hungary,62,KGZ
2020,Country: Hungary,73,KGZ
