Year,UNIT_MEASURE,Area,Regions,Value,M49_country_code,Reference area,GeoCode,unique_id,col_caption_name,col_caption_name1_empty,year,value
2010.0,Percent,,,99.4,KAZ,,,,,,,
2010.0,Percent,,Akmola,99.7,KAZ,,,,,,,
2010.0,Percent,,Aktobe,99.7,KAZ,,,,,,,
2010.0,Percent,,Almaty,99.8,KAZ,,,,,,,
2010.0,Percent,,Atyrau,99.5,KAZ,,,,,,,
2010.0,Percent,,Batys Kazakhstan,99.4,KAZ,,,,,,,
2010.0,Percent,,Zhambyl,99.3,KAZ,,,,,,,
2010.0,Percent,,Karagandy,99.5,KAZ,,,,,,,
2010.0,Percent,,Kostanay,99.3,KAZ,,,,,,,
2010.0,Percent,,Kyzylorda,99.7,KAZ,,,,,,,
2010.0,Percent,,Mangistau,99.5,KAZ,,,,,,,
2010.0,Percent,,Ontustik Kazakhstan,98.8,KAZ,,,,,,,
2010.0,Percent,,Pavlodar,99.6,KAZ,,,,,,,
2010.0,Percent,,Soltustik Kazakhstan,99.5,KAZ,,,,,,,
2010.0,Percent,,Shygys Kazakhstan,99.2,KAZ,,,,,,,
2010.0,Percent,,Nur-Sultan city,99.3,KAZ,,,,,,,
2010.0,Percent,,Almaty city,99.7,KAZ,,,,,,,
2010.0,Percent,urban,,99.8,KAZ,,,,,,,
2010.0,Percent,urban,Akmola,100.0,KAZ,,,,,,,
2010.0,Percent,urban,Aktobe,100.0,KAZ,,,,,,,
2010.0,Percent,urban,Almaty,100.0,KAZ,,,,,,,
2010.0,Percent,urban,Atyrau,100.0,KAZ,,,,,,,
2010.0,Percent,urban,Batys Kazakhstan,99.7,KAZ,,,,,,,
2010.0,Percent,urban,Zhambyl,99.7,KAZ,,,,,,,
2010.0,Percent,urban,Karagandy,99.8,KAZ,,,,,,,
2010.0,Percent,urban,Kostanay,99.6,KAZ,,,,,,,
2010.0,Percent,urban,Kyzylorda,100.0,KAZ,,,,,,,
2010.0,Percent,urban,Mangistau,99.8,KAZ,,,,,,,
2010.0,Percent,urban,Ontustik Kazakhstan,99.6,KAZ,,,,,,,
2010.0,Percent,urban,Pavlodar,99.9,KAZ,,,,,,,
2010.0,Percent,urban,Soltustik Kazakhstan,99.8,KAZ,,,,,,,
2010.0,Percent,urban,Shygys Kazakhstan,99.8,KAZ,,,,,,,
2010.0,Percent,urban,Nur-Sultan city,99.7,KAZ,,,,,,,
2010.0,Percent,urban,Almaty city,100.0,KAZ,,,,,,,
2010.0,Percent,rural,,99.7,KAZ,,,,,,,
2010.0,Percent,rural,Akmola,99.9,KAZ,,,,,,,
2010.0,Percent,rural,Aktobe,99.9,KAZ,,,,,,,
2010.0,Percent,rural,Almaty,100.0,KAZ,,,,,,,
2010.0,Percent,rural,Atyrau,99.7,KAZ,,,,,,,
2010.0,Percent,rural,Batys Kazakhstan,99.8,KAZ,,,,,,,
2010.0,Percent,rural,Zhambyl,99.6,KAZ,,,,,,,
2010.0,Percent,rural,Karagandy,99.4,KAZ,,,,,,,
2010.0,Percent,rural,Kostanay,99.9,KAZ,,,,,,,
2010.0,Percent,rural,Kyzylorda,99.8,KAZ,,,,,,,
2010.0,Percent,rural,Mangistau,100.0,KAZ,,,,,,,
2010.0,Percent,rural,Ontustik Kazakhstan,99.6,KAZ,,,,,,,
2010.0,Percent,rural,Pavlodar,99.9,KAZ,,,,,,,
2010.0,Percent,rural,Soltustik Kazakhstan,99.9,KAZ,,,,,,,
2010.0,Percent,rural,Shygys Kazakhstan,99.1,KAZ,,,,,,,
2011.0,Percent,,,99.9,KAZ,,,,,,,
2011.0,Percent,,Akmola,99.9,KAZ,,,,,,,
2011.0,Percent,,Aktobe,100.0,KAZ,,,,,,,
2011.0,Percent,,Almaty,100.0,KAZ,,,,,,,
2011.0,Percent,,Atyrau,100.0,KAZ,,,,,,,
