Year,UNIT_MEASURE,Value,M49_country_code,unique_id,col_caption_name,col_caption_name1_empty,year,value
2010.0,Percent,34.3,KAZ,,,,,
2011.0,Percent,32.7,KAZ,,,,,
2012.0,Percent,32.7,KAZ,,,,,
2013.0,Percent,30.7,KAZ,,,,,
2014.0,Percent,31.4,KAZ,,,,,
2015.0,Percent,32.2,KAZ,,,,,
2016.0,Percent,30.3,KAZ,,,,,
2017.0,Percent,30.5,KAZ,,,,,
2018.0,Percent,30.5,KAZ,,,,,
2019.0,Percent,30.5,KAZ,,,,,
2020.0,Percent,31.2,KAZ,,,,,
2021.0,Percent,31.2,KAZ,,,,,
2010.0,,29.6,KGZ,,,,,
2011.0,,29.0,KGZ,,,,,
2012.0,,30.0,KGZ,,,,,
2013.0,,28.3,KGZ,,,,,
2014.0,,26.8,KGZ,,,,,
2015.0,,27.0,KGZ,,,,,
2016.0,,28.4,KGZ,,,,,
2017.0,,26.8,KGZ,,,,,
2018.0,,26.1,KGZ,,,,,
2019.0,,24.5,KGZ,,,,,
2020.0,,27.6,KGZ,,,,,
,,,UZB,01_101_,Total,True,2000.0,35.1
,,,UZB,01_101_,Total,True,2001.0,34.7
,,,UZB,01_101_,Total,True,2002.0,33.6
,,,UZB,01_101_,Total,True,2003.0,31.7
,,,UZB,01_101_,Total,True,2004.0,29.8
,,,UZB,01_101_,Total,True,2005.0,30.7
,,,UZB,01_101_,Total,True,2006.0,29.8
,,,UZB,01_101_,Total,True,2007.0,29.9
,,,UZB,01_101_,Total,True,2008.0,29.0
,,,UZB,01_101_,Total,True,2009.0,29.2
,,,UZB,01_101_,Total,True,2010.0,24.7
,,,UZB,01_101_,Total,True,2011.0,24.8
,,,UZB,01_101_,Total,True,2012.0,26.8
,,,UZB,01_101_,Total,True,2013.0,27.3
,,,UZB,01_101_,Total,True,2014.0,25.8
,,,UZB,01_101_,Total,True,2015.0,25.3
,,,UZB,01_101_,Total,True,2016.0,25.3
,,,UZB,01_101_,Total,True,2017.0,22.5
,,,UZB,01_101_,Total,True,2018.0,22.6
,,,UZB,01_101_,Total,True,2019.0,24.9
,,,UZB,01_101_,Total,True,2020.0,0.0
,,,UZB,01_101_,Total,True,2021.0,0.0
