Year,UNIT_MEASURE,Value,M49_country_code,Reference area,Sex,Age,GeoCode,unique_id,col_caption_name,col_caption_name1_empty,year,value
2010.0,per 1000 non immunized,0.12,KAZ,,,,,,,,,
2011.0,per 1000 non immunized,0.12,KAZ,,,,,,,,,
2012.0,per 1000 non immunized,0.12,KAZ,,,,,,,,,
2013.0,per 1000 non immunized,0.12,KAZ,,,,,,,,,
2014.0,per 1000 non immunized,0.13,KAZ,,,,,,,,,
2015.0,per 1000 non immunized,0.14,KAZ,,,,,,,,,
2016.0,per 1000 non immunized,0.16,KAZ,,,,,,,,,
2017.0,per 1000 non immunized,0.16,KAZ,,,,,,,,,
2018.0,per 1000 non immunized,0.17,KAZ,,,,,,,,,
2019.0,per 1000 non immunized,0.19,KAZ,,,,,,,,,
2007.0,,0.077639,KGZ,,,,,,,,,
2008.0,,0.103795,KGZ,,,,,,,,,
2009.0,,0.124661,KGZ,,,,,,,,,
2010.0,,0.1017,KGZ,,,,,,,,,
2011.0,,0.107723,KGZ,,,,,,,,,
2012.0,,0.125562,KGZ,,,,,,,,,
2013.0,,0.083925,KGZ,,,,,,,,,
2014.0,,0.104881,KGZ,,,,,,,,,
2015.0,,0.101567,KGZ,,,,,,,,,
2016.0,,0.117451,KGZ,,,,,,,,,
2017.0,,0.128435,KGZ,,,,,,,,,
2018.0,,0.1297,KGZ,,,,,,,,,
2019.0,,0.1,KGZ,,,,,,,,,
2020.0,,0.1,KGZ,,,,,,,,,
2021.0,,0.126418,KGZ,,,,,,,,,
2007.0,,0.041956,KGZ,,Female,,,,,,,
2008.0,,0.067162,KGZ,,Female,,,,,,,
2009.0,,0.064553,KGZ,,Female,,,,,,,
2010.0,,0.060539,KGZ,,Female,,,,,,,
2011.0,,0.064473,KGZ,,Female,,,,,,,
2012.0,,0.105748,KGZ,,Female,,,,,,,
2013.0,,0.070194,KGZ,,Female,,,,,,,
2014.0,,0.090885,KGZ,,Female,,,,,,,
2015.0,,0.091088,KGZ,,Female,,,,,,,
2016.0,,0.097137,KGZ,,Female,,,,,,,
2017.0,,0.106527,KGZ,,Female,,,,,,,
2018.0,,0.097582,KGZ,,Female,,,,,,,
2019.0,,0.1,KGZ,,Female,,,,,,,
2020.0,,0.1,KGZ,,Female,,,,,,,
2021.0,,0.14923,KGZ,,Female,,,,,,,
2007.0,,0.114296,KGZ,,Male,,,,,,,
