Year,UNIT_MEASURE,SERIES,Value,M49_country_code,Reference area,Sex,GeoCode,unique_id,col_caption_name,col_caption_name1_empty,year,value
2010.0,per 1000 workers,Work injury rate,0.48,KAZ,,,,,,,,
2010.0,per 1000 workers,Fatal occupational injuries,0.08,KAZ,,,,,,,,
2011.0,per 1000 workers,Work injury rate,0.47,KAZ,,,,,,,,
2011.0,per 1000 workers,Fatal occupational injuries,0.07,KAZ,,,,,,,,
2012.0,per 1000 workers,Work injury rate,0.45,KAZ,,,,,,,,
2012.0,per 1000 workers,Fatal occupational injuries,0.06,KAZ,,,,,,,,
2013.0,per 1000 workers,Work injury rate,0.42,KAZ,,,,,,,,
2013.0,per 1000 workers,Fatal occupational injuries,0.06,KAZ,,,,,,,,
2014.0,per 1000 workers,Work injury rate,0.39,KAZ,,,,,,,,
2014.0,per 1000 workers,Fatal occupational injuries,0.06,KAZ,,,,,,,,
2015.0,per 1000 workers,Work injury rate,0.33,KAZ,,,,,,,,
2015.0,per 1000 workers,Fatal occupational injuries,0.05,KAZ,,,,,,,,
2016.0,per 1000 workers,Work injury rate,0.32,KAZ,,,,,,,,
2016.0,per 1000 workers,Fatal occupational injuries,0.05,KAZ,,,,,,,,
2017.0,per 1000 workers,Work injury rate,0.29,KAZ,,,,,,,,
2017.0,per 1000 workers,Fatal occupational injuries,0.04,KAZ,,,,,,,,
2018.0,per 1000 workers,Work injury rate,0.25,KAZ,,,,,,,,
2018.0,per 1000 workers,Fatal occupational injuries,0.03,KAZ,,,,,,,,
2019.0,per 1000 workers,Work injury rate,0.21,KAZ,,,,,,,,
2019.0,per 1000 workers,Fatal occupational injuries,0.029,KAZ,,,,,,,,
2020.0,per 1000 workers,Work injury rate,0.23,KAZ,,,,,,,,
2020.0,per 1000 workers,Fatal occupational injuries,0.03,KAZ,,,,,,,,
2007.0,,Non-fatal occupational injuries among employees (rate),27.716013,KGZ,,,,,,,,
2008.0,,Non-fatal occupational injuries among employees (rate),32.316212,KGZ,,,,,,,,
2009.0,,Non-fatal occupational injuries among employees (rate),24.233586,KGZ,,,,,,,,
2010.0,,Non-fatal occupational injuries among employees (rate),90.112821,KGZ,,,,,,,,
2011.0,,Non-fatal occupational injuries among employees (rate),27.924874,KGZ,,,,,,,,
