Year,UNIT_MEASURE,Regions,Value,M49_country_code,Reference area,Sex,Age,Degree of urbanisation,Income or wealth quantile,Education level,GeoCode,unique_id,col_caption_name,col_caption_name1_empty,year,value
2010.0,Percent,,100.0,KAZ,,,,,,,,,,,,
2010.0,Percent,Akmola,100.0,KAZ,,,,,,,,,,,,
2010.0,Percent,Aktobe,100.0,KAZ,,,,,,,,,,,,
2010.0,Percent,Almaty,100.0,KAZ,,,,,,,,,,,,
2010.0,Percent,Atyrau,100.0,KAZ,,,,,,,,,,,,
2010.0,Percent,Batys Kazakhstan,100.0,KAZ,,,,,,,,,,,,
2010.0,Percent,Zhambyl,100.0,KAZ,,,,,,,,,,,,
2010.0,Percent,Karagandy,100.0,KAZ,,,,,,,,,,,,
2010.0,Percent,Kostanay,100.0,KAZ,,,,,,,,,,,,
2010.0,Percent,Kyzylorda,100.0,KAZ,,,,,,,,,,,,
2010.0,Percent,Mangistau,100.0,KAZ,,,,,,,,,,,,
2010.0,Percent,Pavlodar,100.0,KAZ,,,,,,,,,,,,
2010.0,Percent,Soltustik Kazakhstan,100.0,KAZ,,,,,,,,,,,,
2010.0,Percent,Turkistan,100.0,KAZ,,,,,,,,,,,,
2010.0,Percent,Shygys Kazakhstan,100.0,KAZ,,,,,,,,,,,,
2010.0,Percent,Nur-Sultan city,100.0,KAZ,,,,,,,,,,,,
2010.0,Percent,Almaty city,100.0,KAZ,,,,,,,,,,,,
2010.0,Percent,Shymkent city,100.0,KAZ,,,,,,,,,,,,
2011.0,Percent,,100.0,KAZ,,,,,,,,,,,,
2011.0,Percent,Akmola,100.0,KAZ,,,,,,,,,,,,
2011.0,Percent,Aktobe,100.0,KAZ,,,,,,,,,,,,
2011.0,Percent,Almaty,100.0,KAZ,,,,,,,,,,,,
2011.0,Percent,Atyrau,100.0,KAZ,,,,,,,,,,,,
2011.0,Percent,Batys Kazakhstan,100.0,KAZ,,,,,,,,,,,,
2011.0,Percent,Zhambyl,100.0,KAZ,,,,,,,,,,,,
