Year,Reference area,GeoCode,Value,M49_country_code,unique_id,col_caption_name,col_caption_name1_empty,year,value
2007.0,,,0.102468,KGZ,,,,,
2008.0,,,0.657422,KGZ,,,,,
2009.0,,,0.037073,KGZ,,,,,
2010.0,,,0.234561,KGZ,,,,,
2011.0,,,0.328649,KGZ,,,,,
2012.0,,,0.297902,KGZ,,,,,
2013.0,,,0.062089,KGZ,,,,,
2014.0,,,0.113728,KGZ,,,,,
2015.0,,,0.532092,KGZ,,,,,
2016.0,,,0.21124,KGZ,,,,,
2017.0,,,0.193675,KGZ,,,,,
2018.0,,,0.21,KGZ,,,,,
2019.0,,,0.052302,KGZ,,,,,
2020.0,,,0.044166,KGZ,,,,,
2007.0,Batken,KG05,0.358951,KGZ,,,,,
2008.0,Batken,KG05,2.126272,KGZ,,,,,
2009.0,Batken,KG05,0.403899,KGZ,,,,,
2010.0,Batken,KG05,0.333138,KGZ,,,,,
2011.0,Batken,KG05,4.307812,KGZ,,,,,
2012.0,Batken,KG05,1.956574,KGZ,,,,,
2013.0,Batken,KG05,0.02969,KGZ,,,,,
2014.0,Batken,KG05,0.25113,KGZ,,,,,
2015.0,Batken,KG05,3.438047,KGZ,,,,,
2016.0,Batken,KG05,2.2105,KGZ,,,,,
2017.0,Batken,KG05,0.753563,KGZ,,,,,
2018.0,Batken,KG05,1.04,KGZ,,,,,
2019.0,Batken,KG05,0.113897,KGZ,,,,,
2020.0,Batken,KG05,0.361854,KGZ,,,,,
2007.0,Jalal-Abad,KG03,0.412118,KGZ,,,,,
2008.0,Jalal-Abad,KG03,0.136994,KGZ,,,,,
2009.0,Jalal-Abad,KG03,0.015857,KGZ,,,,,
2010.0,Jalal-Abad,KG03,1.154719,KGZ,,,,,
2011.0,Jalal-Abad,KG03,0.453264,KGZ,,,,,
2012.0,Jalal-Abad,KG03,1.016425,KGZ,,,,,
2013.0,Jalal-Abad,KG03,0.101309,KGZ,,,,,
2014.0,Jalal-Abad,KG03,0.072479,KGZ,,,,,
2015.0,Jalal-Abad,KG03,0.172868,KGZ,,,,,
2016.0,Jalal-Abad,KG03,0.441517,KGZ,,,,,
2017.0,Jalal-Abad,KG03,0.196222,KGZ,,,,,
2018.0,Jalal-Abad,KG03,0.11,KGZ,,,,,
2019.0,Jalal-Abad,KG03,0.23463,KGZ,,,,,
2020.0,Jalal-Abad,KG03,0.274087,KGZ,,,,,
2007.0,Issyk-Kul,KG02,0.003239,KGZ,,,,,
2008.0,Issyk-Kul,KG02,0.003293,KGZ,,,,,
2009.0,Issyk-Kul,KG02,0.034457,KGZ,,,,,
2010.0,Issyk-Kul,KG02,0.001692,KGZ,,,,,
2011.0,Issyk-Kul,KG02,0.012271,KGZ,,,,,
2012.0,Issyk-Kul,KG02,0.112102,KGZ,,,,,
2013.0,Issyk-Kul,KG02,0.148306,KGZ,,,,,
2014.0,Issyk-Kul,KG02,0.685858,KGZ,,,,,
2015.0,Issyk-Kul,KG02,0.015296,KGZ,,,,,
2016.0,Issyk-Kul,KG02,0.169567,KGZ,,,,,
2017.0,Issyk-Kul,KG02,0.130728,KGZ,,,,,
2018.0,Issyk-Kul,KG02,0.11,KGZ,,,,,
2019.0,Issyk-Kul,KG02,0.013155,KGZ,,,,,
2020.0,Issyk-Kul,KG02,0.000467,KGZ,,,,,
2007.0,Naryn,KG04,0.009569,KGZ,,,,,
2008.0,Naryn,KG04,0.035207,KGZ,,,,,
2009.0,Naryn,KG04,0.008456,KGZ,,,,,
2010.0,Naryn,KG04,1.65095,KGZ,,,,,
2011.0,Naryn,KG04,1.592461,KGZ,,,,,
