Year,UNIT_MEASURE,SERIES,COMPOSITE_BREAKDOWN,Value,M49_country_code
2016,Percent,_L_KZ_16030302_1E,_L_TRST_HIGH,38.7,KAZ
2016,Percent,_L_KZ_16030302_1E,_L_TRST_AVG,43.3,KAZ
2016,Percent,_L_KZ_16030302_1E,_L_TRST_LOW,4.1,KAZ
2016,Percent,_L_KZ_16030302_1E,_L_TRST_NO,2.0,KAZ
2016,Percent,_L_KZ_16030302_1E,_L_TRST_NEV,11.8,KAZ
2016,Percent,_L_KZ_16030302_1C,_L_TRST_HIGH,29.8,KAZ
2016,Percent,_L_KZ_16030302_1C,_L_TRST_AVG,51.6,KAZ
2016,Percent,_L_KZ_16030302_1C,_L_TRST_LOW,6.6,KAZ
2016,Percent,_L_KZ_16030302_1C,_L_TRST_NO,3.5,KAZ
2016,Percent,_L_KZ_16030302_1C,_L_TRST_NEV,8.7,KAZ
2016,Percent,_L_KZ_16030302_1B,_L_TRST_HIGH,16.1,KAZ
2016,Percent,_L_KZ_16030302_1B,_L_TRST_AVG,38.6,KAZ
2016,Percent,_L_KZ_16030302_1B,_L_TRST_LOW,6.0,KAZ
2016,Percent,_L_KZ_16030302_1B,_L_TRST_NO,4.1,KAZ
2016,Percent,_L_KZ_16030302_1B,_L_TRST_NEV,35.1,KAZ
2016,Percent,_L_KZ_16030302_1F,_L_TRST_HIGH,14.3,KAZ
2016,Percent,_L_KZ_16030302_1F,_L_TRST_AVG,37.4,KAZ
2016,Percent,_L_KZ_16030302_1F,_L_TRST_LOW,5.4,KAZ
2016,Percent,_L_KZ_16030302_1F,_L_TRST_NO,3.7,KAZ
2016,Percent,_L_KZ_16030302_1F,_L_TRST_NEV,39.1,KAZ
2016,Percent,_L_KZ_16030302_1D,_L_TRST_HIGH,20.1,KAZ
2016,Percent,_L_KZ_16030302_1D,_L_TRST_AVG,40.7,KAZ
2016,Percent,_L_KZ_16030302_1D,_L_TRST_LOW,4.7,KAZ
2016,Percent,_L_KZ_16030302_1D,_L_TRST_NO,2.2,KAZ
2016,Percent,_L_KZ_16030302_1D,_L_TRST_NEV,32.3,KAZ
2019,Percent,_L_KZ_16030302_1H,_L_TRST_STRAGG,45.9,KAZ
2019,Percent,_L_KZ_16030302_1H,_L_TRST_PARTAGG,43.4,KAZ
2019,Percent,_L_KZ_16030302_1H,_L_TRST_PARTDIS,1.6,KAZ
2019,Percent,_L_KZ_16030302_1H,_L_TRST_STRDIS,1.0,KAZ
2019,Percent,_L_KZ_16030302_1H,_L_TRST_NEV,8.1,KAZ
2019,Percent,_L_KZ_16030302_1G,_L_TRST_STRAGG,38.3,KAZ
2019,Percent,_L_KZ_16030302_1G,_L_TRST_PARTAGG,51.2,KAZ
2019,Percent,_L_KZ_16030302_1G,_L_TRST_PARTDIS,3.3,KAZ
2019,Percent,_L_KZ_16030302_1G,_L_TRST_STRDIS,2.3,KAZ
2019,Percent,_L_KZ_16030302_1G,_L_TRST_NEV,4.9,KAZ
2019,Percent,_L_KZ_16030302_1A,_L_TRST_STRAGG,25.3,KAZ
2019,Percent,_L_KZ_16030302_1A,_L_TRST_PARTAGG,39.9,KAZ
2019,Percent,_L_KZ_16030302_1A,_L_TRST_PARTDIS,2.2,KAZ
2019,Percent,_L_KZ_16030302_1A,_L_TRST_STRDIS,1.6,KAZ
2019,Percent,_L_KZ_16030302_1A,_L_TRST_NEV,31.0,KAZ
2019,Percent,_L_KZ_16030302_1I,_L_TRST_STRAGG,24.4,KAZ
2019,Percent,_L_KZ_16030302_1I,_L_TRST_PARTAGG,35.7,KAZ
2019,Percent,_L_KZ_16030302_1I,_L_TRST_PARTDIS,1.6,KAZ
2019,Percent,_L_KZ_16030302_1I,_L_TRST_STRDIS,1.2,KAZ
2019,Percent,_L_KZ_16030302_1I,_L_TRST_NEV,37.1,KAZ
