Year,UNIT_MEASURE,COMPOSITE_BREAKDOWN,Value,M49_country_code,unique_id,col_caption_name,col_caption_name1_empty,year,value
2010.0,Percent,,27.2,KAZ,,,,,
2010.0,Percent,Corporate Income Tax,12.3,KAZ,,,,,
2010.0,Percent,Royalties related to use of resources,14.9,KAZ,,,,,
2011.0,Percent,,38.4,KAZ,,,,,
2011.0,Percent,Corporate Income Tax,13.6,KAZ,,,,,
2011.0,Percent,Royalties related to use of resources,24.8,KAZ,,,,,
2012.0,Percent,,36.8,KAZ,,,,,
2012.0,Percent,Corporate Income Tax,12.8,KAZ,,,,,
2012.0,Percent,Royalties related to use of resources,24.0,KAZ,,,,,
2013.0,Percent,,34.6,KAZ,,,,,
2013.0,Percent,Corporate Income Tax,12.6,KAZ,,,,,
2013.0,Percent,Royalties related to use of resources,22.0,KAZ,,,,,
2014.0,Percent,,32.0,KAZ,,,,,
2014.0,Percent,Corporate Income Tax,12.1,KAZ,,,,,
2014.0,Percent,Royalties related to use of resources,19.9,KAZ,,,,,
2015.0,Percent,,12.9,KAZ,,,,,
2015.0,Percent,Corporate Income Tax,4.5,KAZ,,,,,
2015.0,Percent,Royalties related to use of resources,8.4,KAZ,,,,,
2016.0,Percent,,14.1,KAZ,,,,,
2016.0,Percent,Corporate Income Tax,5.5,KAZ,,,,,
2016.0,Percent,Royalties related to use of resources,8.6,KAZ,,,,,
2017.0,Percent,,18.5,KAZ,,,,,
2017.0,Percent,Corporate Income Tax,7.2,KAZ,,,,,
2017.0,Percent,Royalties related to use of resources,11.3,KAZ,,,,,
2018.0,Percent,,24.1,KAZ,,,,,
2018.0,Percent,Corporate Income Tax,10.4,KAZ,,,,,
2018.0,Percent,Royalties related to use of resources,13.8,KAZ,,,,,
2019.0,Percent,,22.6,KAZ,,,,,
2019.0,Percent,Corporate Income Tax,9.9,KAZ,,,,,
2019.0,Percent,Royalties related to use of resources,12.7,KAZ,,,,,
2020.0,Percent,,12.6,KAZ,,,,,
2020.0,Percent,Corporate Income Tax,3.9,KAZ,,,,,
2020.0,Percent,Royalties related to use of resources,8.7,KAZ,,,,,
2021.0,Percent,,18.6,KAZ,,,,,
2021.0,Percent,Corporate Income Tax,6.9,KAZ,,,,,
2021.0,Percent,Royalties related to use of resources,11.7,KAZ,,,,,
2007.0,,,73.7,KGZ,,,,,
2008.0,,,77.0,KGZ,,,,,
2009.0,,,64.8,KGZ,,,,,
2010.0,,,67.9,KGZ,,,,,
2011.0,,,68.1,KGZ,,,,,
2012.0,,,73.5,KGZ,,,,,
2013.0,,,71.5,KGZ,,,,,
2014.0,,,69.2,KGZ,,,,,
2015.0,,,65.9,KGZ,,,,,
2016.0,,,71.8,KGZ,,,,,
2017.0,,,69.1,KGZ,,,,,
2018.0,,,76.9,KGZ,,,,,
2019.0,,,72.6,KGZ,,,,,
2020.0,,,70.3,KGZ,,,,,
2021.0,,,72.0,KGZ,,,,,
,,,,UZB,01_101_,Total,True,2000.0,0.0
,,,,UZB,01_101_,Total,True,2001.0,0.0
,,,,UZB,01_101_,Total,True,2002.0,0.0
,,,,UZB,01_101_,Total,True,2003.0,0.0
,,,,UZB,01_101_,Total,True,2004.0,0.0
,,,,UZB,01_101_,Total,True,2005.0,0.0
,,,,UZB,01_101_,Total,True,2006.0,0.0
,,,,UZB,01_101_,Total,True,2007.0,82.0
,,,,UZB,01_101_,Total,True,2008.0,82.7
,,,,UZB,01_101_,Total,True,2009.0,77.7
,,,,UZB,01_101_,Total,True,2010.0,79.0
,,,,UZB,01_101_,Total,True,2011.0,79.8
,,,,UZB,01_101_,Total,True,2012.0,77.8
,,,,UZB,01_101_,Total,True,2013.0,75.5
,,,,UZB,01_101_,Total,True,2014.0,73.7
,,,,UZB,01_101_,Total,True,2015.0,75.4
,,,,UZB,01_101_,Total,True,2016.0,76.6
,,,,UZB,01_101_,Total,True,2017.0,76.0
,,,,UZB,01_101_,Total,True,2018.0,68.5
,,,,UZB,01_101_,Total,True,2019.0,74.3
,,,,UZB,01_101_,Total,True,2020.0,77.9
,,,,UZB,01_101_,Total,True,2021.0,67.2
