Year,UNIT_MEASURE,Value,M49_country_code,unique_id,col_caption_name,col_caption_name1_empty,year,value
2010.0,Percent,1.2,KAZ,,,,,
2011.0,Percent,1.3,KAZ,,,,,
2012.0,Percent,1.3,KAZ,,,,,
2013.0,Percent,0.9,KAZ,,,,,
2014.0,Percent,0.8,KAZ,,,,,
2015.0,Percent,1.0,KAZ,,,,,
2016.0,Percent,1.2,KAZ,,,,,
2017.0,Percent,1.3,KAZ,,,,,
2018.0,Percent,1.3,KAZ,,,,,
2019.0,Percent,1.2,KAZ,,,,,
,,,UZB,01_101_,Total,True,2000.0,0.0
,,,UZB,01_101_,Total,True,2001.0,0.0
,,,UZB,01_101_,Total,True,2002.0,0.0
,,,UZB,01_101_,Total,True,2003.0,0.0
,,,UZB,01_101_,Total,True,2004.0,0.0
,,,UZB,01_101_,Total,True,2005.0,0.0
,,,UZB,01_101_,Total,True,2006.0,0.0
,,,UZB,01_101_,Total,True,2007.0,0.0
,,,UZB,01_101_,Total,True,2008.0,0.0
,,,UZB,01_101_,Total,True,2009.0,0.0
,,,UZB,01_101_,Total,True,2010.0,0.0
,,,UZB,01_101_,Total,True,2011.0,0.0
,,,UZB,01_101_,Total,True,2012.0,0.0
,,,UZB,01_101_,Total,True,2013.0,0.0
,,,UZB,01_101_,Total,True,2014.0,2.2
,,,UZB,01_101_,Total,True,2015.0,2.1
,,,UZB,01_101_,Total,True,2016.0,2.0
,,,UZB,01_101_,Total,True,2017.0,2.2
,,,UZB,01_101_,Total,True,2018.0,2.4
,,,UZB,01_101_,Total,True,2019.0,2.6
,,,UZB,01_101_,Total,True,2020.0,0.0
,,,UZB,01_101_,Total,True,2021.0,0.0
