Year,UNIT_MEASURE,Value,M49_country_code,Sex,Age,Education level
2015,Percent,16.6,KAZ,,,
2018,Percent,39.0,KAZ,,,
2010,,9.0,KGZ,,15 to 17 years old,Secondary and post-secondary non-tertiary education (intermediate)
2013,,9.4,KGZ,,15 to 17 years old,Secondary and post-secondary non-tertiary education (intermediate)
2014,,9.3,KGZ,,15 to 17 years old,Secondary and post-secondary non-tertiary education (intermediate)
2015,,9.5,KGZ,,15 to 17 years old,Secondary and post-secondary non-tertiary education (intermediate)
2016,,10.4,KGZ,,15 to 17 years old,Secondary and post-secondary non-tertiary education (intermediate)
2017,,10.9,KGZ,,15 to 17 years old,Secondary and post-secondary non-tertiary education (intermediate)
2018,,10.1,KGZ,,15 to 17 years old,Secondary and post-secondary non-tertiary education (intermediate)
2019,,9.5,KGZ,,15 to 17 years old,Secondary and post-secondary non-tertiary education (intermediate)
2020,,10.0,KGZ,,15 to 17 years old,Secondary and post-secondary non-tertiary education (intermediate)
2021,,10.8,KGZ,,15 to 17 years old,Secondary and post-secondary non-tertiary education (intermediate)
2010,,5.4,KGZ,Female,15 to 17 years old,Secondary and post-secondary non-tertiary education (intermediate)
2013,,6.0,KGZ,Female,15 to 17 years old,Secondary and post-secondary non-tertiary education (intermediate)
2014,,5.6,KGZ,Female,15 to 17 years old,Secondary and post-secondary non-tertiary education (intermediate)
2015,,5.8,KGZ,Female,15 to 17 years old,Secondary and post-secondary non-tertiary education (intermediate)
2016,,6.3,KGZ,Female,15 to 17 years old,Secondary and post-secondary non-tertiary education (intermediate)
2017,,6.9,KGZ,Female,15 to 17 years old,Secondary and post-secondary non-tertiary education (intermediate)
2018,,6.2,KGZ,Female,15 to 17 years old,Secondary and post-secondary non-tertiary education (intermediate)
2019,,5.9,KGZ,Female,15 to 17 years old,Secondary and post-secondary non-tertiary education (intermediate)
2020,,6.4,KGZ,Female,15 to 17 years old,Secondary and post-secondary non-tertiary education (intermediate)
2021,,5.2,KGZ,Female,15 to 17 years old,Secondary and post-secondary non-tertiary education (intermediate)
2010,,12.5,KGZ,Male,15 to 17 years old,Secondary and post-secondary non-tertiary education (intermediate)
2013,,12.6,KGZ,Male,15 to 17 years old,Secondary and post-secondary non-tertiary education (intermediate)
2014,,12.9,KGZ,Male,15 to 17 years old,Secondary and post-secondary non-tertiary education (intermediate)
2015,,13.1,KGZ,Male,15 to 17 years old,Secondary and post-secondary non-tertiary education (intermediate)
2016,,14.3,KGZ,Male,15 to 17 years old,Secondary and post-secondary non-tertiary education (intermediate)
2017,,14.7,KGZ,Male,15 to 17 years old,Secondary and post-secondary non-tertiary education (intermediate)
2018,,13.9,KGZ,Male,15 to 17 years old,Secondary and post-secondary non-tertiary education (intermediate)
2019,,13.1,KGZ,Male,15 to 17 years old,Secondary and post-secondary non-tertiary education (intermediate)
2020,,13.5,KGZ,Male,15 to 17 years old,Secondary and post-secondary non-tertiary education (intermediate)
2021,,16.2,KGZ,Male,15 to 17 years old,Secondary and post-secondary non-tertiary education (intermediate)
2010,,13.6,KGZ,,17 to 20 years old,Short-cycle tertiary education
2013,,20.3,KGZ,,17 to 20 years old,Short-cycle tertiary education
2014,,21.8,KGZ,,17 to 20 years old,Short-cycle tertiary education
2015,,21.1,KGZ,,17 to 20 years old,Short-cycle tertiary education
2016,,22.0,KGZ,,17 to 20 years old,Short-cycle tertiary education
2017,,22.8,KGZ,,17 to 20 years old,Short-cycle tertiary education
2018,,23.1,KGZ,,17 to 20 years old,Short-cycle tertiary education
2019,,23.4,KGZ,,17 to 20 years old,Short-cycle tertiary education
2020,,24.3,KGZ,,17 to 20 years old,Short-cycle tertiary education
2021,,24.2,KGZ,,17 to 20 years old,Short-cycle tertiary education
2010,,16.0,KGZ,Female,17 to 20 years old,Short-cycle tertiary education
2013,,23.8,KGZ,Female,17 to 20 years old,Short-cycle tertiary education
2014,,24.3,KGZ,Female,17 to 20 years old,Short-cycle tertiary education
2015,,24.2,KGZ,Female,17 to 20 years old,Short-cycle tertiary education
2016,,25.2,KGZ,Female,17 to 20 years old,Short-cycle tertiary education
2017,,26.4,KGZ,Female,17 to 20 years old,Short-cycle tertiary education
2018,,26.4,KGZ,Female,17 to 20 years old,Short-cycle tertiary education
2019,,26.8,KGZ,Female,17 to 20 years old,Short-cycle tertiary education
2020,,27.8,KGZ,Female,17 to 20 years old,Short-cycle tertiary education
2021,,27.6,KGZ,Female,17 to 20 years old,Short-cycle tertiary education
2010,,11.2,KGZ,Male,17 to 20 years old,Short-cycle tertiary education
2013,,16.8,KGZ,Male,17 to 20 years old,Short-cycle tertiary education
2014,,18.0,KGZ,Male,17 to 20 years old,Short-cycle tertiary education
2015,,18.0,KGZ,Male,17 to 20 years old,Short-cycle tertiary education
2016,,18.8,KGZ,Male,17 to 20 years old,Short-cycle tertiary education
2017,,19.3,KGZ,Male,17 to 20 years old,Short-cycle tertiary education
2018,,19.9,KGZ,Male,17 to 20 years old,Short-cycle tertiary education
2019,,20.1,KGZ,Male,17 to 20 years old,Short-cycle tertiary education
2020,,20.9,KGZ,Male,17 to 20 years old,Short-cycle tertiary education
2021,,20.9,KGZ,Male,17 to 20 years old,Short-cycle tertiary education
2010,,24.3,KGZ,,17 to 24 years old,Tertiary education (Bachelor’s and Master's or equivalent)
2013,,24.3,KGZ,,17 to 24 years old,Tertiary education (Bachelor’s and Master's or equivalent)
2014,,23.8,KGZ,,17 to 24 years old,Tertiary education (Bachelor’s and Master's or equivalent)
2015,,22.6,KGZ,,17 to 24 years old,Tertiary education (Bachelor’s and Master's or equivalent)
2016,,20.2,KGZ,,17 to 24 years old,Tertiary education (Bachelor’s and Master's or equivalent)
2017,,19.1,KGZ,,17 to 24 years old,Tertiary education (Bachelor’s and Master's or equivalent)
2018,,19.8,KGZ,,17 to 24 years old,Tertiary education (Bachelor’s and Master's or equivalent)
2019,,22.6,KGZ,,17 to 24 years old,Tertiary education (Bachelor’s and Master's or equivalent)
2020,,26.7,KGZ,,17 to 24 years old,Tertiary education (Bachelor’s and Master's or equivalent)
2021,,28.5,KGZ,,17 to 24 years old,Tertiary education (Bachelor’s and Master's or equivalent)
2010,,26.3,KGZ,Female,17 to 24 years old,Tertiary education (Bachelor’s and Master's or equivalent)
