Year,UNIT_MEASURE,SERIES,Value,M49_country_code,Reference area,GeoCode,unique_id,col_caption_name,col_caption_name1_empty,year,value
2010.0,Percent,,98.1,KAZ,,,,,,,
2010.0,Percent,DTP Coverage (3 doses),98.9,KAZ,,,,,,,
2010.0,Percent,Measles vaccine coverage (2 doses),99.6,KAZ,,,,,,,
2011.0,Percent,,97.1,KAZ,,,,,,,
2011.0,Percent,DTP Coverage (3 doses),98.6,KAZ,,,,,,,
2011.0,Percent,Measles vaccine coverage (2 doses),100.0,KAZ,,,,,,,
2012.0,Percent,,97.2,KAZ,,,,,,,
2012.0,Percent,DTP Coverage (3 doses),98.1,KAZ,,,,,,,
2012.0,Percent,Measles vaccine coverage (2 doses),97.0,KAZ,,,,,,,
2012.0,Percent,Pneumococcal Conjugate Vaccine Coverage (3 doses),38.5,KAZ,,,,,,,
2013.0,Percent,,97.9,KAZ,,,,,,,
2013.0,Percent,DTP Coverage (3 doses),98.1,KAZ,,,,,,,
2013.0,Percent,Measles vaccine coverage (2 doses),99.3,KAZ,,,,,,,
2013.0,Percent,Pneumococcal Conjugate Vaccine Coverage (3 doses),51.8,KAZ,,,,,,,
2014.0,Percent,,98.4,KAZ,,,,,,,
2014.0,Percent,DTP Coverage (3 doses),98.5,KAZ,,,,,,,
2014.0,Percent,Measles vaccine coverage (2 doses),99.2,KAZ,,,,,,,
2014.0,Percent,Pneumococcal Conjugate Vaccine Coverage (3 doses),58.5,KAZ,,,,,,,
2015.0,Percent,,98.2,KAZ,,,,,,,
2015.0,Percent,DTP Coverage (3 doses),97.9,KAZ,,,,,,,
2015.0,Percent,Measles vaccine coverage (2 doses),98.4,KAZ,,,,,,,
2015.0,Percent,Pneumococcal Conjugate Vaccine Coverage (3 doses),73.7,KAZ,,,,,,,
2016.0,Percent,,95.0,KAZ,,,,,,,
2016.0,Percent,DTP Coverage (3 doses),82.5,KAZ,,,,,,,
2016.0,Percent,Measles vaccine coverage (2 doses),99.3,KAZ,,,,,,,
2016.0,Percent,Pneumococcal Conjugate Vaccine Coverage (3 doses),97.3,KAZ,,,,,,,
2017.0,Percent,,96.9,KAZ,,,,,,,
