Year,UNIT_MEASURE,COMPOSITE_BREAKDOWN,Value,M49_country_code
2010,million US dollars,Kazakhstan as beneficiary,20.59,KAZ
2011,million US dollars,Kazakhstan as beneficiary,4.32,KAZ
2012,million US dollars,Kazakhstan as beneficiary,0.91,KAZ
2013,million US dollars,Kazakhstan as beneficiary,0.18,KAZ
2013,million US dollars,Kazakhstan as donor,0.004,KAZ
2014,million US dollars,Kazakhstan as beneficiary,0.02,KAZ
2014,million US dollars,Kazakhstan as donor,0.007,KAZ
2015,million US dollars,Kazakhstan as beneficiary,0.18,KAZ
2015,million US dollars,Kazakhstan as donor,0.008,KAZ
2016,million US dollars,Kazakhstan as beneficiary,0.24,KAZ
2016,million US dollars,Kazakhstan as donor,0.011,KAZ
2017,million US dollars,Kazakhstan as beneficiary,0.77,KAZ
2017,million US dollars,Kazakhstan as donor,0.003,KAZ
2018,million US dollars,Kazakhstan as beneficiary,0.74,KAZ
2018,million US dollars,Kazakhstan as donor,0.012,KAZ
