Year,UNIT_MEASURE,Regions,Value,M49_country_code,unique_id,col_caption_name,year,value
2010.0,thousand of tenge,,428.8,KAZ,,,,
2010.0,thousand of tenge,Akmola,499.9,KAZ,,,,
2010.0,thousand of tenge,Aktobe,478.3,KAZ,,,,
2010.0,thousand of tenge,Almaty,387.2,KAZ,,,,
2010.0,thousand of tenge,Atyrau,866.7,KAZ,,,,
2010.0,thousand of tenge,Batys Kazakhstan,345.9,KAZ,,,,
2010.0,thousand of tenge,Zhambyl,233.6,KAZ,,,,
2010.0,thousand of tenge,Karagandy,463.5,KAZ,,,,
2010.0,thousand of tenge,Kostanay,712.3,KAZ,,,,
2010.0,thousand of tenge,Kyzylorda,656.3,KAZ,,,,
2010.0,thousand of tenge,Mangistau,691.7,KAZ,,,,
2010.0,thousand of tenge,Ontustik Kazakhstan,241.1,KAZ,,,,
2010.0,thousand of tenge,Pavlodar,473.6,KAZ,,,,
2010.0,thousand of tenge,Soltustik Kazakhstan,630.8,KAZ,,,,
2010.0,thousand of tenge,Shygys Kazakhstan,462.6,KAZ,,,,
2010.0,thousand of tenge,Nur-Sultan city,453.7,KAZ,,,,
2010.0,thousand of tenge,Almaty city,250.6,KAZ,,,,
2011.0,thousand of tenge,,641.6,KAZ,,,,
2011.0,thousand of tenge,Akmola,1146.2,KAZ,,,,
2011.0,thousand of tenge,Aktobe,847.3,KAZ,,,,
2011.0,thousand of tenge,Almaty,431.0,KAZ,,,,
2011.0,thousand of tenge,Atyrau,1172.5,KAZ,,,,
2011.0,thousand of tenge,Batys Kazakhstan,487.3,KAZ,,,,
2011.0,thousand of tenge,Zhambyl,314.5,KAZ,,,,
2011.0,thousand of tenge,Karagandy,594.5,KAZ,,,,
2011.0,thousand of tenge,Kostanay,1214.0,KAZ,,,,
2011.0,thousand of tenge,Kyzylorda,646.7,KAZ,,,,
2011.0,thousand of tenge,Mangistau,1184.2,KAZ,,,,
2011.0,thousand of tenge,Ontustik Kazakhstan,306.5,KAZ,,,,
2011.0,thousand of tenge,Pavlodar,605.0,KAZ,,,,
2011.0,thousand of tenge,Soltustik Kazakhstan,1337.1,KAZ,,,,
2011.0,thousand of tenge,Shygys Kazakhstan,562.7,KAZ,,,,
2011.0,thousand of tenge,Nur-Sultan city,1145.3,KAZ,,,,
2011.0,thousand of tenge,Almaty city,363.7,KAZ,,,,
2012.0,thousand of tenge,,612.2,KAZ,,,,
2012.0,thousand of tenge,Akmola,682.4,KAZ,,,,
2012.0,thousand of tenge,Aktobe,1035.1,KAZ,,,,
2012.0,thousand of tenge,Almaty,444.3,KAZ,,,,
2012.0,thousand of tenge,Atyrau,2271.6,KAZ,,,,
