Year,UNIT_MEASURE,Area,Sex,Regions,Value,M49_country_code,Reference area,Age,Degree of urbanisation,GeoCode,unique_id,col_caption_name,col_caption_name1_empty,year,value
2014.0,Percent,,,Shygys Kazakhstan,2.5,KAZ,,,,,,,,,
2014.0,Percent,,,Nur-Sultan city,0.4,KAZ,,,,,,,,,
2014.0,Percent,,,Almaty city,0.6,KAZ,,,,,,,,,
2014.0,Percent,,,Shymkent city,1.0,KAZ,,,,,,,,,
2015.0,Percent,,,,2.6,KAZ,,,,,,,,,
2015.0,Percent,urban,,,1.3,KAZ,,,,,,,,,
2015.0,Percent,rural,,,4.4,KAZ,,,,,,,,,
2015.0,Percent,,Male,,2.7,KAZ,,,,,,,,,
2015.0,Percent,,Female,,2.6,KAZ,,,,,,,,,
2015.0,Percent,,,Akmola,2.9,KAZ,,,,,,,,,
2015.0,Percent,,,Aktobe,1.7,KAZ,,,,,,,,,
2015.0,Percent,,,Almaty,2.3,KAZ,,,,,,,,,
2015.0,Percent,,,Atyrau,2.8,KAZ,,,,,,,,,
2015.0,Percent,,,Batys Kazakhstan,3.1,KAZ,,,,,,,,,
2015.0,Percent,,,Zhambyl,3.2,KAZ,,,,,,,,,
2015.0,Percent,,,Karagandy,1.5,KAZ,,,,,,,,,
2015.0,Percent,,,Kostanay,2.7,KAZ,,,,,,,,,
2015.0,Percent,,,Kyzylorda,3.5,KAZ,,,,,,,,,
2015.0,Percent,,,Mangistau,2.6,KAZ,,,,,,,,,
2015.0,Percent,,,Ontustik Kazakhstan,5.3,KAZ,,,,,,,,,
2015.0,Percent,,,Pavlodar,1.6,KAZ,,,,,,,,,
2015.0,Percent,,,Soltustik Kazakhstan,3.7,KAZ,,,,,,,,,
2015.0,Percent,,,Turkistan,6.3,KAZ,,,,,,,,,
2015.0,Percent,,,Shygys Kazakhstan,2.0,KAZ,,,,,,,,,
2015.0,Percent,,,Nur-Sultan city,0.6,KAZ,,,,,,,,,
2015.0,Percent,,,Almaty city,0.6,KAZ,,,,,,,,,
2015.0,Percent,,,Shymkent city,1.1,KAZ,,,,,,,,,
2016.0,Percent,,,,2.5,KAZ,,,,,,,,,
2016.0,Percent,urban,,,1.2,KAZ,,,,,,,,,
2016.0,Percent,rural,,,4.2,KAZ,,,,,,,,,
2016.0,Percent,,Male,,2.6,KAZ,,,,,,,,,
2016.0,Percent,,Female,,2.5,KAZ,,,,,,,,,
2016.0,Percent,,,Akmola,3.0,KAZ,,,,,,,,,
2016.0,Percent,,,Aktobe,1.9,KAZ,,,,,,,,,
2016.0,Percent,,,Almaty,2.2,KAZ,,,,,,,,,
2016.0,Percent,,,Atyrau,3.1,KAZ,,,,,,,,,
2016.0,Percent,,,Batys Kazakhstan,2.8,KAZ,,,,,,,,,
2016.0,Percent,,,Zhambyl,3.3,KAZ,,,,,,,,,
2016.0,Percent,,,Karagandy,1.3,KAZ,,,,,,,,,
2016.0,Percent,,,Kostanay,2.6,KAZ,,,,,,,,,
2016.0,Percent,,,Kyzylorda,3.1,KAZ,,,,,,,,,
2016.0,Percent,,,Mangistau,2.8,KAZ,,,,,,,,,
2016.0,Percent,,,Ontustik Kazakhstan,5.1,KAZ,,,,,,,,,
2016.0,Percent,,,Pavlodar,1.9,KAZ,,,,,,,,,
2016.0,Percent,,,Soltustik Kazakhstan,3.4,KAZ,,,,,,,,,
2016.0,Percent,,,Turkistan,5.7,KAZ,,,,,,,,,
2016.0,Percent,,,Shygys Kazakhstan,1.8,KAZ,,,,,,,,,
2016.0,Percent,,,Nur-Sultan city,0.7,KAZ,,,,,,,,,
2016.0,Percent,,,Almaty city,0.8,KAZ,,,,,,,,,
2016.0,Percent,,,Shymkent city,0.5,KAZ,,,,,,,,,
2017.0,Percent,,,,2.7,KAZ,,,,,,,,,
2017.0,Percent,urban,,,1.2,KAZ,,,,,,,,,
2017.0,Percent,rural,,,4.6,KAZ,,,,,,,,,
2017.0,Percent,,Male,,2.7,KAZ,,,,,,,,,
2017.0,Percent,,Female,,2.6,KAZ,,,,,,,,,
2017.0,Percent,,,Akmola,2.9,KAZ,,,,,,,,,
2017.0,Percent,,,Aktobe,1.9,KAZ,,,,,,,,,
2017.0,Percent,,,Almaty,2.4,KAZ,,,,,,,,,
2017.0,Percent,,,Atyrau,2.8,KAZ,,,,,,,,,
2017.0,Percent,,,Batys Kazakhstan,2.7,KAZ,,,,,,,,,
2017.0,Percent,,,Zhambyl,3.5,KAZ,,,,,,,,,
2017.0,Percent,,,Karagandy,1.6,KAZ,,,,,,,,,
2017.0,Percent,,,Kostanay,2.4,KAZ,,,,,,,,,
2017.0,Percent,,,Kyzylorda,3.0,KAZ,,,,,,,,,
2017.0,Percent,,,Mangistau,3.3,KAZ,,,,,,,,,
2017.0,Percent,,,Ontustik Kazakhstan,5.0,KAZ,,,,,,,,,
2017.0,Percent,,,Pavlodar,1.7,KAZ,,,,,,,,,
2017.0,Percent,,,Soltustik Kazakhstan,3.3,KAZ,,,,,,,,,
2017.0,Percent,,,Turkistan,6.6,KAZ,,,,,,,,,
2017.0,Percent,,,Shygys Kazakhstan,1.8,KAZ,,,,,,,,,
2017.0,Percent,,,Nur-Sultan city,0.8,KAZ,,,,,,,,,
2017.0,Percent,,,Almaty city,1.0,KAZ,,,,,,,,,
2017.0,Percent,,,Shymkent city,0.2,KAZ,,,,,,,,,
2018.0,Percent,,,,4.3,KAZ,,,,,,,,,
2018.0,Percent,urban,,,2.5,KAZ,,,,,,,,,
2018.0,Percent,rural,,,6.7,KAZ,,,,,,,,,
2018.0,Percent,,Male,,4.4,KAZ,,,,,,,,,
2018.0,Percent,,Female,,4.2,KAZ,,,,,,,,,
2018.0,Percent,,,Akmola,4.2,KAZ,,,,,,,,,
2018.0,Percent,,,Aktobe,2.9,KAZ,,,,,,,,,
2018.0,Percent,,,Almaty,3.7,KAZ,,,,,,,,,
2018.0,Percent,,,Atyrau,2.5,KAZ,,,,,,,,,
2018.0,Percent,,,Batys Kazakhstan,3.2,KAZ,,,,,,,,,
2018.0,Percent,,,Zhambyl,4.6,KAZ,,,,,,,,,
2018.0,Percent,,,Karagandy,2.3,KAZ,,,,,,,,,
2018.0,Percent,,,Kostanay,4.1,KAZ,,,,,,,,,
2018.0,Percent,,,Kyzylorda,4.9,KAZ,,,,,,,,,
2018.0,Percent,,,Mangistau,4.9,KAZ,,,,,,,,,
2018.0,Percent,,,Pavlodar,3.1,KAZ,,,,,,,,,
2018.0,Percent,,,Soltustik Kazakhstan,4.7,KAZ,,,,,,,,,
2018.0,Percent,,,Turkistan,10.6,KAZ,,,,,,,,,
2018.0,Percent,,,Shygys Kazakhstan,6.3,KAZ,,,,,,,,,
2018.0,Percent,,,Nur-Sultan city,0.9,KAZ,,,,,,,,,
2018.0,Percent,,,Almaty city,2.8,KAZ,,,,,,,,,
2018.0,Percent,,,Shymkent city,2.5,KAZ,,,,,,,,,
2019.0,Percent,,,,4.3,KAZ,,,,,,,,,
2019.0,Percent,urban,,,2.7,KAZ,,,,,,,,,
2019.0,Percent,rural,,,6.6,KAZ,,,,,,,,,
2019.0,Percent,,Male,,4.5,KAZ,,,,,,,,,
2019.0,Percent,,Female,,4.2,KAZ,,,,,,,,,
2019.0,Percent,,,Akmola,4.3,KAZ,,,,,,,,,
2019.0,Percent,,,Aktobe,3.0,KAZ,,,,,,,,,
2019.0,Percent,,,Almaty,2.9,KAZ,,,,,,,,,
2019.0,Percent,,,Atyrau,2.5,KAZ,,,,,,,,,
2019.0,Percent,,,Batys Kazakhstan,3.7,KAZ,,,,,,,,,
2019.0,Percent,,,Zhambyl,4.8,KAZ,,,,,,,,,
2019.0,Percent,,,Karagandy,2.5,KAZ,,,,,,,,,
2019.0,Percent,,,Kostanay,3.4,KAZ,,,,,,,,,
2019.0,Percent,,,Kyzylorda,4.9,KAZ,,,,,,,,,
2019.0,Percent,,,Mangistau,4.3,KAZ,,,,,,,,,
2019.0,Percent,,,Pavlodar,3.8,KAZ,,,,,,,,,
2019.0,Percent,,,Soltustik Kazakhstan,5.6,KAZ,,,,,,,,,
2019.0,Percent,,,Turkistan,10.8,KAZ,,,,,,,,,
2019.0,Percent,,,Shygys Kazakhstan,6.2,KAZ,,,,,,,,,
2019.0,Percent,,,Nur-Sultan city,1.1,KAZ,,,,,,,,,
2019.0,Percent,,,Almaty city,2.8,KAZ,,,,,,,,,
2019.0,Percent,,,Shymkent city,2.8,KAZ,,,,,,,,,
2020.0,Percent,,,,5.3,KAZ,,,,,,,,,
2020.0,Percent,urban,,,3.7,KAZ,,,,,,,,,
2020.0,Percent,rural,,,7.6,KAZ,,,,,,,,,
2020.0,Percent,,Male,,5.6,KAZ,,,,,,,,,
2020.0,Percent,,Female,,5.1,KAZ,,,,,,,,,
2020.0,Percent,,,Akmola,5.9,KAZ,,,,,,,,,
2020.0,Percent,,,Aktobe,3.5,KAZ,,,,,,,,,
2020.0,Percent,,,Almaty,4.0,KAZ,,,,,,,,,
2020.0,Percent,,,Atyrau,3.0,KAZ,,,,,,,,,
2020.0,Percent,,,Batys Kazakhstan,3.9,KAZ,,,,,,,,,
2020.0,Percent,,,Zhambyl,5.8,KAZ,,,,,,,,,
2020.0,Percent,,,Karagandy,3.0,KAZ,,,,,,,,,
2020.0,Percent,,,Kostanay,3.5,KAZ,,,,,,,,,
2020.0,Percent,,,Kyzylorda,5.8,KAZ,,,,,,,,,
2020.0,Percent,,,Mangistau,5.7,KAZ,,,,,,,,,
2020.0,Percent,,,Pavlodar,3.9,KAZ,,,,,,,,,
2020.0,Percent,,,Soltustik Kazakhstan,6.7,KAZ,,,,,,,,,
2020.0,Percent,,,Turkistan,12.2,KAZ,,,,,,,,,
2020.0,Percent,,,Shygys Kazakhstan,6.5,KAZ,,,,,,,,,
2020.0,Percent,,,Nur-Sultan city,1.5,KAZ,,,,,,,,,
2020.0,Percent,,,Almaty city,4.9,KAZ,,,,,,,,,
2020.0,Percent,,,Shymkent city,5.0,KAZ,,,,,,,,,
2021.0,Percent,,,,5.2,KAZ,,,,,,,,,
2021.0,Percent,urban,,,3.8,KAZ,,,,,,,,,
2021.0,Percent,rural,,,7.2,KAZ,,,,,,,,,
2021.0,Percent,,Male,,5.5,KAZ,,,,,,,,,
2021.0,Percent,,Female,,4.9,KAZ,,,,,,,,,
2021.0,Percent,,,Akmola,6.4,KAZ,,,,,,,,,
2021.0,Percent,,,Aktobe,3.7,KAZ,,,,,,,,,
2021.0,Percent,,,Almaty,4.2,KAZ,,,,,,,,,
2021.0,Percent,,,Atyrau,3.3,KAZ,,,,,,,,,
2021.0,Percent,,,Batys Kazakhstan,4.4,KAZ,,,,,,,,,
2021.0,Percent,,,Zhambyl,5.3,KAZ,,,,,,,,,
2021.0,Percent,,,Karagandy,3.2,KAZ,,,,,,,,,
2021.0,Percent,,,Kostanay,3.4,KAZ,,,,,,,,,
2021.0,Percent,,,Kyzylorda,5.5,KAZ,,,,,,,,,
2021.0,Percent,,,Mangistau,8.6,KAZ,,,,,,,,,
2021.0,Percent,,,Pavlodar,3.9,KAZ,,,,,,,,,
2021.0,Percent,,,Soltustik Kazakhstan,5.5,KAZ,,,,,,,,,
2021.0,Percent,,,Turkistan,9.8,KAZ,,,,,,,,,
2021.0,Percent,,,Shygys Kazakhstan,5.5,KAZ,,,,,,,,,
2021.0,Percent,,,Nur-Sultan city,2.2,KAZ,,,,,,,,,
2021.0,Percent,,,Almaty city,5.2,KAZ,,,,,,,,,
2021.0,Percent,,,Shymkent city,5.5,KAZ,,,,,,,,,
2007.0,,,,,35.0,KGZ,,,,,,,,,
2008.0,,,,,31.7,KGZ,,,,,,,,,
2009.0,,,,,31.7,KGZ,,,,,,,,,
2010.0,,,,,33.7,KGZ,,,,,,,,,
2011.0,,,,,36.8,KGZ,,,,,,,,,
2012.0,,,,,38.0,KGZ,,,,,,,,,
2013.0,,,,,37.0,KGZ,,,,,,,,,
2014.0,,,,,30.6,KGZ,,,,,,,,,
2015.0,,,,,32.1,KGZ,,,,,,,,,
2016.0,,,,,25.4,KGZ,,,,,,,,,
2017.0,,,,,25.6,KGZ,,,,,,,,,
2018.0,,,,,22.4,KGZ,,,,,,,,,
2019.0,,,,,20.124198,KGZ,,,,,,,,,
2020.0,,,,,25.3,KGZ,,,,,,,,,
2021.0,,,,,33.262233,KGZ,,,,,,,,,
2007.0,,,Female,,34.7,KGZ,,,,,,,,,
2008.0,,,Female,,31.4,KGZ,,,,,,,,,
2009.0,,,Female,,30.7,KGZ,,,,,,,,,
2010.0,,,Female,,32.7,KGZ,,,,,,,,,
2011.0,,,Female,,36.1,KGZ,,,,,,,,,
2012.0,,,Female,,37.2,KGZ,,,,,,,,,
2013.0,,,Female,,36.5,KGZ,,,,,,,,,
2014.0,,,Female,,29.7,KGZ,,,,,,,,,
2015.0,,,Female,,31.5,KGZ,,,,,,,,,
2016.0,,,Female,,25.0,KGZ,,,,,,,,,
2017.0,,,Female,,25.0,KGZ,,,,,,,,,
2018.0,,,Female,,22.5,KGZ,,,,,,,,,
2019.0,,,Female,,20.078519,KGZ,,,,,,,,,
2020.0,,,Female,,25.3,KGZ,,,,,,,,,
2021.0,,,Female,,33.107334,KGZ,,,,,,,,,
2007.0,,,Male,,35.4,KGZ,,,,,,,,,
2008.0,,,Male,,32.1,KGZ,,,,,,,,,
2009.0,,,Male,,32.9,KGZ,,,,,,,,,
2010.0,,,Male,,34.8,KGZ,,,,,,,,,
2011.0,,,Male,,37.6,KGZ,,,,,,,,,
2012.0,,,Male,,39.0,KGZ,,,,,,,,,
2013.0,,,Male,,37.5,KGZ,,,,,,,,,
2014.0,,,Male,,31.5,KGZ,,,,,,,,,
2015.0,,,Male,,32.7,KGZ,,,,,,,,,
2016.0,,,Male,,25.7,KGZ,,,,,,,,,
2017.0,,,Male,,26.3,KGZ,,,,,,,,,
2018.0,,,Male,,22.2,KGZ,,,,,,,,,
2019.0,,,Male,,20.175708,KGZ,,,,,,,,,
2020.0,,,Male,,25.3,KGZ,,,,,,,,,
2021.0,,,Male,,33.434792,KGZ,,,,,,,,,
2010.0,,,,,23.6,KGZ,,,Urban,,,,,,
2014.0,,,,,26.9,KGZ,,,Urban,,,,,,
2015.0,,,,,29.3,KGZ,,,Urban,,,,,,
2016.0,,,,,18.6,KGZ,,,Urban,,,,,,
2017.0,,,,,20.4,KGZ,,,Urban,,,,,,
2018.0,,,,,20.1,KGZ,,,Urban,,,,,,
2019.0,,,,,14.7,KGZ,,,Urban,,,,,,
2020.0,,,,,18.3,KGZ,,,Urban,,,,,,
2021.0,,,,,33.257744,KGZ,,,Urban,,,,,,
2010.0,,,,,39.5,KGZ,,,Rural,,,,,,
2014.0,,,,,32.6,KGZ,,,Rural,,,,,,
2015.0,,,,,33.6,KGZ,,,Rural,,,,,,
2016.0,,,,,29.0,KGZ,,,Rural,,,,,,
2017.0,,,,,28.4,KGZ,,,Rural,,,,,,
2018.0,,,,,23.7,KGZ,,,Rural,,,,,,
2019.0,,,,,23.2,KGZ,,,Rural,,,,,,
2020.0,,,,,29.3,KGZ,,,Rural,,,,,,
2021.0,,,,,33.264901,KGZ,,,Rural,,,,,,
2013.0,,,,,45.2,KGZ,,under 17 years old,,,,,,,
2014.0,,,,,37.9,KGZ,,under 17 years old,,,,,,,
2015.0,,,,,40.5,KGZ,,under 17 years old,,,,,,,
2016.0,,,,,31.5,KGZ,,under 17 years old,,,,,,,
2017.0,,,,,32.0,KGZ,,under 17 years old,,,,,,,
2018.0,,,,,28.3,KGZ,,under 17 years old,,,,,,,
2019.0,,,,,25.7,KGZ,,under 17 years old,,,,,,,
2020.0,,,,,31.8,KGZ,,under 17 years old,,,,,,,
2021.0,,,,,40.506762,KGZ,,under 17 years old,,,,,,,
2013.0,,,,,35.6,KGZ,,14 to 28 years old,,,,,,,
2014.0,,,,,28.5,KGZ,,14 to 28 years old,,,,,,,
2015.0,,,,,29.0,KGZ,,14 to 28 years old,,,,,,,
2016.0,,,,,23.0,KGZ,,14 to 28 years old,,,,,,,
2017.0,,,,,22.9,KGZ,,14 to 28 years old,,,,,,,
2018.0,,,,,20.9,KGZ,,14 to 28 years old,,,,,,,
2019.0,,,,,16.2,KGZ,,14 to 28 years old,,,,,,,
2020.0,,,,,22.0,KGZ,,14 to 28 years old,,,,,,,
2021.0,,,,,31.172875,KGZ,,14 to 28 years old,,,,,,,
2013.0,,,,,33.3,KGZ,,"16 to 62 years old (working age population: women 16-57 years old, men 16-62 years old)",,,,,,,
2014.0,,,,,27.0,KGZ,,"16 to 62 years old (working age population: women 16-57 years old, men 16-62 years old)",,,,,,,
2015.0,,,,,27.9,KGZ,,"16 to 62 years old (working age population: women 16-57 years old, men 16-62 years old)",,,,,,,
2016.0,,,,,21.8,KGZ,,"16 to 62 years old (working age population: women 16-57 years old, men 16-62 years old)",,,,,,,
2017.0,,,,,22.0,KGZ,,"16 to 62 years old (working age population: women 16-57 years old, men 16-62 years old)",,,,,,,
2018.0,,,,,19.3,KGZ,,"16 to 62 years old (working age population: women 16-57 years old, men 16-62 years old)",,,,,,,
2019.0,,,,,17.117237,KGZ,,"16 to 62 years old (working age population: women 16-57 years old, men 16-62 years old)",,,,,,,
2020.0,,,,,21.7,KGZ,,"16 to 62 years old (working age population: women 16-57 years old, men 16-62 years old)",,,,,,,
2021.0,,,,,29.650855,KGZ,,"16 to 62 years old (working age population: women 16-57 years old, men 16-62 years old)",,,,,,,
2013.0,,,,,25.2,KGZ,,"58 years old and over (population over working age: women 58 years and older, men 63 years and older)",,,,,,,
2014.0,,,,,21.3,KGZ,,"58 years old and over (population over working age: women 58 years and older, men 63 years and older)",,,,,,,
2015.0,,,,,21.8,KGZ,,"58 years old and over (population over working age: women 58 years and older, men 63 years and older)",,,,,,,
2016.0,,,,,19.9,KGZ,,"58 years old and over (population over working age: women 58 years and older, men 63 years and older)",,,,,,,
2017.0,,,,,18.9,KGZ,,"58 years old and over (population over working age: women 58 years and older, men 63 years and older)",,,,,,,
2018.0,,,,,14.8,KGZ,,"58 years old and over (population over working age: women 58 years and older, men 63 years and older)",,,,,,,
2019.0,,,,,13.285424,KGZ,,"58 years old and over (population over working age: women 58 years and older, men 63 years and older)",,,,,,,
2020.0,,,,,17.8,KGZ,,"58 years old and over (population over working age: women 58 years and older, men 63 years and older)",,,,,,,
2021.0,,,,,24.097659,KGZ,,"58 years old and over (population over working age: women 58 years and older, men 63 years and older)",,,,,,,
2007.0,,,,,40.40248,KGZ,Batken,,,KG05,,,,,
2008.0,,,,,20.74156,KGZ,Batken,,,KG05,,,,,
2009.0,,,,,31.472533,KGZ,Batken,,,KG05,,,,,
2010.0,,,,,33.595652,KGZ,Batken,,,KG05,,,,,
2011.0,,,,,35.637925,KGZ,Batken,,,KG05,,,,,
2012.0,,,,,34.23528,KGZ,Batken,,,KG05,,,,,
2013.0,,,,,53.85581,KGZ,Batken,,,KG05,,,,,
2014.0,,,,,40.719692,KGZ,Batken,,,KG05,,,,,
2015.0,,,,,41.156483,KGZ,Batken,,,KG05,,,,,
2016.0,,,,,37.049867,KGZ,Batken,,,KG05,,,,,
2017.0,,,,,40.51893,KGZ,Batken,,,KG05,,,,,
2018.0,,,,,33.773947,KGZ,Batken,,,KG05,,,,,
2019.0,,,,,32.600278,KGZ,Batken,,,KG05,,,,,
2020.0,,,,,34.7,KGZ,Batken,,,KG05,,,,,
2021.0,,,,,40.671538,KGZ,Batken,,,KG05,,,,,
2007.0,,,Female,,41.298197,KGZ,Batken,,,KG05,,,,,
2008.0,,,Female,,22.400607,KGZ,Batken,,,KG05,,,,,
2009.0,,,Female,,31.273921,KGZ,Batken,,,KG05,,,,,
2010.0,,,Female,,31.928278,KGZ,Batken,,,KG05,,,,,
2011.0,,,Female,,34.181401,KGZ,Batken,,,KG05,,,,,
2012.0,,,Female,,34.639723,KGZ,Batken,,,KG05,,,,,
2013.0,,,Female,,53.627067,KGZ,Batken,,,KG05,,,,,
2014.0,,,Female,,39.011011,KGZ,Batken,,,KG05,,,,,
2015.0,,,Female,,40.926454,KGZ,Batken,,,KG05,,,,,
2016.0,,,Female,,36.116547,KGZ,Batken,,,KG05,,,,,
2017.0,,,Female,,39.60454,KGZ,Batken,,,KG05,,,,,
2018.0,,,Female,,33.671054,KGZ,Batken,,,KG05,,,,,
