Year,Regions,Value,M49_country_code,unique_id,col_caption_name,col_caption_name1_empty,year,value
2010.0,,666.0,KAZ,,,,,
2010.0,Akmola,403.0,KAZ,,,,,
2010.0,Aktobe,151.0,KAZ,,,,,
2010.0,Almaty,216.0,KAZ,,,,,
2010.0,Atyrau,741.0,KAZ,,,,,
2010.0,Batys Kazakhstan,488.0,KAZ,,,,,
2010.0,Zhambyl,183.0,KAZ,,,,,
2010.0,Karagandy,482.0,KAZ,,,,,
2010.0,Kostanay,231.0,KAZ,,,,,
2010.0,Kyzylorda,78.0,KAZ,,,,,
2010.0,Mangistau,728.0,KAZ,,,,,
2010.0,Ontustik Kazakhstan,113.0,KAZ,,,,,
2010.0,Pavlodar,169.0,KAZ,,,,,
2010.0,Soltustik Kazakhstan,123.0,KAZ,,,,,
2010.0,Shygys Kazakhstan,525.0,KAZ,,,,,
2010.0,Nur-Sultan city,1647.0,KAZ,,,,,
2010.0,Almaty city,3973.0,KAZ,,,,,
2011.0,,694.0,KAZ,,,,,
2011.0,Akmola,679.0,KAZ,,,,,
2011.0,Aktobe,146.0,KAZ,,,,,
2011.0,Almaty,257.0,KAZ,,,,,
2011.0,Atyrau,785.0,KAZ,,,,,
2011.0,Batys Kazakhstan,469.0,KAZ,,,,,
2011.0,Zhambyl,88.0,KAZ,,,,,
2011.0,Karagandy,409.0,KAZ,,,,,
2011.0,Kostanay,152.0,KAZ,,,,,
2011.0,Kyzylorda,79.0,KAZ,,,,,
2011.0,Mangistau,768.0,KAZ,,,,,
2011.0,Ontustik Kazakhstan,177.0,KAZ,,,,,
2011.0,Pavlodar,260.0,KAZ,,,,,
2011.0,Soltustik Kazakhstan,85.0,KAZ,,,,,
2011.0,Shygys Kazakhstan,521.0,KAZ,,,,,
2011.0,Nur-Sultan city,1714.0,KAZ,,,,,
2011.0,Almaty city,4031.0,KAZ,,,,,
2012.0,,611.0,KAZ,,,,,
2012.0,Akmola,722.0,KAZ,,,,,
2012.0,Aktobe,115.0,KAZ,,,,,
2012.0,Almaty,109.0,KAZ,,,,,
2012.0,Atyrau,739.0,KAZ,,,,,
2012.0,Batys Kazakhstan,179.0,KAZ,,,,,
2012.0,Zhambyl,156.0,KAZ,,,,,
2012.0,Karagandy,604.0,KAZ,,,,,
2012.0,Kostanay,124.0,KAZ,,,,,
2012.0,Kyzylorda,76.0,KAZ,,,,,
2012.0,Mangistau,665.0,KAZ,,,,,
2012.0,Ontustik Kazakhstan,166.0,KAZ,,,,,
2012.0,Pavlodar,231.0,KAZ,,,,,
2012.0,Soltustik Kazakhstan,206.0,KAZ,,,,,
2012.0,Shygys Kazakhstan,489.0,KAZ,,,,,
2012.0,Nur-Sultan city,3111.0,KAZ,,,,,
2012.0,Almaty city,2472.0,KAZ,,,,,
2013.0,,737.0,KAZ,,,,,
2013.0,Akmola,698.0,KAZ,,,,,
2013.0,Aktobe,162.0,KAZ,,,,,
2013.0,Almaty,211.0,KAZ,,,,,
2013.0,Atyrau,531.0,KAZ,,,,,
2013.0,Batys Kazakhstan,391.0,KAZ,,,,,
2013.0,Zhambyl,142.0,KAZ,,,,,
2013.0,Karagandy,398.0,KAZ,,,,,
2013.0,Kostanay,187.0,KAZ,,,,,
2013.0,Kyzylorda,135.0,KAZ,,,,,
2013.0,Mangistau,786.0,KAZ,,,,,
2013.0,Ontustik Kazakhstan,286.0,KAZ,,,,,
2013.0,Pavlodar,439.0,KAZ,,,,,
2013.0,Soltustik Kazakhstan,226.0,KAZ,,,,,
2013.0,Shygys Kazakhstan,604.0,KAZ,,,,,
2013.0,Nur-Sultan city,2044.0,KAZ,,,,,
2013.0,Almaty city,3703.0,KAZ,,,,,
2014.0,,799.0,KAZ,,,,,
2014.0,Akmola,462.0,KAZ,,,,,
2014.0,Aktobe,200.0,KAZ,,,,,
2014.0,Almaty,213.0,KAZ,,,,,
2014.0,Atyrau,484.0,KAZ,,,,,
2014.0,Batys Kazakhstan,159.0,KAZ,,,,,
2014.0,Zhambyl,161.0,KAZ,,,,,
2014.0,Karagandy,569.0,KAZ,,,,,
2014.0,Kostanay,200.0,KAZ,,,,,
2014.0,Kyzylorda,171.0,KAZ,,,,,
2014.0,Mangistau,782.0,KAZ,,,,,
2014.0,Ontustik Kazakhstan,245.0,KAZ,,,,,
2014.0,Pavlodar,388.0,KAZ,,,,,
