Year,UNIT_MEASURE,Area,Regions,Age,Mother's education,Wealth index quintile,Value,M49_country_code,Observation-level footnotes,Reference area,Degree of urbanisation,Income or wealth quantile,Education level,Disability status,GeoCode,unique_id,col_caption_name,col_caption_name1_empty,year,value
2010.0,Percent,,,,,,51.0,KAZ,,,,,,,,,,,,
2010.0,Percent,urban,,,,,53.9,KAZ,,,,,,,,,,,,
2010.0,Percent,rural,,,,,47.7,KAZ,,,,,,,,,,,,
2010.0,Percent,,Akmola,,,,45.5,KAZ,,,,,,,,,,,,
2010.0,Percent,,Aktobe,,,,35.7,KAZ,,,,,,,,,,,,
2010.0,Percent,,Almaty,,,,43.1,KAZ,,,,,,,,,,,,
2010.0,Percent,,Atyrau,,,,48.2,KAZ,,,,,,,,,,,,
2010.0,Percent,,Batys Kazakhstan,,,,61.9,KAZ,,,,,,,,,,,,
2010.0,Percent,,Zhambyl,,,,44.4,KAZ,,,,,,,,,,,,
2010.0,Percent,,Karagandy,,,,54.6,KAZ,,,,,,,,,,,,
2010.0,Percent,,Kostanay,,,,63.1,KAZ,,,,,,,,,,,,
2010.0,Percent,,Kyzylorda,,,,44.1,KAZ,,,,,,,,,,,,
2010.0,Percent,,Mangistau,,,,57.1,KAZ,,,,,,,,,,,,
2010.0,Percent,,Ontustik Kazakhstan,,,,43.1,KAZ,,,,,,,,,,,,
2010.0,Percent,,Pavlodar,,,,58.3,KAZ,,,,,,,,,,,,
2010.0,Percent,,Soltustik Kazakhstan,,,,60.5,KAZ,,,,,,,,,,,,
2010.0,Percent,,Shygys Kazakhstan,,,,50.2,KAZ,,,,,,,,,,,,
2010.0,Percent,,Nur-Sultan city,,,,72.7,KAZ,,,,,,,,,,,,
2010.0,Percent,,Almaty city,,,,62.6,KAZ,,,,,,,,,,,,
2010.0,Percent,,,15-19,,,19.2,KAZ,,,,,,,,,,,,
2010.0,Percent,,,20-24,,,35.3,KAZ,,,,,,,,,,,,
2010.0,Percent,,,25-29,,,52.9,KAZ,,,,,,,,,,,,
2010.0,Percent,,,30-34,,,56.8,KAZ,,,,,,,,,,,,
2010.0,Percent,,,35-39,,,61.0,KAZ,,,,,,,,,,,,
2010.0,Percent,,,40-44,,,57.0,KAZ,,,,,,,,,,,,
2010.0,Percent,,,45-49,,,39.1,KAZ,,,,,,,,,,,,
2010.0,Percent,,,,Elementary education/ High education (incomplete),,46.0,KAZ,,,,,,,,,,,,
2010.0,Percent,,,,High Education (General),,49.1,KAZ,,,,,,,,,,,,
2010.0,Percent,,,,Community College and Vocational type of Education,,51.5,KAZ,,,,,,,,,,,,
2010.0,Percent,,,,Higher education,,52.9,KAZ,,,,,,,,,,,,
2010.0,Percent,,,,,extreme poverty,45.6,KAZ,,,,,,,,,,,,
2010.0,Percent,,,,,second,46.1,KAZ,,,,,,,,,,,,
2010.0,Percent,,,,,third,50.3,KAZ,,,,,,,,,,,,
2010.0,Percent,,,,,fourth,55.7,KAZ,,,,,,,,,,,,
2010.0,Percent,,,,,wealthy,56.8,KAZ,,,,,,,,,,,,
2015.0,Percent,,,,,,55.7,KAZ,,,,,,,,,,,,
2015.0,Percent,urban,,,,,55.8,KAZ,,,,,,,,,,,,
2015.0,Percent,rural,,,,,55.6,KAZ,,,,,,,,,,,,
2015.0,Percent,,Akmola,,,,53.9,KAZ,,,,,,,,,,,,
2015.0,Percent,,Aktobe,,,,52.0,KAZ,,,,,,,,,,,,
2015.0,Percent,,Almaty,,,,62.4,KAZ,,,,,,,,,,,,
2015.0,Percent,,Atyrau,,,,48.4,KAZ,,,,,,,,,,,,
2015.0,Percent,,Batys Kazakhstan,,,,57.6,KAZ,,,,,,,,,,,,
2015.0,Percent,,Zhambyl,,,,50.6,KAZ,,,,,,,,,,,,
2015.0,Percent,,Karagandy,,,,55.4,KAZ,,,,,,,,,,,,
2015.0,Percent,,Kostanay,,,,604.0,KAZ,,,,,,,,,,,,
2015.0,Percent,,Kyzylorda,,,,54.9,KAZ,,,,,,,,,,,,
2015.0,Percent,,Mangistau,,,,37.1,KAZ,,,,,,,,,,,,
2015.0,Percent,,Ontustik Kazakhstan,,,,60.4,KAZ,,,,,,,,,,,,
2015.0,Percent,,Pavlodar,,,,45.4,KAZ,,,,,,,,,,,,
2015.0,Percent,,Soltustik Kazakhstan,,,,625.0,KAZ,,,,,,,,,,,,
2015.0,Percent,,Shygys Kazakhstan,,,,57.8,KAZ,,,,,,,,,,,,
