Year,Reference area,Sex,Age,Degree of urbanisation,Income or wealth quantile,Education level,GeoCode,Value,M49_country_code,unique_id,col_caption_name,col_caption_name1_empty,year,value
2018.0,,,,,,,,48.5,KGZ,,,,,
2019.0,,,,,,,,52.21498,KGZ,,,,,
2020.0,,,,,,,,50.7,KGZ,,,,,
2021.0,,,,,,,,53.512342,KGZ,,,,,
2018.0,,,,Urban,,,,66.0,KGZ,,,,,
2019.0,,,,Urban,,,,63.551047,KGZ,,,,,
2020.0,,,,Urban,,,,63.4,KGZ,,,,,
2021.0,,,,Urban,,,,66.871573,KGZ,,,,,
2018.0,,,,Rural,,,,38.1,KGZ,,,,,
2019.0,,,,Rural,,,,45.472134,KGZ,,,,,
2020.0,,,,Rural,,,,42.9,KGZ,,,,,
2021.0,,,,Rural,,,,45.180134,KGZ,,,,,
2018.0,,Male,,,,,,47.9,KGZ,,,,,
2019.0,,Male,,,,,,53.271701,KGZ,,,,,
2020.0,,Male,,,,,,51.2,KGZ,,,,,
2021.0,,Male,,,,,,53.93103,KGZ,,,,,
2018.0,,Female,,,,,,49.0,KGZ,,,,,
2019.0,,Female,,,,,,51.333358,KGZ,,,,,
2020.0,,Female,,,,,,50.3,KGZ,,,,,
2021.0,,Female,,,,,,53.161154,KGZ,,,,,
2018.0,Batken,,,,,,KG05,32.9,KGZ,,,,,
2019.0,Batken,,,,,,KG05,58.744301,KGZ,,,,,
2020.0,Batken,,,,,,KG05,59.3,KGZ,,,,,
2021.0,Batken,,,,,,KG05,51.771567,KGZ,,,,,
2018.0,Jalal-Abad,,,,,,KG03,18.3,KGZ,,,,,
2019.0,Jalal-Abad,,,,,,KG03,28.903645,KGZ,,,,,
2020.0,Jalal-Abad,,,,,,KG03,31.4,KGZ,,,,,
2021.0,Jalal-Abad,,,,,,KG03,32.176016,KGZ,,,,,
2018.0,Issyk-Kul,,,,,,KG02,72.5,KGZ,,,,,
2019.0,Issyk-Kul,,,,,,KG02,74.566373,KGZ,,,,,
2020.0,Issyk-Kul,,,,,,KG02,70.3,KGZ,,,,,
2021.0,Issyk-Kul,,,,,,KG02,78.366625,KGZ,,,,,
2018.0,Naryn,,,,,,KG04,39.3,KGZ,,,,,
2019.0,Naryn,,,,,,KG04,46.956365,KGZ,,,,,
2020.0,Naryn,,,,,,KG04,45.0,KGZ,,,,,
2021.0,Naryn,,,,,,KG04,71.548847,KGZ,,,,,
2018.0,Osh,,,,,,KG06,39.6,KGZ,,,,,
2019.0,Osh,,,,,,KG06,48.545801,KGZ,,,,,
2020.0,Osh,,,,,,KG06,38.5,KGZ,,,,,
2021.0,Osh,,,,,,KG06,38.31425,KGZ,,,,,
2018.0,Talas,,,,,,KG07,42.2,KGZ,,,,,
2019.0,Talas,,,,,,KG07,44.503622,KGZ,,,,,
2020.0,Talas,,,,,,KG07,47.0,KGZ,,,,,
2021.0,Talas,,,,,,KG07,45.946406,KGZ,,,,,
2018.0,Chui,,,,,,KG08,63.1,KGZ,,,,,
2019.0,Chui,,,,,,KG08,54.516309,KGZ,,,,,
2020.0,Chui,,,,,,KG08,54.6,KGZ,,,,,
2021.0,Chui,,,,,,KG08,58.463071,KGZ,,,,,
2018.0,Bishkek (city),,,,,,KG11,67.7,KGZ,,,,,
2019.0,Bishkek (city),,,,,,KG11,59.847788,KGZ,,,,,
2020.0,Bishkek (city),,,,,,KG11,61.3,KGZ,,,,,
2021.0,Bishkek (city),,,,,,KG11,67.413587,KGZ,,,,,
2018.0,Osh (city),,,,,,KG21,94.6,KGZ,,,,,
2019.0,Osh (city),,,,,,KG21,94.985632,KGZ,,,,,
2020.0,Osh (city),,,,,,KG21,93.2,KGZ,,,,,
2021.0,Osh (city),,,,,,KG21,94.661992,KGZ,,,,,
2018.0,,,15 to 28 years old,,,,,48.4,KGZ,,,,,
2019.0,,,15 to 28 years old,,,,,52.97992,KGZ,,,,,
2020.0,,,15 to 28 years old,,,,,51.0,KGZ,,,,,
2021.0,,,15 to 28 years old,,,,,52.831652,KGZ,,,,,
2018.0,,,"29 to 62 years old (working age population: women under 57 years old, men under 62 years old)",,,,,48.9,KGZ,,,,,
2019.0,,,"29 to 62 years old (working age population: women under 57 years old, men under 62 years old)",,,,,52.777792,KGZ,,,,,
2020.0,,,"29 to 62 years old (working age population: women under 57 years old, men under 62 years old)",,,,,51.5,KGZ,,,,,
