Year,Sex,COMPOSITE_BREAKDOWN,Value,M49_country_code
2005,Male,,2331,KGZ
2006,Male,,2083,KGZ
2007,Male,,2050,KGZ
2008,Male,,1833,KGZ
2009,Male,,1813,KGZ
2010,Male,,2178,KGZ
2011,Male,,2406,KGZ
2012,Male,,1920,KGZ
2013,Male,,1708,KGZ
2014,Male,,1453,KGZ
2015,Male,,1254,KGZ
2016,Male,,1469,KGZ
2017,Male,,1464,KGZ
2018,Male,,1622,KGZ
2019,Male,,1662,KGZ
2020,Male,,1570,KGZ
2021,Male,,1466,KGZ
2005,Male,Cause: material difficulty,295,KGZ
2006,Male,Cause: material difficulty,151,KGZ
2007,Male,Cause: material difficulty,154,KGZ
2008,Male,Cause: material difficulty,168,KGZ
2009,Male,Cause: material difficulty,94,KGZ
2010,Male,Cause: material difficulty,85,KGZ
2011,Male,Cause: material difficulty,226,KGZ
2012,Male,Cause: material difficulty,157,KGZ
2013,Male,Cause: material difficulty,55,KGZ
2014,Male,Cause: material difficulty,80,KGZ
2015,Male,Cause: material difficulty,80,KGZ
2016,Male,Cause: material difficulty,84,KGZ
2017,Male,Cause: material difficulty,99,KGZ
2018,Male,Cause: material difficulty,104,KGZ
2019,Male,Cause: material difficulty,152,KGZ
2020,Male,Cause: material difficulty,115,KGZ
2021,Male,Cause: material difficulty,76,KGZ
2005,Male,Cause: unwillingness of parents,86,KGZ
2006,Male,Cause: unwillingness of parents,128,KGZ
2007,Male,Cause: unwillingness of parents,116,KGZ
2008,Male,Cause: unwillingness of parents,74,KGZ
2009,Male,Cause: unwillingness of parents,55,KGZ
2010,Male,Cause: unwillingness of parents,151,KGZ
2011,Male,Cause: unwillingness of parents,72,KGZ
2012,Male,Cause: unwillingness of parents,27,KGZ
2013,Male,Cause: unwillingness of parents,32,KGZ
2014,Male,Cause: unwillingness of parents,3,KGZ
2015,Male,Cause: unwillingness of parents,16,KGZ
2016,Male,Cause: unwillingness of parents,17,KGZ
2017,Male,Cause: unwillingness of parents,24,KGZ
2018,Male,Cause: unwillingness of parents,39,KGZ
2019,Male,Cause: unwillingness of parents,4,KGZ
2020,Male,Cause: unwillingness of parents,27,KGZ
2021,Male,Cause: unwillingness of parents,15,KGZ
2013,Male,"Cause: lack of the necessary documents ( birth certificates, registration)",3,KGZ
2014,Male,"Cause: lack of the necessary documents ( birth certificates, registration)",1,KGZ
2015,Male,"Cause: lack of the necessary documents ( birth certificates, registration)",8,KGZ
2016,Male,"Cause: lack of the necessary documents ( birth certificates, registration)",3,KGZ
2018,Male,"Cause: lack of the necessary documents ( birth certificates, registration)",4,KGZ
2021,Male,"Cause: lack of the necessary documents ( birth certificates, registration)",1,KGZ
2005,Male,Cause: for domestic reasons,208,KGZ
2006,Male,Cause: for domestic reasons,140,KGZ
2007,Male,Cause: for domestic reasons,175,KGZ
2008,Male,Cause: for domestic reasons,540,KGZ
2009,Male,Cause: for domestic reasons,321,KGZ
2010,Male,Cause: for domestic reasons,287,KGZ
2011,Male,Cause: for domestic reasons,466,KGZ
2012,Male,Cause: for domestic reasons,414,KGZ
2013,Male,Cause: for domestic reasons,147,KGZ
2014,Male,Cause: for domestic reasons,359,KGZ
2015,Male,Cause: for domestic reasons,175,KGZ
2016,Male,Cause: for domestic reasons,287,KGZ
2017,Male,Cause: for domestic reasons,320,KGZ
2018,Male,Cause: for domestic reasons,400,KGZ
2019,Male,Cause: for domestic reasons,374,KGZ
2020,Male,Cause: for domestic reasons,271,KGZ
2021,Male,Cause: for domestic reasons,188,KGZ
2005,Male,Cause: no wishes to learn,222,KGZ
2006,Male,Cause: no wishes to learn,142,KGZ
2007,Male,Cause: no wishes to learn,127,KGZ
2008,Male,Cause: no wishes to learn,123,KGZ
2009,Male,Cause: no wishes to learn,124,KGZ
2010,Male,Cause: no wishes to learn,203,KGZ
2011,Male,Cause: no wishes to learn,131,KGZ
2012,Male,Cause: no wishes to learn,115,KGZ
2013,Male,Cause: no wishes to learn,69,KGZ
2014,Male,Cause: no wishes to learn,61,KGZ
2015,Male,Cause: no wishes to learn,38,KGZ
2016,Male,Cause: no wishes to learn,26,KGZ
2017,Male,Cause: no wishes to learn,29,KGZ
2018,Male,Cause: no wishes to learn,66,KGZ
2019,Male,Cause: no wishes to learn,34,KGZ
2020,Male,Cause: no wishes to learn,39,KGZ
2021,Male,Cause: no wishes to learn,22,KGZ
2005,Male,Cause: troubled families,87,KGZ
2006,Male,Cause: troubled families,65,KGZ
2007,Male,Cause: troubled families,72,KGZ
2008,Male,Cause: troubled families,64,KGZ
2009,Male,Cause: troubled families,15,KGZ
2010,Male,Cause: troubled families,27,KGZ
2011,Male,Cause: troubled families,40,KGZ
2012,Male,Cause: troubled families,23,KGZ
2013,Male,Cause: troubled families,14,KGZ
2014,Male,Cause: troubled families,7,KGZ
2015,Male,Cause: troubled families,8,KGZ
2016,Male,Cause: troubled families,8,KGZ
2017,Male,Cause: troubled families,9,KGZ
2018,Male,Cause: troubled families,12,KGZ
2019,Male,Cause: troubled families,13,KGZ
2020,Male,Cause: troubled families,8,KGZ
2021,Male,Cause: troubled families,15,KGZ
2005,Male,Cause: lack knowledge of language,11,KGZ
2006,Male,Cause: lack knowledge of language,9,KGZ
2007,Male,Cause: lack knowledge of language,1,KGZ
2008,Male,Cause: lack knowledge of language,3,KGZ
2009,Male,Cause: lack knowledge of language,16,KGZ
2010,Male,Cause: lack knowledge of language,9,KGZ
2011,Male,Cause: lack knowledge of language,4,KGZ
2012,Male,Cause: lack knowledge of language,4,KGZ
2013,Male,Cause: lack knowledge of language,6,KGZ
2018,Male,Cause: lack knowledge of language,0,KGZ
2014,Male,"Cause: married, pregnant, they became parents ( mother, father )",3,KGZ
2005,Male,Cause: working,102,KGZ
2006,Male,Cause: working,218,KGZ
2007,Male,Cause: working,204,KGZ
2008,Male,Cause: working,79,KGZ
2009,Male,Cause: working,185,KGZ
2010,Male,Cause: working,183,KGZ
2011,Male,Cause: working,211,KGZ
2012,Male,Cause: working,136,KGZ
2013,Male,Cause: working,641,KGZ
2014,Male,Cause: working,114,KGZ
2015,Male,Cause: working,89,KGZ
2016,Male,Cause: working,241,KGZ
2017,Male,Cause: working,218,KGZ
2018,Male,Cause: working,108,KGZ
2019,Male,Cause: working,121,KGZ
2020,Male,Cause: working,93,KGZ
2021,Male,Cause: working,112,KGZ
2013,Male,Cause: lack of transportation (school too far from home),2,KGZ
2014,Male,Cause: lack of transportation (school too far from home),3,KGZ
2016,Male,Cause: lack of transportation (school too far from home),2,KGZ
2018,Male,Cause: lack of transportation (school too far from home),3,KGZ
2013,Male,"Cause: Temporary seasonal work ( with / x work , grazing in the pasture )",19,KGZ
2014,Male,"Cause: Temporary seasonal work ( with / x work , grazing in the pasture )",26,KGZ
2015,Male,"Cause: Temporary seasonal work ( with / x work , grazing in the pasture )",98,KGZ
2016,Male,"Cause: Temporary seasonal work ( with / x work , grazing in the pasture )",6,KGZ
2017,Male,"Cause: Temporary seasonal work ( with / x work , grazing in the pasture )",2,KGZ
2018,Male,"Cause: Temporary seasonal work ( with / x work , grazing in the pasture )",11,KGZ
2019,Male,"Cause: Temporary seasonal work ( with / x work , grazing in the pasture )",17,KGZ
2020,Male,"Cause: Temporary seasonal work ( with / x work , grazing in the pasture )",3,KGZ
2021,Male,"Cause: Temporary seasonal work ( with / x work , grazing in the pasture )",6,KGZ
2013,Male,Cause: does not match the age of the given class,2,KGZ
2014,Male,Cause: does not match the age of the given class,5,KGZ
2015,Male,Cause: does not match the age of the given class,0,KGZ
2016,Male,Cause: does not match the age of the given class,1,KGZ
2018,Male,Cause: does not match the age of the given class,20,KGZ
2019,Male,Cause: does not match the age of the given class,6,KGZ
2020,Male,Cause: does not match the age of the given class,6,KGZ
2005,Male,Cause: because of sickness,310,KGZ
2006,Male,Cause: because of sickness,271,KGZ
2007,Male,Cause: because of sickness,301,KGZ
2008,Male,Cause: because of sickness,153,KGZ
2009,Male,Cause: because of sickness,230,KGZ
2010,Male,Cause: because of sickness,381,KGZ
2011,Male,Cause: because of sickness,297,KGZ
2012,Male,Cause: because of sickness,271,KGZ
2013,Male,Cause: because of sickness,44,KGZ
2014,Male,Cause: because of sickness,55,KGZ
2015,Male,Cause: because of sickness,24,KGZ
2016,Male,Cause: because of sickness,39,KGZ
2017,Male,Cause: because of sickness,27,KGZ
2018,Male,Cause: because of sickness,44,KGZ
2019,Male,Cause: because of sickness,35,KGZ
2020,Male,Cause: because of sickness,12,KGZ
2021,Male,Cause: because of sickness,29,KGZ
2005,Male,Cause: Children with disabilities,908,KGZ
2006,Male,Cause: Children with disabilities,812,KGZ
2007,Male,Cause: Children with disabilities,756,KGZ
2008,Male,Cause: Children with disabilities,541,KGZ
2009,Male,Cause: Children with disabilities,644,KGZ
2010,Male,Cause: Children with disabilities,611,KGZ
2011,Male,Cause: Children with disabilities,759,KGZ
2012,Male,Cause: Children with disabilities,599,KGZ
2013,Male,Cause: Children with disabilities,674,KGZ
2014,Male,Cause: Children with disabilities,736,KGZ
2015,Male,Cause: Children with disabilities,716,KGZ
2016,Male,Cause: Children with disabilities,755,KGZ
2017,Male,Cause: Children with disabilities,736,KGZ
2018,Male,Cause: Children with disabilities,811,KGZ
2019,Male,Cause: Children with disabilities,906,KGZ
2020,Male,Cause: Children with disabilities,996,KGZ
2021,Male,Cause: Children with disabilities,1002,KGZ
2005,Male,Cause: other reasons,102,KGZ
2006,Male,Cause: other reasons,147,KGZ
2007,Male,Cause: other reasons,144,KGZ
2008,Male,Cause: other reasons,88,KGZ
2009,Male,Cause: other reasons,129,KGZ
2010,Male,Cause: other reasons,241,KGZ
2011,Male,Cause: other reasons,200,KGZ
2012,Male,Cause: other reasons,174,KGZ
2005,Female,,1360,KGZ
2006,Female,,1448,KGZ
2007,Female,,1303,KGZ
2008,Female,,1122,KGZ
2009,Female,,1207,KGZ
2010,Female,,1454,KGZ
2011,Female,,1575,KGZ
2012,Female,,1265,KGZ
2013,Female,,1193,KGZ
2014,Female,,1170,KGZ
2015,Female,,972,KGZ
2016,Female,,1107,KGZ
2017,Female,,1149,KGZ
2018,Female,,1204,KGZ
2019,Female,,1172,KGZ
2020,Female,,1075,KGZ
2021,Female,,1029,KGZ
2005,Female,Cause: material difficulty,137,KGZ
2006,Female,Cause: material difficulty,120,KGZ
2007,Female,Cause: material difficulty,101,KGZ
2008,Female,Cause: material difficulty,91,KGZ
2009,Female,Cause: material difficulty,78,KGZ
2010,Female,Cause: material difficulty,61,KGZ
2011,Female,Cause: material difficulty,133,KGZ
2012,Female,Cause: material difficulty,97,KGZ
