Year,UNIT_MEASURE,Regions,Sex,Value,M49_country_code,unique_id,col_caption_name,col_caption_name1_empty,year,value
2012.0,Percent,,,6.08,KAZ,,,,,
2012.0,Percent,Akmola,,7.33,KAZ,,,,,
2012.0,Percent,Aktobe,,3.2,KAZ,,,,,
2012.0,Percent,Almaty,,10.94,KAZ,,,,,
2012.0,Percent,Atyrau,,3.11,KAZ,,,,,
2012.0,Percent,Batys Kazakhstan,,9.26,KAZ,,,,,
2012.0,Percent,Zhambyl,,3.9,KAZ,,,,,
2012.0,Percent,Karagandy,,6.72,KAZ,,,,,
2012.0,Percent,Kostanay,,12.11,KAZ,,,,,
2012.0,Percent,Kyzylorda,,2.97,KAZ,,,,,
2012.0,Percent,Mangistau,,1.18,KAZ,,,,,
2012.0,Percent,Ontustik Kazakhstan,,6.26,KAZ,,,,,
2012.0,Percent,Pavlodar,,10.56,KAZ,,,,,
2012.0,Percent,Soltustik Kazakhstan,,8.0,KAZ,,,,,
2012.0,Percent,Shygys Kazakhstan,,6.75,KAZ,,,,,
2012.0,Percent,,Male,8.99,KAZ,,,,,
2012.0,Percent,Akmola,Male,9.99,KAZ,,,,,
2012.0,Percent,Aktobe,Male,4.72,KAZ,,,,,
2012.0,Percent,Almaty,Male,16.07,KAZ,,,,,
2012.0,Percent,Atyrau,Male,4.83,KAZ,,,,,
2012.0,Percent,Batys Kazakhstan,Male,12.48,KAZ,,,,,
2012.0,Percent,Zhambyl,Male,6.08,KAZ,,,,,
2012.0,Percent,Karagandy,Male,9.56,KAZ,,,,,
2012.0,Percent,Kostanay,Male,12.13,KAZ,,,,,
2012.0,Percent,Kyzylorda,Male,5.82,KAZ,,,,,
2012.0,Percent,Mangistau,Male,2.4,KAZ,,,,,
2012.0,Percent,Ontustik Kazakhstan,Male,12.01,KAZ,,,,,
2012.0,Percent,Pavlodar,Male,16.39,KAZ,,,,,
2012.0,Percent,Soltustik Kazakhstan,Male,10.84,KAZ,,,,,
2012.0,Percent,Shygys Kazakhstan,Male,9.2,KAZ,,,,,
2012.0,Percent,,Female,3.51,KAZ,,,,,
2012.0,Percent,Akmola,Female,4.95,KAZ,,,,,
2012.0,Percent,Aktobe,Female,1.87,KAZ,,,,,
2012.0,Percent,Almaty,Female,6.19,KAZ,,,,,
2012.0,Percent,Atyrau,Female,1.54,KAZ,,,,,
2012.0,Percent,Batys Kazakhstan,Female,6.38,KAZ,,,,,
2012.0,Percent,Zhambyl,Female,1.93,KAZ,,,,,
2012.0,Percent,Karagandy,Female,4.32,KAZ,,,,,
2012.0,Percent,Kostanay,Female,12.09,KAZ,,,,,
2012.0,Percent,Kyzylorda,Female,0.2,KAZ,,,,,
2012.0,Percent,Mangistau,Female,0.03,KAZ,,,,,
2012.0,Percent,Ontustik Kazakhstan,Female,0.85,KAZ,,,,,
2012.0,Percent,Pavlodar,Female,5.65,KAZ,,,,,
2012.0,Percent,Soltustik Kazakhstan,Female,5.54,KAZ,,,,,
2012.0,Percent,Shygys Kazakhstan,Female,4.62,KAZ,,,,,
2013.0,Percent,,,6.28,KAZ,,,,,
2013.0,Percent,Akmola,,7.36,KAZ,,,,,
2013.0,Percent,Aktobe,,7.17,KAZ,,,,,
2013.0,Percent,Almaty,,11.23,KAZ,,,,,
2013.0,Percent,Atyrau,,3.09,KAZ,,,,,
2013.0,Percent,Batys Kazakhstan,,10.19,KAZ,,,,,
2013.0,Percent,Zhambyl,,3.41,KAZ,,,,,
2013.0,Percent,Karagandy,,6.71,KAZ,,,,,
2013.0,Percent,Kostanay,,12.08,KAZ,,,,,
2013.0,Percent,Kyzylorda,,2.97,KAZ,,,,,
2013.0,Percent,Mangistau,,1.24,KAZ,,,,,
2013.0,Percent,Ontustik Kazakhstan,,6.17,KAZ,,,,,
2013.0,Percent,Pavlodar,,10.49,KAZ,,,,,
2013.0,Percent,Soltustik Kazakhstan,,8.12,KAZ,,,,,
2013.0,Percent,Shygys Kazakhstan,,6.77,KAZ,,,,,
2013.0,Percent,,Male,9.21,KAZ,,,,,
2013.0,Percent,Akmola,Male,10.07,KAZ,,,,,
