Year,UNIT_MEASURE,Value,M49_country_code,Reference area,Degree of urbanisation,Income or wealth quantile,Education level,Observation-level footnotes,GeoCode
2015,Percent,42.98,KAZ,,,,,,
2016,Percent,46.35,KAZ,,,,,,
2017,Percent,47.38,KAZ,,,,,,
2018,Percent,49.68,KAZ,,,,,,
2019,Percent,51.47,KAZ,,,,,,
2020,Percent,53.07,KAZ,,,,,,
2021,Percent,57.67,KAZ,,,,,,
2018,,19.2,KGZ,,,,,,
2019,,22.213001,KGZ,,,,,,
2020,,22.1,KGZ,,,,,,
2021,,20.609252,KGZ,,,,,,
2018,,47.5,KGZ,,Urban,,,,
2019,,54.058947,KGZ,,Urban,,,,
2020,,52.7,KGZ,,Urban,,,,
2021,,49.918997,KGZ,,Urban,,,,
2018,,3.2,KGZ,,Rural,,,,
2019,,4.516183,KGZ,,Rural,,,,
2020,,5.0,KGZ,,Rural,,,,
2021,,3.234875,KGZ,,Rural,,,,
2018,,2.8,KGZ,Batken,,,,,KG05
2019,,5.864812,KGZ,Batken,,,,,KG05
2020,,4.8,KGZ,Batken,,,,,KG05
2021,,5.15599,KGZ,Batken,,,,,KG05
2018,,15.9,KGZ,Jalal-Abad,,,,,KG03
2019,,13.680777,KGZ,Jalal-Abad,,,,,KG03
2020,,15.8,KGZ,Jalal-Abad,,,,,KG03
2021,,13.633825,KGZ,Jalal-Abad,,,,,KG03
2018,,13.6,KGZ,Issyk-Kul,,,,,KG02
2019,,12.890062,KGZ,Issyk-Kul,,,,,KG02
2020,,13.5,KGZ,Issyk-Kul,,,,,KG02
2021,,11.55279,KGZ,Issyk-Kul,,,,,KG02
2018,,7.1,KGZ,Naryn,,,,,KG04
2019,,10.162158,KGZ,Naryn,,,,,KG04
2020,,9.6,KGZ,Naryn,,,,,KG04
2021,,8.857787,KGZ,Naryn,,,,,KG04
2018,,1.3,KGZ,Osh,,,,,KG06
2019,,2.770504,KGZ,Osh,,,,,KG06
2020,,2.7,KGZ,Osh,,,,,KG06
2021,,2.011959,KGZ,Osh,,,,,KG06
2018,,8.8,KGZ,Talas,,,,,KG07
2019,,17.739576,KGZ,Talas,,,,,KG07
2020,,14.7,KGZ,Talas,,,,,KG07
2021,,15.717645,KGZ,Talas,,,,,KG07
2018,,11.1,KGZ,Chui,,,,,KG08
2019,,18.259395,KGZ,Chui,,,,,KG08
2020,,18.2,KGZ,Chui,,,,,KG08
2021,,17.552937,KGZ,Chui,,,,,KG08
2018,,59.9,KGZ,Bishkek (city),,,,,KG11
2019,,74.995693,KGZ,Bishkek (city),,,,,KG11
2020,,74.0,KGZ,Bishkek (city),,,,,KG11
2021,,68.912342,KGZ,Bishkek (city),,,,,KG11
2018,,32.1,KGZ,Osh (city),,,,,KG21
2019,,38.304982,KGZ,Osh (city),,,,,KG21
2020,,35.1,KGZ,Osh (city),,,,,KG21
2021,,31.366,KGZ,Osh (city),,,,,KG21
2018,,6.8,KGZ,,,,Primary education,Education of head houshold,
2018,,10.5,KGZ,,,,Lower secondary education,Education of head houshold,
2018,,11.4,KGZ,,,,Upper secondary education,Education of head houshold,
2018,,19.7,KGZ,,,,Post-secondary non-tertiary education,Education of head houshold,
2018,,38.9,KGZ,,,,Tertiary education (Bachelor’s and Master's or equivalent),Education of head houshold,
2018,,10.0,KGZ,,,Quintile 1 (poorest),,,
2018,,2.6,KGZ,,,Quintile 2,,,
2018,,6.1,KGZ,,,Quintile 3,,,
2018,,9.3,KGZ,,,Quintile 4,,,
2018,,76.9,KGZ,,,Quintile 5 (richest),,,
