Year,UNIT_MEASURE,Value,M49_country_code,Показатель
2010,Percent,8.8,KAZ,
2011,Percent,9.0,KAZ,
2012,Percent,9.0,KAZ,
2013,Percent,9.0,KAZ,
2014,Percent,9.0,KAZ,
2015,Percent,9.3,KAZ,
2016,Percent,9.3,KAZ,
2017,Percent,9.5,KAZ,
2018,Percent,9.6,KAZ,
2019,Percent,9.6,KAZ,
2013,,6.01,KGZ,
2014,,6.01,KGZ,
2015,,6.01,KGZ,
2016,,7.3,KGZ,
2017,,7.38,KGZ,
2018,,7.38,KGZ,
2019,,6.18,KGZ,
2020,,6.18,KGZ,
2021,,6.18,KGZ,
2013,,6.01,KGZ,"Доля важных с точки зрения биологического разнообразия районов суши и пресноводных районов, находящихся под охраной"
2014,,6.01,KGZ,"Доля важных с точки зрения биологического разнообразия районов суши и пресноводных районов, находящихся под охраной"
2015,,6.01,KGZ,"Доля важных с точки зрения биологического разнообразия районов суши и пресноводных районов, находящихся под охраной"
2016,,7.3,KGZ,"Доля важных с точки зрения биологического разнообразия районов суши и пресноводных районов, находящихся под охраной"
2017,,7.38,KGZ,"Доля важных с точки зрения биологического разнообразия районов суши и пресноводных районов, находящихся под охраной"
2018,,7.38,KGZ,"Доля важных с точки зрения биологического разнообразия районов суши и пресноводных районов, находящихся под охраной"
