Year,UNIT_MEASURE,Value,M49_country_code,unique_id,col_caption_name,col_caption_name1_empty,year,value
2018.0,млрд.тенге,3248.2,KAZ,,,,,
2019.0,млрд.тенге,3959.1,KAZ,,,,,
2020.0,млрд.тенге,4769.1,KAZ,,,,,
2010.0,,1.6,KGZ,,,,,
2011.0,,1.4,KGZ,,,,,
2012.0,,1.4,KGZ,,,,,
2013.0,,1.4,KGZ,,,,,
2014.0,,1.5,KGZ,,,,,
2015.0,,1.5,KGZ,,,,,
2016.0,,1.5,KGZ,,,,,
2017.0,,1.7,KGZ,,,,,
2018.0,,1.7,KGZ,,,,,
2019.0,,1.6,KGZ,,,,,
2020.0,,1.6,KGZ,,,,,
,,,UZB,01_101_,Total,True,2000.0,0.0
,,,UZB,01_101_,Total,True,2001.0,0.0
,,,UZB,01_101_,Total,True,2002.0,0.0
,,,UZB,01_101_,Total,True,2003.0,0.0
,,,UZB,01_101_,Total,True,2004.0,0.0
,,,UZB,01_101_,Total,True,2005.0,0.0
,,,UZB,01_101_,Total,True,2006.0,0.0
,,,UZB,01_101_,Total,True,2007.0,0.0
,,,UZB,01_101_,Total,True,2008.0,0.0
,,,UZB,01_101_,Total,True,2009.0,0.0
,,,UZB,01_101_,Total,True,2010.0,21.4
,,,UZB,01_101_,Total,True,2011.0,26.6
,,,UZB,01_101_,Total,True,2012.0,29.3
,,,UZB,01_101_,Total,True,2013.0,28.1
,,,UZB,01_101_,Total,True,2014.0,32.4
,,,UZB,01_101_,Total,True,2015.0,29.2
,,,UZB,01_101_,Total,True,2016.0,33.3
,,,UZB,01_101_,Total,True,2017.0,35.6
,,,UZB,01_101_,Total,True,2018.0,35.9
,,,UZB,01_101_,Total,True,2019.0,21.6
,,,UZB,01_101_,Total,True,2020.0,22.2
,,,UZB,01_101_,Total,True,2021.0,21.3
