unique_id,col_caption_name,year,value
02_126_1000,Wheat: Total,2000,27.6
02_126_1000,Wheat: Total,2001,30.8
02_126_1000,Wheat: Total,2002,39
02_126_1000,Wheat: Total,2003,36.4
02_126_1000,Wheat: Total,2004,37
02_126_1000,Wheat: Total,2005,41.5
02_126_1000,Wheat: Total,2006,43.5
02_126_1000,Wheat: Total,2007,44.9
02_126_1000,Wheat: Total,2008,45.2
02_126_1000,Wheat: Total,2009,48.9
02_126_1000,Wheat: Total,2010,46.5
02_126_1000,Wheat: Total,2011,47.8
02_126_1000,Wheat: Total,2012,47.3
02_126_1000,Wheat: Total,2013,47.4
02_126_1000,Wheat: Total,2014,47.9
02_126_1000,Wheat: Total,2015,48.2
02_126_1000,Wheat: Total,2016,47.9
02_126_1000,Wheat: Total,2017,42.2
02_126_1000,Wheat: Total,2018,41
02_126_1000,Wheat: Total,2019,46.3
02_126_1000,Wheat: Total,2020,45.4
02_126_1000,Wheat: Total,2021,46.1
02_126_1001,Wheat: in farms,2000,25.8
02_126_1001,Wheat: in farms,2001,28
02_126_1001,Wheat: in farms,2002,37.1
02_126_1001,Wheat: in farms,2003,34.2
02_126_1001,Wheat: in farms,2004,35.8
02_126_1001,Wheat: in farms,2005,39.7
02_126_1001,Wheat: in farms,2006,42.4
02_126_1001,Wheat: in farms,2007,43.6
02_126_1001,Wheat: in farms,2008,43.5
02_126_1001,Wheat: in farms,2009,48
02_126_1001,Wheat: in farms,2010,45.4
02_126_1001,Wheat: in farms,2011,46.1
02_126_1001,Wheat: in farms,2012,46
02_126_1001,Wheat: in farms,2013,45.9
02_126_1001,Wheat: in farms,2014,46.6
02_126_1001,Wheat: in farms,2015,47
02_126_1001,Wheat: in farms,2016,46.6
02_126_1001,Wheat: in farms,2017,40.4
02_126_1001,Wheat: in farms,2018,40
02_126_1001,Wheat: in farms,2019,47.3
02_126_1001,Wheat: in farms,2020,47.3
02_126_1001,Wheat: in farms,2021,48.9
02_126_1002,Wheat: in dekhkan (personal) farms,2000,41.1
02_126_1002,Wheat: in dekhkan (personal) farms,2001,43
02_126_1002,Wheat: in dekhkan (personal) farms,2002,46.8
02_126_1002,Wheat: in dekhkan (personal) farms,2003,49.1
02_126_1002,Wheat: in dekhkan (personal) farms,2004,51.4
02_126_1002,Wheat: in dekhkan (personal) farms,2005,54.5
02_126_1002,Wheat: in dekhkan (personal) farms,2006,55.5
02_126_1002,Wheat: in dekhkan (personal) farms,2007,56.7
02_126_1002,Wheat: in dekhkan (personal) farms,2008,58.1
02_126_1002,Wheat: in dekhkan (personal) farms,2009,56.2
02_126_1002,Wheat: in dekhkan (personal) farms,2010,56.7
02_126_1002,Wheat: in dekhkan (personal) farms,2011,61.7
02_126_1002,Wheat: in dekhkan (personal) farms,2012,57.8
02_126_1002,Wheat: in dekhkan (personal) farms,2013,59
02_126_1002,Wheat: in dekhkan (personal) farms,2014,59.3
02_126_1002,Wheat: in dekhkan (personal) farms,2015,59.2
02_126_1002,Wheat: in dekhkan (personal) farms,2016,59.8
02_126_1002,Wheat: in dekhkan (personal) farms,2017,57.9
02_126_1002,Wheat: in dekhkan (personal) farms,2018,53.7
02_126_1002,Wheat: in dekhkan (personal) farms,2019,38.8
02_126_1002,Wheat: in dekhkan (personal) farms,2020,38.1
02_126_1002,Wheat: in dekhkan (personal) farms,2021,39.8
02_126_1003,Wheat: in organizations engaged in agricultural activities,2000,25.8
02_126_1003,Wheat: in organizations engaged in agricultural activities,2001,29.4
02_126_1003,Wheat: in organizations engaged in agricultural activities,2002,38.5
02_126_1003,Wheat: in organizations engaged in agricultural activities,2003,35.3
02_126_1003,Wheat: in organizations engaged in agricultural activities,2004,34.9
02_126_1003,Wheat: in organizations engaged in agricultural activities,2005,39.6
02_126_1003,Wheat: in organizations engaged in agricultural activities,2006,38.4
02_126_1003,Wheat: in organizations engaged in agricultural activities,2007,27.9
02_126_1003,Wheat: in organizations engaged in agricultural activities,2008,30.1
02_126_1003,Wheat: in organizations engaged in agricultural activities,2009,35
02_126_1003,Wheat: in organizations engaged in agricultural activities,2010,28.7
02_126_1003,Wheat: in organizations engaged in agricultural activities,2011,31.2
02_126_1003,Wheat: in organizations engaged in agricultural activities,2012,33.1
02_126_1003,Wheat: in organizations engaged in agricultural activities,2013,35.6
02_126_1003,Wheat: in organizations engaged in agricultural activities,2014,31.1
02_126_1003,Wheat: in organizations engaged in agricultural activities,2015,30.6
02_126_1003,Wheat: in organizations engaged in agricultural activities,2016,29.8
02_126_1003,Wheat: in organizations engaged in agricultural activities,2017,30
02_126_1003,Wheat: in organizations engaged in agricultural activities,2018,27.8
02_126_1003,Wheat: in organizations engaged in agricultural activities,2019,41.3
02_126_1003,Wheat: in organizations engaged in agricultural activities,2020,35.6
02_126_1003,Wheat: in organizations engaged in agricultural activities,2021,33
02_127_1000,Grain maize: Total,2000,31.5
02_127_1000,Grain maize: Total,2001,35.9
02_127_1000,Grain maize: Total,2002,38.6
02_127_1000,Grain maize: Total,2003,40.3
02_127_1000,Grain maize: Total,2004,42.1
02_127_1000,Grain maize: Total,2005,44.5
02_127_1000,Grain maize: Total,2006,46.6
02_127_1000,Grain maize: Total,2007,47.2
02_127_1000,Grain maize: Total,2008,51.6
02_127_1000,Grain maize: Total,2009,53.8
02_127_1000,Grain maize: Total,2010,51.1
02_127_1000,Grain maize: Total,2011,49.4
02_127_1000,Grain maize: Total,2012,43.6
02_127_1000,Grain maize: Total,2013,50
02_127_1000,Grain maize: Total,2014,50.2
02_127_1000,Grain maize: Total,2015,50.5
02_127_1000,Grain maize: Total,2016,54.2
02_127_1000,Grain maize: Total,2017,48.1
02_127_1000,Grain maize: Total,2018,49
02_127_1000,Grain maize: Total,2019,47.2
02_127_1000,Grain maize: Total,2020,46.3
02_127_1000,Grain maize: Total,2021,44.7
02_127_1001,Grain maize: in farms,2000,27.3
02_127_1001,Grain maize: in farms,2001,31.7
02_127_1001,Grain maize: in farms,2002,33
02_127_1001,Grain maize: in farms,2003,33.1
02_127_1001,Grain maize: in farms,2004,35.1
02_127_1001,Grain maize: in farms,2005,39.9
02_127_1001,Grain maize: in farms,2006,41
02_127_1001,Grain maize: in farms,2007,39.3
02_127_1001,Grain maize: in farms,2008,40.7
02_127_1001,Grain maize: in farms,2009,45.8
02_127_1001,Grain maize: in farms,2010,41.7
02_127_1001,Grain maize: in farms,2011,37.8
02_127_1001,Grain maize: in farms,2012,32.6
02_127_1001,Grain maize: in farms,2013,41.2
02_127_1001,Grain maize: in farms,2014,42.4
02_127_1001,Grain maize: in farms,2015,43.8
02_127_1001,Grain maize: in farms,2016,47.3
02_127_1001,Grain maize: in farms,2017,39.9
02_127_1001,Grain maize: in farms,2018,40.1
02_127_1001,Grain maize: in farms,2019,41.3
02_127_1001,Grain maize: in farms,2020,45.9
02_127_1001,Grain maize: in farms,2021,43.8
02_127_1002,Grain maize: in dekhkan (personal) farms,2000,40.1
02_127_1002,Grain maize: in dekhkan (personal) farms,2001,45.4
02_127_1002,Grain maize: in dekhkan (personal) farms,2002,46.5
02_127_1002,Grain maize: in dekhkan (personal) farms,2003,49.4
02_127_1002,Grain maize: in dekhkan (personal) farms,2004,49.6
02_127_1002,Grain maize: in dekhkan (personal) farms,2005,50.8
02_127_1002,Grain maize: in dekhkan (personal) farms,2006,51.5
02_127_1002,Grain maize: in dekhkan (personal) farms,2007,54.2
02_127_1002,Grain maize: in dekhkan (personal) farms,2008,60.6
02_127_1002,Grain maize: in dekhkan (personal) farms,2009,59.4
02_127_1002,Grain maize: in dekhkan (personal) farms,2010,58.7
02_127_1002,Grain maize: in dekhkan (personal) farms,2011,58.2
02_127_1002,Grain maize: in dekhkan (personal) farms,2012,60.4
02_127_1002,Grain maize: in dekhkan (personal) farms,2013,59.3
02_127_1002,Grain maize: in dekhkan (personal) farms,2014,59.5
02_127_1002,Grain maize: in dekhkan (personal) farms,2015,59.6
02_127_1002,Grain maize: in dekhkan (personal) farms,2016,64.6
02_127_1002,Grain maize: in dekhkan (personal) farms,2017,61.1
02_127_1002,Grain maize: in dekhkan (personal) farms,2018,62.7
02_127_1002,Grain maize: in dekhkan (personal) farms,2019,56.5
02_127_1002,Grain maize: in dekhkan (personal) farms,2020,48
02_127_1002,Grain maize: in dekhkan (personal) farms,2021,54.2
02_127_1003,Grain maize: in organizations engaged in agricultural activities,2000,0
02_127_1003,Grain maize: in organizations engaged in agricultural activities,2001,0
02_127_1003,Grain maize: in organizations engaged in agricultural activities,2002,23.1
02_127_1003,Grain maize: in organizations engaged in agricultural activities,2003,20.4
02_127_1003,Grain maize: in organizations engaged in agricultural activities,2004,23.8
02_127_1003,Grain maize: in organizations engaged in agricultural activities,2005,29.4
02_127_1003,Grain maize: in organizations engaged in agricultural activities,2006,31.5
02_127_1003,Grain maize: in organizations engaged in agricultural activities,2007,31
02_127_1003,Grain maize: in organizations engaged in agricultural activities,2008,31.1
02_127_1003,Grain maize: in organizations engaged in agricultural activities,2009,40.2
02_127_1003,Grain maize: in organizations engaged in agricultural activities,2010,36.2
02_127_1003,Grain maize: in organizations engaged in agricultural activities,2011,35.2
02_127_1003,Grain maize: in organizations engaged in agricultural activities,2012,40.9
02_127_1003,Grain maize: in organizations engaged in agricultural activities,2013,47.9
02_127_1003,Grain maize: in organizations engaged in agricultural activities,2014,42.9
02_127_1003,Grain maize: in organizations engaged in agricultural activities,2015,40.6
02_127_1003,Grain maize: in organizations engaged in agricultural activities,2016,39.6
02_127_1003,Grain maize: in organizations engaged in agricultural activities,2017,34.3
02_127_1003,Grain maize: in organizations engaged in agricultural activities,2018,36.9
02_127_1003,Grain maize: in organizations engaged in agricultural activities,2019,37.9
02_127_1003,Grain maize: in organizations engaged in agricultural activities,2020,43.8
02_127_1003,Grain maize: in organizations engaged in agricultural activities,2021,30.2
02_128_1000,Rice: Total,2000,24.3
02_128_1000,Rice: Total,2001,26.8
02_128_1000,Rice: Total,2002,28.3
02_128_1000,Rice: Total,2003,27.9
02_128_1000,Rice: Total,2004,27.7
02_128_1000,Rice: Total,2005,31.8
02_128_1000,Rice: Total,2006,33.7
02_128_1000,Rice: Total,2007,35.7
02_128_1000,Rice: Total,2008,33.9
02_128_1000,Rice: Total,2009,36.6
02_128_1000,Rice: Total,2010,31.9
02_128_1000,Rice: Total,2011,36
02_128_1000,Rice: Total,2012,32.4
02_128_1000,Rice: Total,2013,41.1
02_128_1000,Rice: Total,2014,38.1
02_128_1000,Rice: Total,2015,32.8
02_128_1000,Rice: Total,2016,34.4
02_128_1000,Rice: Total,2017,30.9
02_128_1000,Rice: Total,2018,27.6
02_128_1000,Rice: Total,2019,27.5
02_128_1000,Rice: Total,2020,31.6
02_128_1000,Rice: Total,2021,33.6
02_128_1001,Rice: in farms,2000,19.9
02_128_1001,Rice: in farms,2001,18.3
02_128_1001,Rice: in farms,2002,26.5
02_128_1001,Rice: in farms,2003,30.5
02_128_1001,Rice: in farms,2004,28.1
02_128_1001,Rice: in farms,2005,30.7
02_128_1001,Rice: in farms,2006,32.8
02_128_1001,Rice: in farms,2007,34.9
02_128_1001,Rice: in farms,2008,32.4
02_128_1001,Rice: in farms,2009,36
02_128_1001,Rice: in farms,2010,31
02_128_1001,Rice: in farms,2011,34.9
02_128_1001,Rice: in farms,2012,32
02_128_1001,Rice: in farms,2013,41.2
02_128_1001,Rice: in farms,2014,37.9
02_128_1001,Rice: in farms,2015,32.4
02_128_1001,Rice: in farms,2016,34.1
02_128_1001,Rice: in farms,2017,30.6
02_128_1001,Rice: in farms,2018,26.2
02_128_1001,Rice: in farms,2019,25.7
02_128_1001,Rice: in farms,2020,31.1
02_128_1001,Rice: in farms,2021,33
02_128_1002,Rice: in dekhkan (personal) farms,2000,32.9
02_128_1002,Rice: in dekhkan (personal) farms,2001,44.7
02_128_1002,Rice: in dekhkan (personal) farms,2002,49.1
02_128_1002,Rice: in dekhkan (personal) farms,2003,47
02_128_1002,Rice: in dekhkan (personal) farms,2004,47
02_128_1002,Rice: in dekhkan (personal) farms,2005,47.6
02_128_1002,Rice: in dekhkan (personal) farms,2006,44.2
02_128_1002,Rice: in dekhkan (personal) farms,2007,48.4
02_128_1002,Rice: in dekhkan (personal) farms,2008,47.1
02_128_1002,Rice: in dekhkan (personal) farms,2009,49.6
02_128_1002,Rice: in dekhkan (personal) farms,2010,50.4
02_128_1002,Rice: in dekhkan (personal) farms,2011,48.3
02_128_1002,Rice: in dekhkan (personal) farms,2012,48.3
02_128_1002,Rice: in dekhkan (personal) farms,2013,50.1
02_128_1002,Rice: in dekhkan (personal) farms,2014,48.5
02_128_1002,Rice: in dekhkan (personal) farms,2015,49.7
02_128_1002,Rice: in dekhkan (personal) farms,2016,46.3
02_128_1002,Rice: in dekhkan (personal) farms,2017,49.8
02_128_1002,Rice: in dekhkan (personal) farms,2018,49.6
02_128_1002,Rice: in dekhkan (personal) farms,2019,52.1
02_128_1002,Rice: in dekhkan (personal) farms,2020,48.8
02_128_1002,Rice: in dekhkan (personal) farms,2021,51.7
02_128_1003,Rice: in organizations engaged in agricultural activities,2000,0
02_128_1003,Rice: in organizations engaged in agricultural activities,2001,0
02_128_1003,Rice: in organizations engaged in agricultural activities,2002,27.5
02_128_1003,Rice: in organizations engaged in agricultural activities,2003,24
02_128_1003,Rice: in organizations engaged in agricultural activities,2004,24.1
02_128_1003,Rice: in organizations engaged in agricultural activities,2005,30.4
