Year,UNIT_MEASURE,SERIES,Area,Regions,Value,M49_country_code
2015,Percent,sources of drinking water,,,100.0,KAZ
2016,Percent,sources of drinking water,,,100.0,KAZ
2017,Percent,sources of drinking water,,,100.0,KAZ
2018,Percent,sources of drinking water,,,100.0,KAZ
2019,Percent,access to the internet for education purposes,,,94.06596377399296,KAZ
2019,Percent,access to the internet for education purposes,,Akmola,100.0,KAZ
2019,Percent,access to the internet for education purposes,,Aktobe,97.1291866028708,KAZ
2019,Percent,access to the internet for education purposes,,Almaty,91.78255372945638,KAZ
2019,Percent,access to the internet for education purposes,,Atyrau,93.71980676328504,KAZ
2019,Percent,access to the internet for education purposes,,Batys Kazakhstan,86.92307692307692,KAZ
2019,Percent,access to the internet for education purposes,,Zhambyl,99.78308026030368,KAZ
2019,Percent,access to the internet for education purposes,,Karagandy,97.39292364990688,KAZ
2019,Percent,access to the internet for education purposes,,Kostanay,91.47286821705426,KAZ
2019,Percent,access to the internet for education purposes,,Kyzylorda,98.08917197452227,KAZ
2019,Percent,access to the internet for education purposes,,Mangistau,100.0,KAZ
2019,Percent,access to the internet for education purposes,,Pavlodar,99.45652173913044,KAZ
2019,Percent,access to the internet for education purposes,,Soltustik Kazakhstan,90.74074074074076,KAZ
2019,Percent,access to the internet for education purposes,,Turkistan,83.04347826086956,KAZ
2019,Percent,access to the internet for education purposes,,Shygys Kazakhstan,99.11634756995582,KAZ
2019,Percent,access to the internet for education purposes,,Nur-Sultan city,94.91525423728814,KAZ
2019,Percent,access to the internet for education purposes,,Almaty city,98.6206896551724,KAZ
2019,Percent,access to the internet for education purposes,,Shymkent city,91.90751445086704,KAZ
2019,Percent,access to the internet for education purposes,urban,,96.68717463322292,KAZ
2019,Percent,access to the internet for education purposes,urban,Akmola,100.0,KAZ
2019,Percent,access to the internet for education purposes,urban,Aktobe,97.77777777777776,KAZ
2019,Percent,access to the internet for education purposes,urban,Almaty,96.3963963963964,KAZ
2019,Percent,access to the internet for education purposes,urban,Atyrau,96.05263157894736,KAZ
2019,Percent,access to the internet for education purposes,urban,Batys Kazakhstan,93.24324324324324,KAZ
2019,Percent,access to the internet for education purposes,urban,Zhambyl,99.05660377358492,KAZ
2019,Percent,access to the internet for education purposes,urban,Karagandy,97.8813559322034,KAZ
2019,Percent,access to the internet for education purposes,urban,Kostanay,97.97979797979798,KAZ
2019,Percent,access to the internet for education purposes,urban,Kyzylorda,93.67088607594935,KAZ
2019,Percent,access to the internet for education purposes,urban,Mangistau,100.0,KAZ
2019,Percent,access to the internet for education purposes,urban,Pavlodar,97.87234042553192,KAZ
