Year,UNIT_MEASURE,SERIES,Sex,Regions,Value,M49_country_code
2015,Percent,i) literacy (based on gender),,,58.7,KAZ
2015,Percent,i) literacy (based on gender),Male,,54.7,KAZ
2015,Percent,i) literacy (based on gender),Female,,63.0,KAZ
2015,Percent,i) literacy (based on gender),Male,Akmola,57.0,KAZ
2015,Percent,i) literacy (based on gender),Female,Akmola,60.0,KAZ
2015,Percent,i) literacy (based on gender),Male,Aktobe,39.0,KAZ
2015,Percent,i) literacy (based on gender),Female,Aktobe,62.0,KAZ
2015,Percent,i) literacy (based on gender),Male,Almaty,51.0,KAZ
2015,Percent,i) literacy (based on gender),Female,Almaty,58.0,KAZ
2015,Percent,i) literacy (based on gender),Male,Atyrau,33.0,KAZ
2015,Percent,i) literacy (based on gender),Female,Atyrau,51.0,KAZ
2015,Percent,i) literacy (based on gender),Male,Batys Kazakhstan,59.0,KAZ
2015,Percent,i) literacy (based on gender),Female,Batys Kazakhstan,66.0,KAZ
2015,Percent,i) literacy (based on gender),Male,Zhambyl,58.0,KAZ
2015,Percent,i) literacy (based on gender),Female,Zhambyl,63.0,KAZ
2015,Percent,i) literacy (based on gender),Male,Karagandy,71.0,KAZ
2015,Percent,i) literacy (based on gender),Female,Karagandy,74.0,KAZ
2015,Percent,i) literacy (based on gender),Male,Kostanay,57.0,KAZ
2015,Percent,i) literacy (based on gender),Female,Kostanay,63.0,KAZ
2015,Percent,i) literacy (based on gender),Male,Kyzylorda,59.0,KAZ
2015,Percent,i) literacy (based on gender),Female,Kyzylorda,65.0,KAZ
2015,Percent,i) literacy (based on gender),Male,Mangistau,45.0,KAZ
2015,Percent,i) literacy (based on gender),Female,Mangistau,45.0,KAZ
2015,Percent,i) literacy (based on gender),Male,Ontustik Kazakhstan,42.0,KAZ
2015,Percent,i) literacy (based on gender),Female,Ontustik Kazakhstan,48.0,KAZ
2015,Percent,i) literacy (based on gender),Male,Pavlodar,70.0,KAZ
2015,Percent,i) literacy (based on gender),Female,Pavlodar,79.0,KAZ
2015,Percent,i) literacy (based on gender),Male,Soltustik Kazakhstan,57.0,KAZ
2015,Percent,i) literacy (based on gender),Female,Soltustik Kazakhstan,78.0,KAZ
2015,Percent,i) literacy (based on gender),Male,Shygys Kazakhstan,57.0,KAZ
2015,Percent,i) literacy (based on gender),Female,Shygys Kazakhstan,63.0,KAZ
2015,Percent,i) literacy (based on gender),Male,Nur-Sultan city,82.0,KAZ
2015,Percent,i) literacy (based on gender),Female,Nur-Sultan city,85.0,KAZ
2015,Percent,i) literacy (based on gender),Male,Almaty city,64.0,KAZ
2015,Percent,i) literacy (based on gender),Female,Almaty city,78.0,KAZ
2015,Percent,ii) basic math skills (based on gender and 3rd grade),,,99.977,KAZ
2015,Percent,ii) basic math skills (based on gender and 3rd grade),Male,,99.977,KAZ
2015,Percent,ii) basic math skills (based on gender and 3rd grade),Female,,99.977,KAZ
2015,Percent,ii) basic math skills (based on gender and 2nd grade),,,99.973,KAZ
2015,Percent,ii) basic math skills (based on gender and 2nd grade),Male,,99.978,KAZ
2015,Percent,ii) basic math skills (based on gender and 2nd grade),Female,,99.968,KAZ
2015,Percent,Proportion of children and young people achieving a minimum proficiency level in reading and mathematics [4.1.1],,,96.5,KAZ
2015,Percent,Proportion of children and young people achieving a minimum proficiency level in reading and mathematics [4.1.1],Male,,96.5,KAZ
2015,Percent,Proportion of children and young people achieving a minimum proficiency level in reading and mathematics [4.1.1],Female,,96.5,KAZ
2015,Percent,math skills,,,67.8,KAZ
2015,Percent,Proportion of children and young people achieving a minimum proficiency level in reading and mathematics [4.1.1],Male,,68.5,KAZ
2015,Percent,Proportion of children and young people achieving a minimum proficiency level in reading and mathematics [4.1.1],Female,,67.2,KAZ
2015,Percent,math skills,Male,Akmola,62.0,KAZ
2015,Percent,Proportion of children and young people achieving a minimum proficiency level in reading and mathematics [4.1.1],Female,Akmola,57.0,KAZ
2015,Percent,Proportion of children and young people achieving a minimum proficiency level in reading and mathematics [4.1.1],Male,Aktobe,59.0,KAZ
2015,Percent,math skills,Female,Aktobe,65.0,KAZ
2015,Percent,Proportion of children and young people achieving a minimum proficiency level in reading and mathematics [4.1.1],Male,Almaty,77.0,KAZ
2015,Percent,Proportion of children and young people achieving a minimum proficiency level in reading and mathematics [4.1.1],Female,Almaty,76.0,KAZ
2015,Percent,math skills,Male,Atyrau,38.0,KAZ
2015,Percent,Proportion of children and young people achieving a minimum proficiency level in reading and mathematics [4.1.1],Female,Atyrau,51.0,KAZ
2015,Percent,Proportion of children and young people achieving a minimum proficiency level in reading and mathematics [4.1.1],Male,Batys Kazakhstan,80.0,KAZ
2015,Percent,math skills,Female,Batys Kazakhstan,74.0,KAZ
2015,Percent,Proportion of children and young people achieving a minimum proficiency level in reading and mathematics [4.1.1],Male,Zhambyl,79.0,KAZ
2015,Percent,Proportion of children and young people achieving a minimum proficiency level in reading and mathematics [4.1.1],Female,Zhambyl,83.0,KAZ
2015,Percent,math skills,Male,Karagandy,75.0,KAZ
2015,Percent,Proportion of children and young people achieving a minimum proficiency level in reading and mathematics [4.1.1],Female,Karagandy,71.0,KAZ
2015,Percent,Proportion of children and young people achieving a minimum proficiency level in reading and mathematics [4.1.1],Male,Kostanay,57.0,KAZ
2015,Percent,math skills,Female,Kostanay,58.0,KAZ
2015,Percent,Proportion of children and young people achieving a minimum proficiency level in reading and mathematics [4.1.1],Male,Kyzylorda,76.0,KAZ
2015,Percent,Proportion of children and young people achieving a minimum proficiency level in reading and mathematics [4.1.1],Female,Kyzylorda,77.0,KAZ
2015,Percent,math skills,Male,Mangistau,60.0,KAZ
2015,Percent,Proportion of children and young people achieving a minimum proficiency level in reading and mathematics [4.1.1],Female,Mangistau,62.0,KAZ
2015,Percent,Proportion of children and young people achieving a minimum proficiency level in reading and mathematics [4.1.1],Male,Ontustik Kazakhstan,56.0,KAZ
2015,Percent,math skills,Female,Ontustik Kazakhstan,57.0,KAZ
2015,Percent,Proportion of children and young people achieving a minimum proficiency level in reading and mathematics [4.1.1],Male,Pavlodar,69.0,KAZ
2015,Percent,Proportion of children and young people achieving a minimum proficiency level in reading and mathematics [4.1.1],Female,Pavlodar,64.0,KAZ
2015,Percent,math skills,Male,Soltustik Kazakhstan,65.0,KAZ
2015,Percent,Proportion of children and young people achieving a minimum proficiency level in reading and mathematics [4.1.1],Female,Soltustik Kazakhstan,70.0,KAZ
2015,Percent,Proportion of children and young people achieving a minimum proficiency level in reading and mathematics [4.1.1],Male,Shygys Kazakhstan,72.0,KAZ
2015,Percent,math skills,Female,Shygys Kazakhstan,72.0,KAZ
2015,Percent,Proportion of children and young people achieving a minimum proficiency level in reading and mathematics [4.1.1],Male,Nur-Sultan city,85.0,KAZ
2015,Percent,Proportion of children and young people achieving a minimum proficiency level in reading and mathematics [4.1.1],Female,Nur-Sultan city,82.0,KAZ
2015,Percent,math skills,Male,Almaty city,66.0,KAZ
2015,Percent,Proportion of children and young people achieving a minimum proficiency level in reading and mathematics [4.1.1],Female,Almaty city,75.0,KAZ
2015,Percent,math skills,,,90.8,KAZ
2015,Percent,math skills,Male,,91.9,KAZ
2015,Percent,math skills,Female,,89.7,KAZ
2015,Percent,math skills,Male,Akmola,89.36,KAZ
2015,Percent,math skills,Female,Akmola,90.76,KAZ
2015,Percent,math skills,Male,Aktobe,90.81,KAZ
2015,Percent,math skills,Female,Aktobe,89.19,KAZ
2015,Percent,math skills,Male,Almaty,85.36,KAZ
2015,Percent,math skills,Female,Almaty,87.63,KAZ
2015,Percent,math skills,Male,Atyrau,70.78,KAZ
2015,Percent,math skills,Female,Atyrau,78.48,KAZ
