Year,UNIT_MEASURE,Sex,Value,M49_country_code
2010,Percent,,30.48,KAZ
2010,Percent,Male,41.19,KAZ
2010,Percent,Female,21.3,KAZ
2011,Percent,,28.59,KAZ
2011,Percent,Male,38.91,KAZ
2011,Percent,Female,19.8,KAZ
2012,Percent,,27.1,KAZ
2012,Percent,Male,37.13,KAZ
2012,Percent,Female,18.61,KAZ
2013,Percent,,23.7,KAZ
2013,Percent,Male,32.83,KAZ
2013,Percent,Female,16.1,KAZ
2014,Percent,,20.53,KAZ
2014,Percent,Male,28.67,KAZ
2014,Percent,Female,13.88,KAZ
2015,Percent,,21.12,KAZ
2015,Percent,Male,29.4,KAZ
2015,Percent,Female,14.38,KAZ
2016,Percent,,20.84,KAZ
2016,Percent,Male,29.25,KAZ
2016,Percent,Female,13.98,KAZ
2017,Percent,,19.73,KAZ
2017,Percent,Male,27.66,KAZ
2017,Percent,Female,13.29,KAZ
2018,Percent,,19.28,KAZ
2018,Percent,Male,27.09,KAZ
2018,Percent,Female,12.92,KAZ
2019,Percent,,18.81,KAZ
2019,Percent,Male,26.61,KAZ
2019,Percent,Female,12.38,KAZ
2020,Percent,,20.48,KAZ
2020,Percent,Male,28.62,KAZ
2020,Percent,Female,13.69,KAZ
