Year,UNIT_MEASURE,Regions,Area,Sex,Value,M49_country_code
2010,per 100000 population,,,,7.14,KAZ
2010,per 100000 population,Akmola,,,11.3,KAZ
2010,per 100000 population,Aktobe,,,4.15,KAZ
2010,per 100000 population,Almaty,,,6.96,KAZ
2010,per 100000 population,Atyrau,,,2.66,KAZ
2010,per 100000 population,Batys Kazakhstan,,,6.6,KAZ
2010,per 100000 population,Zhambyl,,,4.04,KAZ
2010,per 100000 population,Karagandy,,,13.41,KAZ
2010,per 100000 population,Kostanay,,,11.33,KAZ
2010,per 100000 population,Kyzylorda,,,1.87,KAZ
2010,per 100000 population,Mangistau,,,1.36,KAZ
2010,per 100000 population,Ontustik Kazakhstan,,,2.76,KAZ
2010,per 100000 population,Pavlodar,,,13.82,KAZ
2010,per 100000 population,Soltustik Kazakhstan,,,2.03,KAZ
2010,per 100000 population,Shygys Kazakhstan,,,10.16,KAZ
2010,per 100000 population,Nur-Sultan city,,,10.7,KAZ
2010,per 100000 population,Almaty city,,,8.99,KAZ
2010,per 100000 population,,urban,,8.68,KAZ
2010,per 100000 population,Akmola,urban,,11.97,KAZ
2010,per 100000 population,Aktobe,urban,,3.18,KAZ
2010,per 100000 population,Almaty,urban,,9.42,KAZ
2010,per 100000 population,Atyrau,urban,,2.79,KAZ
2010,per 100000 population,Batys Kazakhstan,urban,,7.67,KAZ
2010,per 100000 population,Zhambyl,urban,,5.93,KAZ
2010,per 100000 population,Karagandy,urban,,15.4,KAZ
2010,per 100000 population,Kostanay,urban,,10.17,KAZ
2010,per 100000 population,Kyzylorda,urban,,1.02,KAZ
2010,per 100000 population,Mangistau,urban,,1.47,KAZ
2010,per 100000 population,Ontustik Kazakhstan,urban,,4.51,KAZ
2010,per 100000 population,Pavlodar,urban,,12.15,KAZ
2010,per 100000 population,Soltustik Kazakhstan,urban,,2.52,KAZ
2010,per 100000 population,Shygys Kazakhstan,urban,,11.9,KAZ
2010,per 100000 population,Nur-Sultan city,urban,,10.7,KAZ
2010,per 100000 population,Almaty city,urban,,8.99,KAZ
2010,per 100000 population,,rural,,5.31,KAZ
2010,per 100000 population,Akmola,rural,,10.72,KAZ
