Year,UNIT_MEASURE,SERIES,Value,M49_country_code
2010,per 1000 workers,Work injury rate,0.48,KAZ
2010,per 1000 workers,Fatal occupational injuries,0.08,KAZ
2011,per 1000 workers,Work injury rate,0.47,KAZ
2011,per 1000 workers,Fatal occupational injuries,0.07,KAZ
2012,per 1000 workers,Work injury rate,0.45,KAZ
2012,per 1000 workers,Fatal occupational injuries,0.06,KAZ
2013,per 1000 workers,Work injury rate,0.42,KAZ
2013,per 1000 workers,Fatal occupational injuries,0.06,KAZ
2014,per 1000 workers,Work injury rate,0.39,KAZ
2014,per 1000 workers,Fatal occupational injuries,0.06,KAZ
2015,per 1000 workers,Work injury rate,0.33,KAZ
2015,per 1000 workers,Fatal occupational injuries,0.05,KAZ
2016,per 1000 workers,Work injury rate,0.32,KAZ
2016,per 1000 workers,Fatal occupational injuries,0.05,KAZ
2017,per 1000 workers,Work injury rate,0.29,KAZ
2017,per 1000 workers,Fatal occupational injuries,0.04,KAZ
2018,per 1000 workers,Work injury rate,0.25,KAZ
2018,per 1000 workers,Fatal occupational injuries,0.03,KAZ
2019,per 1000 workers,Work injury rate,0.21,KAZ
2019,per 1000 workers,Fatal occupational injuries,0.029,KAZ
2020,per 1000 workers,Work injury rate,0.23,KAZ
2020,per 1000 workers,Fatal occupational injuries,0.03,KAZ
