Year,UNIT_MEASURE,SERIES,Value,M49_country_code
2010,Percent,Local Representative Bodies (Maslikhats),17.8,KAZ
2011,Percent,Local Representative Bodies (Maslikhats),17.8,KAZ
2011,Percent,National Parliament (Mazhilis),16.9,KAZ
2012,Percent,Local Representative Bodies (Maslikhats),23.8,KAZ
2012,Percent,National Parliament (Mazhilis),17.0,KAZ
2013,Percent,Local Representative Bodies (Maslikhats),26.2,KAZ
2013,Percent,National Parliament (Mazhilis),18.2,KAZ
2014,Percent,Local Representative Bodies (Maslikhats),26.2,KAZ
2014,Percent,National Parliament (Mazhilis),18.4,KAZ
2015,Percent,Local Representative Bodies (Maslikhats),26.7,KAZ
2015,Percent,National Parliament (Mazhilis),18.8,KAZ
2016,Percent,Local Representative Bodies (Maslikhats),27.6,KAZ
2016,Percent,National Parliament (Mazhilis),22.2,KAZ
2017,Percent,Local Representative Bodies (Maslikhats),27.4,KAZ
2017,Percent,National Parliament (Mazhilis),22.1,KAZ
2018,Percent,Local Representative Bodies (Maslikhats),27.4,KAZ
2018,Percent,National Parliament (Mazhilis),22.2,KAZ
2019,Percent,Local Representative Bodies (Maslikhats),27.4,KAZ
2019,Percent,National Parliament (Mazhilis),22.2,KAZ
2020,Percent,Local Representative Bodies (Maslikhats),26.5,KAZ
2020,Percent,National Parliament (Mazhilis),30.5,KAZ
