Year,UNIT_MEASURE,Area,Sex,Age,Regions,Value,M49_country_code
2010,Percent,,,,,49.4,KAZ
2010,Percent,urban,,,,48.9,KAZ
2010,Percent,rural,,,,49.9,KAZ
2010,Percent,,Male,,,53.7,KAZ
2010,Percent,,Female,,,45.1,KAZ
2010,Percent,,,Y2T4,,47.6,KAZ
2010,Percent,,,5 to 9 years old,,52.7,KAZ
2010,Percent,,,age: 10-14 years old,,47.4,KAZ
2010,Percent,,,,Akmola,59.7,KAZ
2010,Percent,,,,Aktobe,58.3,KAZ
2010,Percent,,,,Almaty,49.8,KAZ
2010,Percent,,,,Atyrau,44.7,KAZ
2010,Percent,,,,Batys Kazakhstan,54.7,KAZ
2010,Percent,,,,Zhambyl,56.1,KAZ
2010,Percent,,,,Karagandy,51.8,KAZ
2010,Percent,,,,Kostanay,72.6,KAZ
2010,Percent,,,,Kyzylorda,56.4,KAZ
2010,Percent,,,,Mangistau,65.3,KAZ
2010,Percent,,,,Ontustik Kazakhstan,38.9,KAZ
2010,Percent,,,,Pavlodar,54.3,KAZ
2010,Percent,,,,Soltustik Kazakhstan,59.9,KAZ
2010,Percent,,,,Shygys Kazakhstan,42.7,KAZ
2010,Percent,,,,Nur-Sultan city,38.6,KAZ
2010,Percent,,,,Almaty city,27.3,KAZ
2015,Percent,,,,,52.7,KAZ
2015,Percent,urban,,,,51.7,KAZ
2015,Percent,rural,,,,53.5,KAZ
2015,Percent,,Male,,,55.2,KAZ
2015,Percent,,Female,,,49.9,KAZ
2015,Percent,,,Y1T2,,38.3,KAZ
2015,Percent,,,Y3T4,,53.2,KAZ
2015,Percent,,,5 to 9 years old,,57.8,KAZ
2015,Percent,,,age: 10-14 years old,,53.9,KAZ
2015,Percent,,,,Akmola,38.6,KAZ
2015,Percent,,,,Aktobe,30.2,KAZ
2015,Percent,,,,Almaty,65.0,KAZ
2015,Percent,,,,Atyrau,59.9,KAZ
2015,Percent,,,,Batys Kazakhstan,42.7,KAZ
2015,Percent,,,,Zhambyl,67.0,KAZ
2015,Percent,,,,Karagandy,47.1,KAZ
2015,Percent,,,,Kostanay,65.4,KAZ
2015,Percent,,,,Kyzylorda,41.9,KAZ
2015,Percent,,,,Mangistau,65.1,KAZ
2015,Percent,,,,Ontustik Kazakhstan,53.6,KAZ
2015,Percent,,,,Pavlodar,60.1,KAZ
2015,Percent,,,,Soltustik Kazakhstan,41.1,KAZ
2015,Percent,,,,Shygys Kazakhstan,47.1,KAZ
2015,Percent,,,,Nur-Sultan city,64.2,KAZ
2015,Percent,,,,Almaty city,38.4,KAZ
