Year,UNIT_MEASURE,COMPOSITE_BREAKDOWN,Value,M49_country_code
2010,per 100000 population,_L_HLTH_IMBD_SUBS,350.7,KAZ
2010,per 100000 population,Incidence of mental and behavioral disorders as a result of alcohol use,301.3,KAZ
2010,per 100000 population,Incidence of mental and behavioral disorders as a result of drug use,44.3,KAZ
2011,per 100000 population,_L_HLTH_IMBD_SUBS,330.9,KAZ
2011,per 100000 population,Incidence of mental and behavioral disorders as a result of alcohol use,287.3,KAZ
2011,per 100000 population,Incidence of mental and behavioral disorders as a result of drug use,37.1,KAZ
2012,per 100000 population,_L_HLTH_IMBD_SUBS,311.4,KAZ
2012,per 100000 population,Incidence of mental and behavioral disorders as a result of alcohol use,276.5,KAZ
2012,per 100000 population,Incidence of mental and behavioral disorders as a result of drug use,28.4,KAZ
2013,per 100000 population,_L_HLTH_IMBD_SUBS,278.2,KAZ
2013,per 100000 population,Incidence of mental and behavioral disorders as a result of alcohol use,241.1,KAZ
2013,per 100000 population,Incidence of mental and behavioral disorders as a result of drug use,33.0,KAZ
2014,per 100000 population,_L_HLTH_IMBD_SUBS,241.5,KAZ
2014,per 100000 population,Incidence of mental and behavioral disorders as a result of alcohol use,210.0,KAZ
2014,per 100000 population,Incidence of mental and behavioral disorders as a result of drug use,29.7,KAZ
2015,per 100000 population,_L_HLTH_IMBD_SUBS,216.4,KAZ
2015,per 100000 population,Incidence of mental and behavioral disorders as a result of alcohol use,184.8,KAZ
2015,per 100000 population,Incidence of mental and behavioral disorders as a result of drug use,30.7,KAZ
2016,per 100000 population,_L_HLTH_IMBD_SUBS,156.6,KAZ
2016,per 100000 population,Incidence of mental and behavioral disorders as a result of alcohol use,130.6,KAZ
2016,per 100000 population,Incidence of mental and behavioral disorders as a result of drug use,25.1,KAZ
2017,per 100000 population,_L_HLTH_IMBD_SUBS,109.2,KAZ
2017,per 100000 population,Incidence of mental and behavioral disorders as a result of alcohol use,86.6,KAZ
2017,per 100000 population,Incidence of mental and behavioral disorders as a result of drug use,21.8,KAZ
2018,per 100000 population,_L_HLTH_IMBD_SUBS,99.8,KAZ
2018,per 100000 population,Incidence of mental and behavioral disorders as a result of alcohol use,79.4,KAZ
2018,per 100000 population,Incidence of mental and behavioral disorders as a result of drug use,20.1,KAZ
2019,per 100000 population,_L_HLTH_IMBD_SUBS,85.6,KAZ
2019,per 100000 population,Incidence of mental and behavioral disorders as a result of alcohol use,69.0,KAZ
2019,per 100000 population,Incidence of mental and behavioral disorders as a result of drug use,16.2,KAZ
2020,per 100000 population,_L_HLTH_IMBD_SUBS,75.7,KAZ
2020,per 100000 population,Incidence of mental and behavioral disorders as a result of alcohol use,62.3,KAZ
2020,per 100000 population,Incidence of mental and behavioral disorders as a result of drug use,13.4,KAZ
