Year,UNIT_MEASURE,COMPOSITE_BREAKDOWN,Value,M49_country_code
2010,Percent,The Bactrian deer (latin: Cervus elaphus bactrianus),418,KAZ
2010,Percent,Goitered gazelle (latin: Gazella subgutturosa),16154,KAZ
2010,Percent,Onager (latin Equus hemionus),2477,KAZ
2010,Percent,Argali (latin: Ovis ammon),13246,KAZ
2011,Percent,The Bactrian deer (latin: Cervus elaphus bactrianus),421,KAZ
2011,Percent,Goitered gazelle (latin: Gazella subgutturosa),1210,KAZ
2011,Percent,Onager (latin Equus hemionus),2500,KAZ
2011,Percent,Argali (latin: Ovis ammon),13597,KAZ
2012,Percent,The Bactrian deer (latin: Cervus elaphus bactrianus),451,KAZ
2012,Percent,Goitered gazelle (latin: Gazella subgutturosa),1263,KAZ
2012,Percent,Onager (latin Equus hemionus),2920,KAZ
2012,Percent,Argali (latin: Ovis ammon),13872,KAZ
2013,Percent,The Bactrian deer (latin: Cervus elaphus bactrianus),465,KAZ
2013,Percent,Goitered gazelle (latin: Gazella subgutturosa),12888,KAZ
2013,Percent,Onager (latin Equus hemionus),3222,KAZ
2013,Percent,Argali (latin: Ovis ammon),14525,KAZ
2014,Percent,The Bactrian deer (latin: Cervus elaphus bactrianus),481,KAZ
2014,Percent,Goitered gazelle (latin: Gazella subgutturosa),12994,KAZ
2014,Percent,Onager (latin Equus hemionus),3420,KAZ
2014,Percent,Argali (latin: Ovis ammon),14737,KAZ
2015,Percent,The Bactrian deer (latin: Cervus elaphus bactrianus),503,KAZ
2015,Percent,Goitered gazelle (latin: Gazella subgutturosa),13197,KAZ
2015,Percent,Onager (latin Equus hemionus),3595,KAZ
2015,Percent,Argali (latin: Ovis ammon),15710,KAZ
2016,Percent,The Bactrian deer (latin: Cervus elaphus bactrianus),716,KAZ
2016,Percent,Goitered gazelle (latin: Gazella subgutturosa),13218,KAZ
2016,Percent,Onager (latin Equus hemionus),3807,KAZ
2016,Percent,Argali (latin: Ovis ammon),15979,KAZ
2017,Percent,The Bactrian deer (latin: Cervus elaphus bactrianus),825,KAZ
2017,Percent,Goitered gazelle (latin: Gazella subgutturosa),13727,KAZ
2017,Percent,Onager (latin Equus hemionus),3984,KAZ
2017,Percent,Argali (latin: Ovis ammon),16802,KAZ
2018,Percent,The Bactrian deer (latin: Cervus elaphus bactrianus),856,KAZ
2018,Percent,Goitered gazelle (latin: Gazella subgutturosa),14055,KAZ
2018,Percent,Onager (latin Equus hemionus),4103,KAZ
2018,Percent,Argali (latin: Ovis ammon),16980,KAZ
2019,Percent,The Bactrian deer (latin: Cervus elaphus bactrianus),878,KAZ
2019,Percent,Goitered gazelle (latin: Gazella subgutturosa),14391,KAZ
2019,Percent,Onager (latin Equus hemionus),4197,KAZ
2019,Percent,Argali (latin: Ovis ammon),17954,KAZ
2020,Percent,The Bactrian deer (latin: Cervus elaphus bactrianus),914,KAZ
2020,Percent,Goitered gazelle (latin: Gazella subgutturosa),14831,KAZ
2020,Percent,Onager (latin Equus hemionus),4255,KAZ
2020,Percent,Argali (latin: Ovis ammon),18465,KAZ
