Year,UNIT_MEASURE,Area,Value,M49_country_code
2011,Percent,,3.0,KAZ
2011,Percent,urban,3.0,KAZ
2011,Percent,rural,3.0,KAZ
2012,Percent,,1.8,KAZ
2012,Percent,urban,2.8,KAZ
2012,Percent,rural,0.9,KAZ
2013,Percent,,1.2,KAZ
2013,Percent,urban,1.8,KAZ
2013,Percent,rural,0.8,KAZ
2014,Percent,,1.3,KAZ
2014,Percent,urban,1.8,KAZ
2014,Percent,rural,0.8,KAZ
2015,Percent,,3.1,KAZ
2015,Percent,urban,3.2,KAZ
2015,Percent,rural,2.5,KAZ
2016,Percent,,4.5,KAZ
2016,Percent,urban,4.6,KAZ
2016,Percent,rural,3.7,KAZ
2017,Percent,,3.6,KAZ
2017,Percent,urban,3.5,KAZ
2017,Percent,rural,3.0,KAZ
2018,Percent,,4.6,KAZ
2018,Percent,urban,4.5,KAZ
2018,Percent,rural,3.7,KAZ
2019,Percent,,4.1,KAZ
2019,Percent,urban,4.1,KAZ
2019,Percent,rural,3.1,KAZ
2020,Percent,,4.4,KAZ
2020,Percent,urban,4.0,KAZ
2020,Percent,rural,4.2,KAZ
